"year","dvrpc_female","dvrpc_male","dvrpc_latinx","dvrpc_nonlatinx","dvrpc_asian","dvrpc_black","dvrpc_minority","dvrpc_white","dvrpc_all","njcos_female","njcos_male","njcos_latinx","njcos_nonlatinx","njcos_asian","njcos_black","njcos_minority","njcos_white","njcos_all","pasubcos_female","pasubcos_male","pasubcos_latinx","pasubcos_nonlatinx","pasubcos_asian","pasubcos_black","pasubcos_minority","pasubcos_white","pasubcos_all","bucks_female","bucks_male","bucks_latinx","bucks_nonlatinx","bucks_asian","bucks_black","bucks_minority","bucks_white","bucks_all","burl_female","burl_male","burl_latinx","burl_nonlatinx","burl_asian","burl_black","burl_minority","burl_white","burl_all","camd_female","camd_male","camd_latinx","camd_nonlatinx","camd_asian","camd_black","camd_minority","camd_white","camd_all","ches_female","ches_male","ches_latinx","ches_nonlatinx","ches_asian","ches_black","ches_minority","ches_white","ches_all","del_female","del_male","del_latinx","del_nonlatinx","del_asian","del_black","del_minority","del_white","del_all","glo_female","glo_male","glo_latinx","glo_nonlatinx","glo_asian","glo_black","glo_minority","glo_white","glo_all","mer_female","mer_male","mer_latinx","mer_nonlatinx","mer_asian","mer_black","mer_minority","mer_white","mer_all","mont_female","mont_male","mont_latinx","mont_nonlatinx","mont_asian","mont_black","mont_minority","mont_white","mont_all","phil_female","phil_male","phil_latinx","phil_nonlatinx","phil_asian","phil_black","phil_minority","phil_white","phil_all"
2007,15266,57312,3186,64678,3930,5072,9392,53966,194540,4618,17354,1432,18952,1318,2068,3522,16044,56806,7590,31982,964,36416,1814,1446,3418,31172,84728,1716,7954,290,8916,400,164,606,8112,19524,1230,5092,252,5548,230,658,918,4630,15244,1424,4576,584,5028,252,682,972,4384,17424,1708,7926,266,8836,474,206,714,7610,18360,1662,5684,130,6704,268,568,858,5336,19128,924,3800,158,4210,108,280,408,3798,10768,1040,3886,438,4166,728,448,1224,3232,13370,2504,10418,278,11960,672,508,1240,10114,27716,3058,7976,790,9310,798,1558,2452,6750,53006
2008,11958,43396,2202,49666,3540,3350,7212,44464,131340,3544,12436,940,13906,1206,1300,2592,12212,36234,5944,24854,698,28514,1642,1038,2860,26260,61636,1356,6136,202,6896,368,122,532,6560,14154,1030,3822,186,4266,272,446,746,3686,10554,1086,3166,398,3568,224,382,634,3322,10592,1418,6240,196,7108,350,210,612,6652,13936,1236,4446,112,5258,282,388,704,4654,13242,666,2676,84,3032,120,180,316,2804,7078,762,2772,272,3040,590,292,896,2400,8010,1934,8032,188,9252,642,318,1012,8394,20304,2470,6106,564,7246,692,1012,1760,5992,33470
2009,10352,35220,1690,40694,2926,2224,5530,36778,110216,2928,10110,672,11558,1006,892,2010,10202,31272,5420,20004,532,23308,1290,662,2166,21628,51952,1326,5158,168,5858,308,96,454,5582,12664,798,3224,182,3510,264,322,630,3072,9344,884,2532,204,3002,210,248,488,2706,9148,1106,4810,158,5444,218,104,360,5228,11250,1108,3492,62,4210,246,214,524,3760,10878,592,2098,66,2466,82,102,202,2332,6070,654,2256,220,2580,450,220,690,2092,6710,1880,6544,144,7796,518,248,828,7058,17160,2004,5106,486,5828,630,670,1354,4948,26992
2010,8594,30930,1444,35938,2930,1930,5070,32272,97030,2368,8224,554,9518,886,634,1590,8498,26658,4368,18422,460,21244,1444,700,2226,19406,46492,1124,4844,136,5568,336,76,434,5288,11526,686,2668,144,3066,212,216,452,2778,8044,696,2070,186,2434,176,172,372,2246,7738,914,4448,126,4970,264,120,402,4664,10304,796,3010,62,3526,262,228,508,3042,9092,478,1724,54,2024,56,118,184,1900,5274,508,1762,170,1994,442,128,582,1574,5602,1534,6120,136,7180,582,276,882,6412,15570,1858,4284,430,5176,600,596,1254,4368,23880
2011,7756,28320,1170,32902,2718,1418,4258,29820,86512,2112,7342,466,8634,874,476,1394,7680,23758,4130,17264,412,19828,1294,536,1896,18350,43034,1112,4650,122,5382,300,80,402,5098,11108,582,2282,130,2608,190,172,372,2372,6990,594,1852,138,2232,200,146,366,1994,6708,868,4322,114,4780,282,82,386,4522,9826,710,2640,54,3058,206,176,390,2712,7562,482,1648,64,1984,70,78,156,1898,5128,454,1560,134,1810,414,80,500,1416,4932,1440,5652,122,6608,506,198,718,6018,14538,1514,3714,292,4440,550,406,968,3790,19720
2012,9168,32252,1260,37780,2876,1714,4764,34200,98174,2368,8512,500,9974,794,618,1478,8952,26032,5072,19448,482,22736,1468,596,2138,21046,50746,1308,5002,124,5882,318,40,380,5626,12588,680,2892,150,3288,178,250,448,2990,8300,656,2136,162,2500,134,176,350,2294,7312,1076,4990,124,5646,382,114,510,5274,11828,936,3060,76,3654,260,198,472,3238,9490,524,1674,46,2066,50,96,148,1952,4962,508,1810,142,2120,432,96,532,1716,5458,1752,6396,158,7554,508,244,776,6908,16840,1728,4292,278,5070,614,500,1148,4202,21396
2013,9852,36148,1456,42346,3822,1664,5674,38092,110102,2694,9904,578,11510,1172,586,1812,10264,30586,5374,21824,574,25444,1854,656,2596,23418,56566,1356,5542,170,6470,462,76,564,6096,14036,768,3268,156,3690,266,202,480,3358,9468,818,2536,182,3006,248,172,446,2736,8702,1278,5652,130,6460,446,114,580,6014,13420,976,3412,84,4092,264,202,478,3698,10400,590,1938,72,2368,70,108,186,2266,6100,518,2162,168,2446,588,104,700,1904,6316,1764,7218,190,8422,682,264,974,7610,18710,1784,4420,304,5392,796,422,1266,4410,22950
2014,9602,34870,1484,41238,3814,1888,5908,36662,107896,2718,9088,598,10792,1096,608,1764,9554,29164,5246,21338,596,24958,1850,756,2712,22804,55444,1264,5702,146,6584,498,98,618,6086,14012,786,2810,126,3338,216,234,462,2976,9118,790,2310,176,2774,250,180,450,2488,8154,1170,5364,182,6130,470,124,622,5674,12914,980,3286,86,3970,244,238,490,3574,10144,538,1936,96,2302,52,82,142,2242,5786,604,2032,200,2378,578,112,710,1848,6106,1832,6986,182,8274,638,296,982,7470,18374,1638,4444,290,5488,868,524,1432,4304,23288
2015,11062,36788,1728,43798,4154,2178,6556,38644,120406,2796,9794,708,11380,1172,722,1956,9978,32642,6160,22048,616,26328,1992,866,2974,23840,61144,1496,5884,178,6904,416,104,542,6494,15412,862,3286,160,3812,274,286,582,3354,10370,838,2416,214,2866,188,222,428,2608,9340,1374,5538,166,6444,406,144,584,6008,14060,1148,3416,68,4228,360,262,652,3612,11360,542,1938,82,2306,72,92,174,2180,6352,554,2154,252,2396,638,122,772,1836,6580,2142,7210,204,8752,810,356,1196,7726,20312,2106,4946,404,6090,990,590,1626,4826,26620
2016,13140,39332,2198,47938,4740,2748,7686,42066,134612,3656,10814,932,13030,1280,988,2332,11476,37790,7056,23080,844,27954,2244,1136,3484,25134,66302,1696,6200,256,7348,536,180,748,6804,16804,1060,3556,266,4176,318,368,708,3706,11620,1028,2710,296,3300,218,256,494,3036,11124,1520,5420,184,6456,568,150,750,5828,14516,1360,3786,120,4754,362,314,698,4138,12914,786,2342,138,2898,90,166,260,2746,7510,782,2206,232,2656,654,198,870,1988,7536,2480,7674,284,9396,778,492,1288,8364,22068,2428,5438,422,6954,1216,624,1870,5456,30520
