"year","dvrpc_female","dvrpc_male","dvrpc_latinx","dvrpc_nonlatinx","dvrpc_asian","dvrpc_black","dvrpc_minority","dvrpc_white","dvrpc_all","njcos_female","njcos_male","njcos_latinx","njcos_nonlatinx","njcos_asian","njcos_black","njcos_minority","njcos_white","njcos_all","pasubcos_female","pasubcos_male","pasubcos_latinx","pasubcos_nonlatinx","pasubcos_asian","pasubcos_black","pasubcos_minority","pasubcos_white","pasubcos_all","bucks_female","bucks_male","bucks_latinx","bucks_nonlatinx","bucks_asian","bucks_black","bucks_minority","bucks_white","bucks_all","burl_female","burl_male","burl_latinx","burl_nonlatinx","burl_asian","burl_black","burl_minority","burl_white","burl_all","camd_female","camd_male","camd_latinx","camd_nonlatinx","camd_asian","camd_black","camd_minority","camd_white","camd_all","ches_female","ches_male","ches_latinx","ches_nonlatinx","ches_asian","ches_black","ches_minority","ches_white","ches_all","del_female","del_male","del_latinx","del_nonlatinx","del_asian","del_black","del_minority","del_white","del_all","glo_female","glo_male","glo_latinx","glo_nonlatinx","glo_asian","glo_black","glo_minority","glo_white","glo_all","mer_female","mer_male","mer_latinx","mer_nonlatinx","mer_asian","mer_black","mer_minority","mer_white","mer_all","mont_female","mont_male","mont_latinx","mont_nonlatinx","mont_asian","mont_black","mont_minority","mont_white","mont_all","phil_female","phil_male","phil_latinx","phil_nonlatinx","phil_asian","phil_black","phil_minority","phil_white","phil_all"
2007,13184,31870,2148,39654,1332,5026,6880,35054,118160,4574,10858,978,13654,336,1754,2294,12412,35782,5590,16128,450,19760,544,1004,1690,18550,43640,1650,4858,142,6010,124,126,280,5904,11866,1260,3154,240,3902,94,618,768,3448,9758,1670,3496,442,4436,124,618,826,4054,13148,972,3130,100,3604,56,148,224,3426,7534,1272,3202,82,4086,106,370,514,3674,11172,1094,2906,124,3716,40,224,292,3554,8148,550,1302,172,1600,78,294,408,1356,4728,1696,4938,126,6060,258,360,672,5546,13068,3020,4884,720,6240,452,2268,2896,4092,38738
2008,7708,18666,1236,23194,900,2578,3808,20764,79428,2494,5768,518,7364,234,790,1148,6744,22026,3268,9850,222,11916,344,496,912,11330,30672,946,3124,86,3790,74,40,138,3764,8026,640,1592,116,2002,32,258,338,1796,5898,952,2020,258,2582,126,306,472,2358,8388,654,1850,60,2162,32,80,118,2118,5448,692,1678,30,2176,76,184,272,1952,7924,598,1534,52,2000,16,112,148,1916,4776,304,622,92,780,60,114,190,674,2964,976,3198,46,3788,162,192,384,3496,9274,1946,3048,496,3914,322,1292,1748,2690,26730
2009,4486,11436,588,13676,480,1214,1814,12490,44540,1450,3226,238,4140,124,328,482,3872,10982,1930,6286,112,7264,218,178,434,6992,17034,534,2006,30,2318,54,24,84,2278,4534,350,972,56,1172,22,92,122,1108,2950,586,1018,114,1388,52,116,182,1288,3992,372,1182,14,1324,18,20,46,1288,3120,456,1198,16,1446,58,80,152,1316,4344,336,850,34,1082,14,52,72,1046,2534,178,386,34,498,36,68,106,430,1506,568,1900,52,2176,88,54,152,2110,5036,1106,1924,238,2272,138,708,898,1626,16524
2010,4254,11118,504,13520,426,1188,1732,12372,40724,1334,3496,164,4378,110,336,484,4086,10422,1890,5850,118,6974,176,218,434,6712,15028,596,1782,44,2180,30,30,70,2162,4082,304,1034,32,1214,20,82,108,1152,2700,492,1058,88,1374,52,118,188,1274,3624,298,1178,16,1306,26,36,66,1264,2714,382,1100,20,1346,62,88,154,1216,3590,348,922,10,1178,2,70,86,1114,2496,190,482,34,612,36,66,102,546,1602,614,1790,38,2142,58,64,144,2070,4642,1030,1772,222,2168,140,634,814,1574,15274
2011,4078,9854,536,12386,456,1108,1686,11304,40398,1358,3144,160,4116,138,298,482,3822,10282,1764,5036,132,6192,194,194,432,5976,14810,502,1518,46,1842,30,26,72,1836,3836,366,954,36,1214,40,96,152,1124,2998,474,996,62,1336,38,108,158,1238,3490,282,880,38,1050,34,20,62,1034,2312,476,1136,26,1468,68,98,174,1336,4330,358,690,22,964,16,50,72,914,2156,160,504,40,602,44,44,100,546,1638,504,1502,22,1832,62,50,124,1770,4332,956,1674,244,2078,124,616,772,1506,15306
2012,4274,10404,506,13164,398,1182,1718,12096,42864,1492,3392,184,4490,122,308,494,4242,11210,1848,5444,106,6704,164,238,444,6458,16280,556,1562,40,1952,42,38,94,1920,4280,356,986,36,1236,36,112,162,1130,3076,496,1012,72,1376,40,114,170,1292,3766,312,1098,22,1324,20,58,86,1282,2796,430,1092,12,1404,40,80,130,1306,4390,452,994,46,1342,10,46,76,1328,2780,188,400,30,536,36,36,86,492,1588,550,1692,32,2024,62,62,134,1950,4814,934,1568,216,1970,112,636,780,1396,15374
2013,4076,9280,514,12150,376,1070,1572,11190,39968,1290,2874,192,3808,108,260,428,3608,10240,1978,5110,140,6568,184,226,438,6346,15602,592,1454,56,1858,32,24,60,1888,4250,374,888,46,1164,12,80,108,1112,2924,444,790,74,1114,36,114,178,1026,3408,348,1020,36,1270,30,28,62,1252,2696,396,950,14,1258,54,90,148,1136,3938,318,752,34,998,20,34,54,986,2368,154,444,38,532,40,32,88,484,1540,642,1686,34,2182,68,84,168,2070,4718,808,1296,182,1774,84,584,706,1236,14126
2014,4042,8208,412,11022,394,1044,1584,9958,38072,1126,2296,124,3122,122,258,424,2834,9098,1976,4576,128,6024,172,248,466,5764,14950,636,1468,36,1952,36,24,72,1958,4252,318,762,26,1020,40,98,150,898,2618,366,650,56,900,40,62,118,846,3002,354,860,24,1128,24,44,78,1074,2668,364,790,14,1062,38,100,146,938,3440,288,620,18,826,4,62,72,774,2234,154,264,24,376,38,36,84,316,1244,622,1458,54,1882,74,80,170,1794,4590,940,1336,160,1876,100,538,694,1360,14024
2015,3916,8268,480,10926,442,976,1530,9842,38118,1042,2256,162,2986,112,236,386,2748,9326,2064,4794,128,6324,212,216,464,6028,15724,614,1276,42,1716,48,30,94,1686,4048,266,634,28,812,38,76,126,718,2608,372,700,78,954,36,90,140,872,3232,426,1216,34,1528,38,36,82,1478,3460,428,810,22,1150,58,74,138,1042,3588,284,654,24,876,4,32,42,858,2262,120,268,32,344,34,38,78,300,1224,596,1492,30,1930,68,76,150,1822,4628,810,1218,190,1616,118,524,680,1066,13068
2016,3876,8394,502,11032,384,952,1442,10136,37926,1040,2246,174,2934,98,254,386,2728,9904,2118,5060,174,6618,176,252,472,6388,16300,540,1388,52,1774,52,28,92,1750,4100,300,648,40,874,28,86,122,790,2644,360,720,80,922,38,94,144,852,3408,486,1230,46,1588,26,46,80,1558,3668,454,910,20,1280,36,84,132,1178,3780,282,592,26,790,10,40,58,776,2438,98,286,28,348,22,34,62,310,1414,638,1532,56,1976,62,94,168,1902,4752,718,1088,154,1480,110,446,584,1020,11722
2017,3774,7724,522,10246,418,832,1404,9412,37222,1174,2276,202,3070,124,264,446,2848,10560,1924,4432,160,5814,180,222,452,5564,15490,528,1330,42,1690,54,24,90,1668,4202,366,680,34,962,24,114,150,862,3042,398,666,94,916,46,84,154,858,3622,412,932,36,1248,32,38,78,1206,3118,384,752,20,1052,28,78,124,950,3334,274,586,24,790,20,34,62,764,2472,136,344,50,402,34,32,80,364,1424,600,1418,62,1824,66,82,160,1740,4836,676,1016,160,1362,114,346,506,1000,11172
2018,6696,8021,1190,20908,1645,3442,5431,16843,26159,1481,1887,373,4863,409,518,1010,4268,6150,2669,3627,273,10813,621,632,1360,9859,12953,710,988,61,2990,120,50,196,2891,3548,445,535,71,1455,80,167,272,1264,1786,486,648,177,1517,137,192,357,1356,1989,429,705,48,2133,95,64,168,2046,2540,603,773,58,2136,135,279,454,1776,2566,267,357,45,1020,40,67,121,960,1228,283,347,80,871,152,92,260,688,1147,927,1161,106,3554,271,239,542,3146,4299,2546,2507,544,5232,615,2292,3061,2716,7056
