"year","dvrpc_female","dvrpc_male","dvrpc_latinx","dvrpc_nonlatinx","dvrpc_asian","dvrpc_black","dvrpc_minority","dvrpc_white","dvrpc_all","njcos_female","njcos_male","njcos_latinx","njcos_nonlatinx","njcos_asian","njcos_black","njcos_minority","njcos_white","njcos_all","pasubcos_female","pasubcos_male","pasubcos_latinx","pasubcos_nonlatinx","pasubcos_asian","pasubcos_black","pasubcos_minority","pasubcos_white","pasubcos_all","bucks_female","bucks_male","bucks_latinx","bucks_nonlatinx","bucks_asian","bucks_black","bucks_minority","bucks_white","bucks_all","burl_female","burl_male","burl_latinx","burl_nonlatinx","burl_asian","burl_black","burl_minority","burl_white","burl_all","camd_female","camd_male","camd_latinx","camd_nonlatinx","camd_asian","camd_black","camd_minority","camd_white","camd_all","ches_female","ches_male","ches_latinx","ches_nonlatinx","ches_asian","ches_black","ches_minority","ches_white","ches_all","del_female","del_male","del_latinx","del_nonlatinx","del_asian","del_black","del_minority","del_white","del_all","glo_female","glo_male","glo_latinx","glo_nonlatinx","glo_asian","glo_black","glo_minority","glo_white","glo_all","mer_female","mer_male","mer_latinx","mer_nonlatinx","mer_asian","mer_black","mer_minority","mer_white","mer_all","mont_female","mont_male","mont_latinx","mont_nonlatinx","mont_asian","mont_black","mont_minority","mont_white","mont_all","phil_female","phil_male","phil_latinx","phil_nonlatinx","phil_asian","phil_black","phil_minority","phil_white","phil_all"
2007,34002,94936,4952,109154,2930,13972,18040,94894,337202,11924,33316,2272,37856,1094,5848,7360,32340,113064,15310,48282,1318,56174,1188,3372,4932,52212,136364,4564,14398,438,16746,256,394,764,16434,37880,3650,10256,498,11716,288,2110,2508,9608,33340,3760,9940,842,11248,352,1790,2286,9682,36776,2882,9844,324,11232,218,536,810,10540,25694,3088,9058,206,10672,208,1178,1478,9296,30598,2454,7660,236,8762,114,738,916,8024,22620,2060,5460,696,6130,340,1210,1650,5026,20328,4776,14982,350,17524,506,1264,1880,15942,42192,6768,13338,1362,15124,648,4752,5748,10342,87774
2008,27948,83498,4064,97240,3306,10396,14630,86718,259406,8724,26408,1878,30364,1210,3834,5326,27004,77976,13706,45522,1150,53528,1476,2772,4642,50044,117998,3848,13214,350,15456,320,334,764,15060,32252,2682,8206,450,9470,244,1458,1786,8208,23402,2764,7468,638,8708,354,1188,1650,7748,24212,2706,9988,260,11472,296,464,820,10922,23810,2786,8422,182,10222,282,960,1342,9014,25762,1866,6218,184,7244,114,484,632,6832,16302,1412,4516,606,4942,498,704,1258,4216,14060,4366,13898,358,16378,578,1014,1716,15048,36174,5518,11568,1036,13348,620,3790,4662,9670,63432
2009,33414,142772,4010,157752,7902,7348,16132,145788,341192,10166,42658,1908,47058,2880,3072,6248,42588,102232,18090,86440,1368,95664,4020,2206,6654,90704,181904,5152,23560,398,26114,916,294,1332,25296,48096,3026,13814,502,15020,670,1200,1970,13556,32144,2840,10864,566,12122,588,844,1510,11122,27648,3824,21174,346,23012,990,394,1506,21872,41798,3216,13796,188,15596,560,666,1300,14472,32688,2264,8902,266,10048,276,426,756,9598,20446,2036,9078,574,9868,1346,602,2012,8312,21994,5898,27910,436,30942,1554,852,2516,29064,59322,5158,13674,734,15030,1002,2070,3230,12496,57056
2010,27458,125754,3048,139826,7456,4950,13050,129910,295498,7952,35494,1288,39380,2596,1820,4662,36028,85426,15550,78810,1184,87436,4072,1644,5996,82738,164072,4260,21472,334,23818,872,202,1158,23106,43288,2432,11662,390,12750,550,700,1322,11870,27140,2290,9122,372,10318,518,494,1088,9588,23600,3268,18956,300,20540,978,312,1338,19426,37250,2820,12898,152,14646,636,464,1160,13680,29544,1688,7244,168,8142,194,300,528,7792,16748,1542,7466,358,8170,1334,326,1724,6778,17938,5202,25484,398,28432,1586,666,2340,26526,53990,3956,11450,576,13010,788,1486,2392,11144,46000
2011,24070,109164,2758,122744,6762,4652,12038,113176,259664,6846,31128,1168,34748,2350,1714,4298,31510,73978,13674,67832,1074,76158,3522,1534,5344,71798,143190,3632,18200,304,20410,796,180,1082,19640,37336,2148,10248,380,11278,500,696,1284,10356,23700,1882,7748,304,8812,488,432,962,8136,19888,2936,16042,284,17658,814,252,1114,16770,32204,2466,11450,118,13112,502,416,980,12164,26338,1424,5970,146,6844,152,258,448,6516,13778,1392,7162,338,7814,1210,328,1604,6502,16612,4640,22140,368,24978,1410,686,2168,23224,47312,3550,10204,516,11838,890,1404,2396,9868,42496
2012,31454,144108,3586,162136,9244,6268,16266,149274,335572,9420,41554,1526,46732,3176,2486,5972,42092,96650,17704,89206,1456,100088,4814,2062,7194,94420,184712,4912,24376,402,27422,1136,294,1520,26408,49242,2810,13248,378,14694,708,966,1788,13254,30668,2680,10390,490,11940,728,688,1498,10898,25954,3698,20890,400,23014,1084,338,1502,21868,40916,3156,14440,208,16462,684,556,1296,15364,33008,1976,8600,216,9836,240,390,690,9304,18576,1954,9316,442,10262,1500,442,1996,8636,21452,5938,29500,446,33190,1910,874,2876,30780,61546,4330,13348,604,15316,1254,1720,3100,12762,54210
2013,23966,100718,3326,114098,6152,5766,12568,104628,260932,7092,29674,1410,33186,2150,2164,4606,29818,76022,13002,59766,1284,67708,2940,1798,4984,64052,134558,3296,16170,352,18040,638,196,912,17582,34912,2158,9440,396,10504,506,820,1426,9436,24314,1948,7780,424,8686,522,608,1208,7828,21178,2798,13996,302,15622,636,326,1018,14924,29450,2390,9922,210,11476,464,476,986,10644,25298,1606,6248,198,7166,192,340,588,6786,15056,1380,6206,392,6830,930,396,1384,5768,15474,4518,19678,420,22570,1202,800,2068,20902,44898,3872,11278,632,13204,1062,1804,2978,10758,50352
2014,11216,38156,1532,45122,2358,3464,6134,40018,120500,3150,11450,628,13232,764,1238,2098,11576,33938,5800,21242,490,25114,1076,980,2174,23284,56656,1598,6052,138,7122,236,106,386,6814,15080,944,3460,146,4028,168,506,700,3426,10396,962,3088,232,3588,210,304,550,3224,10018,1146,4726,128,5426,186,170,374,5164,11640,1170,3690,74,4514,176,322,526,4044,12034,686,2640,68,3100,70,210,288,2854,7154,558,2262,182,2516,316,218,560,2072,6370,1886,6774,150,8052,478,382,888,7262,17902,2266,5464,414,6776,518,1246,1862,5158,29906
2015,13328,50176,1916,57924,3230,3832,7484,51704,151268,3740,14400,846,16308,1000,1370,2498,14398,42880,7242,29552,648,34270,1616,1192,3014,31722,75626,2104,8078,202,9478,410,156,628,8974,20170,1102,4550,228,5116,252,452,738,4562,13304,1094,3688,280,4232,176,398,610,3796,11962,1404,6770,152,7630,366,220,624,7126,16104,1362,5166,90,6118,236,330,608,5584,14654,858,3194,100,3726,68,264,360,3438,9024,686,2968,238,3234,504,256,790,2602,8590,2372,9538,204,11044,604,486,1154,10038,24698,2346,6224,422,7346,614,1270,1972,5584,32762
2016,14492,54106,1970,62614,3740,3770,7914,55930,171454,3790,15462,762,17454,1266,1374,2764,15244,48166,8132,32214,716,37512,1834,1216,3260,34678,87198,2322,9152,220,10592,454,160,652,10062,23626,1212,5040,224,5704,294,530,866,4982,15426,1096,4008,248,4538,276,344,666,4082,13474,1636,7502,176,8526,438,214,694,7956,18910,1466,5098,90,6170,244,322,602,5600,16166,906,3290,88,3884,92,244,346,3610,9970,576,3124,202,3328,604,256,886,2570,9296,2708,10462,230,12224,698,520,1312,11060,28496,2570,6430,492,7648,640,1180,1890,6008,36090
