"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,0.650,0.646,0.719,0.721,0.656,0.620,0.752,0.670,0.674,0.648,0.731,0.552
2008,0.642,0.645,0.701,0.702,0.664,0.610,0.733,0.650,0.672,0.644,0.714,0.539
2009,0.739,0.728,0.790,0.787,0.745,0.703,0.812,0.751,0.729,0.734,0.801,0.627
2010,0.743,0.729,0.791,0.792,0.746,0.699,0.808,0.753,0.724,0.747,0.800,0.637
2011,0.730,0.720,0.780,0.783,0.732,0.685,0.810,0.724,0.725,0.744,0.790,0.615
2012,0.750,0.743,0.797,0.798,0.752,0.704,0.823,0.749,0.745,0.776,0.806,0.632
2013,0.745,0.739,0.791,0.789,0.749,0.710,0.812,0.746,0.745,0.759,0.804,0.643
2014,0.708,0.708,0.762,0.768,0.719,0.680,0.785,0.702,0.715,0.725,0.780,0.606
2015,0.735,0.732,0.785,0.783,0.746,0.710,0.805,0.736,0.731,0.745,0.801,0.631
2016,0.733,0.727,0.775,0.773,0.735,0.707,0.796,0.736,0.738,0.733,0.785,0.651
2017,0.763,0.755,0.805,0.804,0.763,0.733,0.822,0.760,0.769,0.763,0.823,0.692
2018,0.745,0.745,0.776,0.773,0.750,0.729,0.800,0.736,0.762,0.745,0.786,0.682
2019,0.778,0.782,0.810,0.807,0.788,0.769,0.828,0.772,0.794,0.778,0.822,0.708
2020,0.835,0.835,0.857,0.856,0.836,0.826,0.871,0.831,0.846,0.835,0.862,0.777
2021,0.833,0.832,0.858,0.858,0.837,0.819,0.877,0.827,0.835,0.843,0.863,0.773
2022,0.785,0.783,0.816,0.810,0.793,0.771,0.835,0.787,0.779,0.793,0.827,0.725
2023,0.764,0.769,0.796,0.790,0.780,0.751,0.820,0.766,0.775,0.778,0.805,0.699
2024,0.771,0.774,0.801,0.796,0.776,0.760,0.823,0.770,0.785,0.785,0.812,0.711
