"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,0.835,0.819,0.886,0.887,0.835,0.793,0.902,0.858,0.849,0.809,0.894,0.770
2008,0.846,0.834,0.886,0.877,0.840,0.828,0.901,0.870,0.843,0.828,0.892,0.785
2009,0.863,0.852,0.893,0.886,0.863,0.844,0.902,0.873,0.851,0.846,0.904,0.819
2010,0.852,0.843,0.878,0.879,0.857,0.823,0.876,0.852,0.842,0.852,0.893,0.810
2011,0.849,0.834,0.873,0.866,0.852,0.812,0.876,0.858,0.840,0.835,0.884,0.813
2012,0.843,0.829,0.870,0.861,0.834,0.808,0.886,0.853,0.823,0.853,0.876,0.794
2013,0.861,0.838,0.886,0.884,0.841,0.829,0.887,0.871,0.856,0.827,0.895,0.833
2014,0.872,0.856,0.893,0.896,0.859,0.840,0.891,0.876,0.876,0.855,0.901,0.844
2015,0.886,0.873,0.905,0.907,0.878,0.870,0.905,0.891,0.884,0.859,0.911,0.857
2016,0.888,0.878,0.905,0.906,0.880,0.876,0.901,0.899,0.889,0.868,0.910,0.863
2017,0.888,0.875,0.903,0.896,0.873,0.872,0.908,0.888,0.898,0.860,0.913,0.874
2018,0.895,0.893,0.908,0.901,0.899,0.887,0.917,0.890,0.908,0.879,0.919,0.873
2019,0.904,0.902,0.917,0.917,0.904,0.898,0.915,0.901,0.920,0.885,0.927,0.881
2020,0.906,0.900,0.916,0.917,0.904,0.900,0.920,0.898,0.911,0.881,0.923,0.892
2021,0.915,0.909,0.928,0.928,0.911,0.905,0.938,0.909,0.919,0.903,0.933,0.899
2022,0.903,0.892,0.916,0.916,0.903,0.893,0.919,0.906,0.892,0.872,0.922,0.892
2023,0.895,0.891,0.907,0.900,0.895,0.892,0.904,0.907,0.896,0.877,0.913,0.880
2024,0.899,0.897,0.909,0.908,0.898,0.898,0.913,0.904,0.914,0.879,0.910,0.885
