"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,0.532,0.550,0.651,0.681,0.563,0.516,0.706,0.559,0.610,0.514,0.670,0.383
2008,0.473,0.475,0.596,0.628,0.495,0.427,0.663,0.478,0.543,0.461,0.629,0.332
2009,0.482,0.503,0.628,0.678,0.540,0.456,0.681,0.508,0.552,0.471,0.653,0.319
2010,0.499,0.529,0.625,0.655,0.546,0.490,0.668,0.553,0.554,0.551,0.632,0.355
2011,0.462,0.502,0.577,0.631,0.532,0.457,0.645,0.476,0.514,0.529,0.592,0.324
2012,0.461,0.507,0.570,0.600,0.521,0.443,0.624,0.467,0.566,0.524,0.607,0.311
2013,0.483,0.520,0.601,0.615,0.562,0.457,0.663,0.492,0.541,0.549,0.642,0.325
2014,0.453,0.482,0.579,0.613,0.492,0.452,0.627,0.465,0.507,0.489,0.606,0.299
2015,0.469,0.486,0.610,0.619,0.509,0.456,0.673,0.499,0.500,0.489,0.641,0.289
2016,0.524,0.509,0.647,0.662,0.528,0.479,0.701,0.552,0.537,0.499,0.667,0.367
2017,0.538,0.527,0.644,0.657,0.552,0.484,0.696,0.518,0.575,0.496,0.685,0.401
2018,0.531,0.496,0.616,0.634,0.499,0.465,0.666,0.519,0.533,0.504,0.629,0.407
2019,0.525,0.488,0.617,0.632,0.494,0.465,0.657,0.524,0.521,0.479,0.644,0.404
2020,0.571,0.529,0.654,0.666,0.532,0.511,0.706,0.574,0.574,0.504,0.659,0.446
2021,0.588,0.546,0.676,0.703,0.575,0.507,0.711,0.570,0.565,0.544,0.698,0.446
2022,0.623,0.596,0.708,0.722,0.605,0.572,0.739,0.626,0.612,0.604,0.728,0.458
2023,0.588,0.566,0.676,0.693,0.570,0.527,0.720,0.582,0.606,0.588,0.696,0.428
2024,0.612,0.609,0.692,0.709,0.624,0.580,0.726,0.602,0.626,0.616,0.718,0.447
