"year","dvrpc","njcos","pasubcos","bucks","burl","camd","ches","del","glo","mer","mont","phil"
2007,0.584,0.590,0.636,0.649,0.600,0.575,0.659,0.593,0.613,0.573,0.642,0.496
2008,0.590,0.605,0.631,0.644,0.628,0.578,0.650,0.590,0.636,0.577,0.636,0.495
2009,0.733,0.714,0.776,0.771,0.729,0.692,0.798,0.743,0.715,0.718,0.784,0.626
2010,0.741,0.717,0.781,0.782,0.734,0.691,0.799,0.747,0.712,0.732,0.788,0.641
2011,0.732,0.714,0.773,0.773,0.722,0.682,0.801,0.726,0.716,0.739,0.779,0.627
2012,0.760,0.747,0.797,0.799,0.753,0.712,0.818,0.757,0.751,0.775,0.803,0.659
2013,0.736,0.729,0.773,0.772,0.736,0.703,0.792,0.734,0.732,0.752,0.784,0.646
2014,0.642,0.641,0.683,0.693,0.653,0.618,0.704,0.623,0.651,0.647,0.702,0.564
2015,0.681,0.679,0.724,0.722,0.689,0.654,0.747,0.673,0.681,0.694,0.741,0.585
2016,0.659,0.654,0.700,0.698,0.662,0.626,0.733,0.648,0.673,0.660,0.709,0.565
2017,0.676,0.670,0.723,0.735,0.682,0.641,0.735,0.663,0.678,0.688,0.741,0.599
2018,0.648,0.628,0.689,0.699,0.628,0.606,0.706,0.641,0.647,0.642,0.697,0.587
2019,0.737,0.731,0.773,0.774,0.740,0.710,0.796,0.731,0.730,0.749,0.781,0.662
2020,0.832,0.828,0.855,0.855,0.827,0.814,0.866,0.828,0.836,0.842,0.859,0.765
2021,0.823,0.820,0.851,0.853,0.823,0.805,0.868,0.820,0.819,0.836,0.854,0.747
2022,0.723,0.725,0.762,0.754,0.731,0.704,0.784,0.730,0.723,0.756,0.774,0.644
2023,0.671,0.680,0.709,0.706,0.700,0.660,0.745,0.674,0.672,0.696,0.714,0.596
2024,0.684,0.691,0.720,0.715,0.687,0.673,0.749,0.688,0.701,0.718,0.727,0.606
