year,DVRPC- Fair,DVRPC- Good,DVRPC- Poor,New Jersey- Fair,New Jersey- Good,New Jersey- Poor,Pennsylvania- Fair,Pennsylvania- Good,Pennsylvania- Poor,Bucks- Fair,Bucks- Good,Bucks- Poor,Burlington- Fair,Burlington- Good,Burlington- Poor,Camden- Fair,Camden- Good,Camden- Poor,Chester- Fair,Chester- Good,Chester- Poor,Delaware- Fair,Delaware- Good,Delaware- Poor,Gloucester- Fair,Gloucester- Good,Gloucester- Poor,Mercer- Fair,Mercer- Good,Mercer- Poor,Montgomery- Fair,Montgomery- Good,Montgomery- Poor,Philadelphia- Fair,Philadelphia- Good,Philadelphia- Poor
2010,1250.1,1145.9,975.2,109.7,32.1,167.4,1140.4,1113.8,807.8,,,,21.2,15.8,11.0,11.8,0.4,24.8,,,,,,,61.8,10.6,108.2,14.9,5.3,23.4,,,,,,
2011,1158.6,1093.2,1091.8,111.5,52.6,146.1,1047.1,1040.6,945.7,,,,19.2,14.9,14.1,12.3,0.5,24.6,,,,,,,66.2,28.8,85.6,13.8,8.4,21.8,,,,,,
2012,954.6,834.6,955.7,113.1,43.0,154.1,841.5,791.6,801.6,,,,23.2,8.4,16.6,10.3,0.4,26.7,,,,,,,55.6,31.4,93.6,24.0,2.8,17.2,,,,,,
2013,902.6,798.7,868.2,53.5,12.8,70.5,849.1,785.9,797.7,,,,5.1,3.0,6.9,4.2,3.7,1.7,,,,,,,41.2,5.0,57.4,3.0,1.1,4.5,,,,,,
2014,810.3,675.8,957.3,35.9,12.6,88.3,774.4,663.2,869.0,,,,7.9,3.1,4.0,0.7,3.5,5.4,,,,,,,24.5,4.2,74.9,2.8,1.8,4.0,,,,,,
2015,804.8,631.4,1032.1,32.5,9.0,95.3,772.3,622.4,936.8,,,,5.1,3.0,6.9,4.0,3.6,2.0,,,,,,,22.9,0.8,79.9,0.5,1.6,6.5,,,,,,
2016,843.6,731.8,999.7,41.4,43.5,52.7,802.2,688.3,947.0,,,,2.5,10.3,1.6,1.3,7.3,1.6,,,,,,,35.5,24.2,45.3,2.1,1.7,4.2,,,,,,
2017,836.4,735.5,996.2,41.4,43.5,52.7,795.0,692.0,943.5,197.9,251.6,248.1,2.5,10.3,1.6,1.3,7.3,1.6,275.1,237.6,309.4,101.3,59.2,124.5,35.5,24.2,45.3,2.1,1.7,4.2,173.2,129.5,190.6,47.5,14.1,70.9
2018,685.9,880.2,1008.2,48.2,31.4,59.0,637.7,848.8,949.2,203.1,249.1,246.5,3.6,9.0,2.2,4.1,4.4,1.9,278.9,234.0,317.3,104.5,66.9,114.7,38.8,17.9,48.5,1.7,0.1,6.4,7.9,283.0,205.0,43.3,15.8,65.7
2019,821.7,800.3,951.4,40.3,48.6,64.7,781.4,751.7,886.7,190.8,285.2,218.7,3.2,9.5,2.1,3.5,6.9,15.0,270.9,255.4,302.9,105.3,64.3,115.8,32.3,30.8,42.1,1.3,1.4,5.5,177.1,123.5,191.4,37.3,23.3,57.9
2020,839.8,801.1,953.0,51.0,32.8,69.5,788.8,768.3,883.5,193.9,284.6,220.8,7.1,3.7,3.8,7.9,2.6,15.2,265.4,258.0,304.8,112.6,67.0,108.3,33.7,26.3,44.8,2.3,0.2,5.7,172.5,133.6,191.0,44.4,25.1,58.6
2021,841.9,865.1,894.8,44.8,63.5,45.5,797.1,801.6,849.3,186.7,309.4,204.0,4.3,9.0,1.7,4.2,7.4,14.2,263.1,266.9,301.4,115.3,69.9,101.6,30.6,46.0,28.2,5.7,1.1,1.4,180.9,130.3,184.9,51.1,25.1,57.4
