"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,109.5,296.1,97.6,69.4,181.6,78.6,40.1,114.5,19.0,,,,25.6,22.0,39.6,22.6,20.4,23.4,,,,,,,8.6,51.8,6.4,12.6,87.4,9.2,,,,,,
2011,132.2,320.2,61.3,79.6,210.2,39.8,52.6,110.0,21.5,,,,32.4,52.2,2.6,19.8,24.4,22.2,,,,,,,7.0,54.0,5.8,20.4,79.6,9.2,,,,,,
2012,118.5,342.8,53.0,64.6,234.0,31.0,53.9,108.8,22.0,,,,21.2,65.0,1.0,14.8,34.0,17.6,,,,,,,6.0,55.2,5.6,22.6,79.8,6.8,,,,,,
2013,119.5,346.0,48.3,73.0,229.8,26.8,46.5,116.2,21.5,,,,20.8,61.4,5.0,16.6,36.2,13.6,,,,,,,5.4,61.2,0.2,30.2,71.0,8.0,,,,,,
2014,140.9,309.1,70.2,84.2,208.4,50.6,56.7,100.7,19.6,,,,24.2,61.0,2.0,20.6,32.6,26.0,,,,,,,3.8,62.6,0.4,35.6,52.2,22.2,,,,,,
2015,154.2,297.79999999999995,57.6,89.8,206.2,33.6,64.4,91.6,24.0,,,,31.4,50.2,5.6,17.4,34.6,14.4,,,,,,,13.4,52.8,0.6,27.6,68.6,13.0,,,,,,
2016,122.30000000000001,332.0,58.4,63.2,240.8,38.8,59.1,91.2,19.6,,,,15.6,70.4,1.6,23.8,32.4,22.8,,,,,,,5.4,61.6,0.4,18.4,76.4,14.0,,,,,,
2017,123.0,333.9,65.3,63.2,240.8,38.8,59.79999999999999,93.1,26.5,14.4,14.1,1.9,15.6,70.4,1.6,23.8,32.4,22.8,,,,16.7,30.299999999999997,4.1,5.4,61.6,0.4,18.4,76.4,14.0,5.8,27.1,3.1,22.9,21.6,17.4
2018,159.1,292.1,71.80000000000001,90.6,202.8,50.2,68.5,89.30000000000001,21.6,8.0,23.7,0.0,26.0,56.0,5.6,30.6,28.0,21.2,,,,20.7,25.1,5.2,7.0,59.4,1.0,27.0,59.4,22.4,17.2,17.1,1.3,22.6,23.4,15.1
2019,123.89999999999999,320.29999999999995,78.5,72.8,210.2,60.6,51.099999999999994,110.1,17.9,4.7,28.5,0.0,21.6,64.4,1.6,20.0,37.8,22.0,,,,18.2,27.6,5.1,10.4,56.6,0.4,20.8,51.4,36.6,5.2,29.6,1.3,23.0,24.4,11.5
2020,182.7,271.2,76.9,133.4,158.8,51.8,49.3,112.39999999999999,25.1,4.1,32.1,0.7,41.6,39.0,7.0,37.4,19.0,23.2,,,,13.5,29.8,7.7,40.6,19.0,7.6,13.8,81.8,14.0,5.9,29.0,1.1,25.8,21.5,15.6
2021,116.5,357.1,56.3,70.2,239.8,34.0,46.3,117.30000000000001,22.3,4.8,32.5,0.0,12.2,72.8,2.6,22.0,36.0,21.6,,,,13.5,33.4,4.2,21.6,43.0,2.6,14.4,88.0,7.2,5.9,29.0,1.1,22.1,22.4,17.0
2022,121.69999999999999,351.7,54.7,76.0,232.2,35.8,45.699999999999996,119.5,18.900000000000002,5.3,32.1,0.5,10.2,76.0,1.4,23.8,34.6,21.2,,,,11.9,35.1,2.5,19.6,43.2,4.4,22.4,78.4,8.8,6.9,28.0,1.1,21.6,24.299999999999997,14.8
