"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,490.5,997.2,416.6,215.6,394.3,345.1,274.9,602.9,71.5,,,,86.0,127.2,121.8,67.0,53.1,106.6,,,,,,,20.0,115.6,28.0,42.6,98.4,88.7,,,,,,
2011,459.2,1061.6,361.1,209.9,450.0,294.7,249.3,611.6,66.4,,,,84.7,161.9,88.6,61.1,69.3,95.8,,,,,,,26.8,110.3,26.5,37.3,108.5,83.8,,,,,,
2012,743.2,1135.4,381.0,308.2,462.6,183.8,435.0,672.8,197.2,,,,136.1,149.4,49.7,82.5,74.4,69.3,,,,,,,29.4,110.6,23.6,60.2,128.2,41.2,,,,,,
2013,808.2,1123.9,711.9,292.5,473.7,361.8,515.7,650.2,350.1,,,,113.8,117.6,137.0,72.2,77.3,104.5,,,,,,,71.0,136.2,33.4,35.5,142.6,86.9,,,,,,
2014,864.0,915.2,904.7,309.0,345.9,508.0,555.0,569.3,396.7,,,,97.4,72.0,201.0,56.3,74.8,123.1,,,,,,,73.2,107.5,76.3,82.1,91.6,107.6,,,,,,
2015,822.3,1131.6,676.9,321.9,375.5,431.6,500.4,756.1,245.3,,,,90.4,107.4,171.4,73.1,95.0,85.9,,,,,,,78.5,87.3,74.8,79.9,85.8,99.5,,,,,,
2016,753.7,1363.7,562.0,274.5,612.8,302.3,479.2,750.9,259.7,,,,93.9,165.9,113.6,55.1,112.4,93.7,,,,,,,71.4,146.7,45.1,54.1,187.8,49.9,,,,,,
2017,738.1,1463.7,479.2,274.5,612.8,302.3,463.6,850.9,176.9,106.1,215.0,42.7,93.9,165.9,113.6,55.1,112.4,93.7,55.5,230.6,8.5,90.6,89.7,33.1,71.4,146.7,45.1,54.1,187.8,49.9,123.8,198.3,29.4,87.6,117.3,63.2
2018,691.5,1328.7,653.8,258.0,472.1,459.9,433.5,856.6,193.9,102.4,202.9,62.1,70.9,138.8,164.0,66.3,129.0,65.6,55.4,228.3,10.2,84.7,100.1,32.0,71.2,86.0,106.1,49.6,118.3,124.2,122.3,177.3,41.3,68.7,148.0,48.3
2019,695.8,1328.1,664.0,308.1,551.4,336.0,387.7,776.7,328.0,77.6,185.2,103.1,97.3,155.0,121.4,78.9,114.8,67.4,64.7,208.8,22.7,55.7,91.1,69.1,65.1,139.6,58.6,66.8,142.0,88.6,116.7,162.4,72.9,73.0,129.2,60.2
2020,700.5,1368.5,1068.9,369.9,535.7,721.2,330.6,832.8,347.7,66.5,194.0,105.2,99.8,167.6,279.9,120.8,87.2,143.1,62.8,196.0,39.1,45.8,107.4,64.5,94.0,105.6,134.8,55.3,175.3,163.4,94.1,187.6,67.6,61.4,147.8,71.3
2021,550.8,1775.0,797.0,164.4,972.8,489.6,386.4,802.2,307.4,94.6,179.7,95.4,35.6,296.4,215.3,41.3,251.0,58.8,67.2,197.3,28.4,50.1,106.7,59.5,32.3,222.5,79.6,55.2,202.9,135.9,92.5,192.8,53.9,82.0,125.7,70.2
2022,542.1,1792.9,780.4,136.6,1014.0,475.8,405.5,778.9,304.6,89.9,158.6,118.0,24.5,307.3,215.7,42.0,251.6,57.4,81.5,186.7,25.4,49.4,108.2,51.4,32.0,226.0,76.4,38.1,229.1,126.3,99.9,190.1,53.4,84.8,135.3,56.4
2023,529.8,1841.0,375.8,135.3,1011.4,113.5,394.5,829.6,262.3,94.1,172.6,89.4,23.9,310.2,40.2,45.6,242.0,33.1,83.3,180.4,27.1,50.4,131.7,34.6,30.3,221.8,15.5,35.5,237.4,24.7,88.9,195.2,70.7,77.8,149.7,40.5
