"year","DVRPC- All","DVRPC- NHS, interstate","DVRPC- NHS, non-interstate","DVRPC- Non-NHS","New Jersey- All","New Jersey- NHS, interstate","New Jersey- NHS, non-interstate","New Jersey- Non-NHS","Pennsylvania- All","Pennsylvania- NHS, interstate","Pennsylvania- NHS, non-interstate","Pennsylvania- Non-NHS","Bucks- All","Bucks- NHS, interstate","Bucks- NHS, non-interstate","Bucks- Non-NHS","Burlington- All","Burlington- NHS, interstate","Burlington- NHS, non-interstate","Burlington- Non-NHS","Camden- All","Camden- NHS, interstate","Camden- NHS, non-interstate","Camden- Non-NHS","Chester- All","Chester- NHS, interstate","Chester- NHS, non-interstate","Chester- Non-NHS","Delaware- All","Delaware- NHS, interstate","Delaware- NHS, non-interstate","Delaware- Non-NHS","Gloucester- All","Gloucester- NHS, interstate","Gloucester- NHS, non-interstate","Gloucester- Non-NHS","Mercer- All","Mercer- NHS, interstate","Mercer- NHS, non-interstate","Mercer- Non-NHS","Montgomery- All","Montgomery- NHS, interstate","Montgomery- NHS, non-interstate","Montgomery- Non-NHS","Philadelphia- All","Philadelphia- NHS, interstate","Philadelphia- NHS, non-interstate","Philadelphia- Non-NHS"
2010,0.302,0.194,0.352,0.289,0.426,0.238,0.453,0.541,0.255,0.109,0.252,0.264,,,,,0.411,0.454,0.426,0.229,0.546,0.352,0.582,0.670,,,,,,,,,0.389,0.096,0.278,0.599,0.381,0.084,0.492,0.537,,,,,,,,
2011,0.308,0.119,0.325,0.327,0.358,0.121,0.403,0.471,0.288,0.117,0.246,0.312,,,,,0.280,0.030,0.343,0.293,0.522,0.334,0.555,0.658,,,,,,,,,0.325,0.087,0.259,0.474,0.348,0.084,0.445,0.495,,,,,,,,
2012,0.333,0.103,0.367,0.348,0.291,0.094,0.293,0.497,0.350,0.119,0.420,0.329,,,,,0.191,0.011,0.215,0.344,0.435,0.265,0.439,0.714,,,,,,,,,0.339,0.084,0.246,0.518,0.240,0.062,0.295,0.391,,,,,,,,
2013,0.339,0.094,0.386,0.338,0.356,0.081,0.417,0.515,0.332,0.117,0.364,0.328,,,,,0.355,0.057,0.421,0.460,0.476,0.205,0.559,0.177,,,,,,,,,0.277,0.003,0.233,0.554,0.339,0.073,0.443,0.523,,,,,,,,
2014,0.392,0.135,0.442,0.392,0.458,0.147,0.527,0.645,0.366,0.111,0.378,0.377,,,,,0.478,0.023,0.593,0.267,0.530,0.328,0.592,0.563,,,,,,,,,0.409,0.006,0.386,0.723,0.424,0.202,0.509,0.465,,,,,,,,
2015,0.382,0.113,0.399,0.418,0.416,0.102,0.473,0.697,0.368,0.133,0.345,0.402,,,,,0.437,0.064,0.524,0.460,0.423,0.217,0.485,0.208,,,,,,,,,0.420,0.009,0.382,0.771,0.380,0.119,0.475,0.756,,,,,,,,
2016,0.350,0.114,0.358,0.388,0.337,0.113,0.396,0.383,0.355,0.115,0.328,0.389,,,,,0.300,0.018,0.373,0.111,0.470,0.289,0.537,0.157,,,,,,,,,0.295,0.006,0.315,0.431,0.311,0.129,0.373,0.525,,,,,,,,
2017,0.345,0.125,0.347,0.388,0.337,0.113,0.396,0.383,0.348,0.148,0.308,0.388,0.296,0.063,0.200,0.356,0.300,0.018,0.373,0.111,0.470,0.289,0.537,0.157,0.306,,0.110,0.376,0.392,0.080,0.406,0.437,0.295,0.006,0.315,0.431,0.311,0.129,0.373,0.525,0.338,0.086,0.297,0.386,0.538,0.281,0.597,0.535
2018,0.368,0.137,0.390,0.392,0.402,0.146,0.472,0.426,0.354,0.120,0.324,0.390,0.289,0.000,0.192,0.353,0.403,0.064,0.492,0.149,0.360,0.266,0.396,0.183,0.318,,0.136,0.382,0.387,0.102,0.435,0.401,0.402,0.015,0.478,0.461,0.435,0.206,0.510,0.780,0.375,0.037,0.354,0.413,0.520,0.247,0.578,0.526
2019,0.342,0.150,0.352,0.370,0.362,0.176,0.408,0.421,0.333,0.100,0.308,0.366,0.265,0.000,0.195,0.315,0.320,0.018,0.398,0.142,0.420,0.276,0.447,0.591,0.300,,0.119,0.365,0.383,0.100,0.419,0.406,0.300,0.006,0.336,0.400,0.424,0.336,0.449,0.671,0.348,0.036,0.323,0.389,0.493,0.195,0.560,0.489
2020,0.337,0.145,0.345,0.367,0.335,0.151,0.372,0.453,0.338,0.134,0.324,0.362,0.273,0.019,0.217,0.316,0.295,0.080,0.347,0.260,0.402,0.291,0.414,0.591,0.304,,0.125,0.368,0.365,0.151,0.399,0.376,0.339,0.113,0.361,0.427,0.310,0.128,0.366,0.695,0.352,0.031,0.339,0.384,0.508,0.248,0.587,0.457
2021,0.297,0.106,0.290,0.344,0.226,0.099,0.252,0.296,0.327,0.120,0.320,0.347,0.262,0.000,0.234,0.291,0.182,0.030,0.221,0.113,0.270,0.271,0.247,0.550,0.300,,0.124,0.363,0.352,0.082,0.413,0.354,0.183,0.039,0.186,0.269,0.277,0.066,0.357,0.171,0.328,0.031,0.295,0.373,0.506,0.276,0.591,0.430
2022,0.295,0.104,0.287,0.343,0.213,0.104,0.235,0.275,0.330,0.103,0.330,0.347,0.269,0.013,0.233,0.302,0.167,0.016,0.202,0.187,0.281,0.266,0.262,0.562,0.303,,0.114,0.370,0.354,0.051,0.452,0.331,0.182,0.065,0.193,0.228,0.228,0.080,0.285,0.134,0.322,0.031,0.317,0.347,0.520,0.244,0.597,0.477
