"year","DVRPC- All","DVRPC- Interstate","DVRPC- Non-Interstate NHS","DVRPC- Non-NHS","New Jersey- All","New Jersey- Interstate","New Jersey- Non-Interstate NHS","New Jersey- Non-NHS","Pennsylvania- All","Pennsylvania- Interstate","Pennsylvania- Non-Interstate NHS","Pennsylvania- Non-NHS","Bucks- All","Bucks- Interstate","Bucks- Non-Interstate NHS","Bucks- Non-NHS","Burlington- All","Burlington- Interstate","Burlington- Non-Interstate NHS","Burlington- Non-NHS","Camden- All","Camden- Interstate","Camden- Non-Interstate NHS","Camden- Non-NHS","Chester- All","Chester- Interstate","Chester- Non-Interstate NHS","Chester- Non-NHS","Delaware- All","Delaware- Interstate","Delaware- Non-Interstate NHS","Delaware- Non-NHS","Gloucester- All","Gloucester- Interstate","Gloucester- Non-Interstate NHS","Gloucester- Non-NHS","Mercer- All","Mercer- Interstate","Mercer- Non-Interstate NHS","Mercer- Non-NHS","Montgomery- All","Montgomery- Interstate","Montgomery- Non-Interstate NHS","Montgomery- Non-NHS","Philadelphia- All","Philadelphia- Interstate","Philadelphia- Non-Interstate NHS","Philadelphia- Non-NHS"
2010,0.247,0.149,0.237,0.267,0.226,0.169,0.221,0.300,0.255,0.109,0.252,0.264,,,,,0.207,0.385,0.178,0.088,0.300,0.250,0.280,0.511,,,,,,,,,0.212,0.024,0.180,0.311,0.198,0.037,0.254,0.312,,,,,,,,
2011,0.261,0.091,0.222,0.309,0.190,0.076,0.199,0.281,0.288,0.117,0.246,0.312,,,,,0.120,0.023,0.146,0.110,0.318,0.280,0.301,0.484,,,,,,,,,0.200,0.006,0.181,0.290,0.154,0.038,0.189,0.259,,,,,,,,
2012,0.298,0.080,0.317,0.322,0.168,0.058,0.174,0.267,0.350,0.119,0.420,0.329,,,,,0.096,0.011,0.116,0.108,0.302,0.217,0.286,0.553,,,,,,,,,0.170,0.003,0.151,0.249,0.139,0.033,0.165,0.270,,,,,,,,
2013,0.290,0.073,0.296,0.327,0.182,0.049,0.205,0.318,0.332,0.117,0.364,0.328,,,,,0.096,0.018,0.112,0.147,0.328,0.148,0.381,0.177,,,,,,,,,0.180,0.003,0.158,0.347,0.164,0.042,0.206,0.419,,,,,,,,
2014,0.314,0.087,0.305,0.371,0.186,0.074,0.208,0.279,0.366,0.111,0.378,0.377,,,,,0.118,0.016,0.140,0.153,0.301,0.220,0.330,0.219,,,,,,,,,0.164,0.006,0.153,0.295,0.192,0.056,0.239,0.372,,,,,,,,
2015,0.318,0.084,0.290,0.397,0.191,0.057,0.215,0.319,0.368,0.133,0.345,0.402,,,,,0.139,0.018,0.169,0.113,0.310,0.193,0.345,0.208,,,,,,,,,0.186,0.006,0.162,0.359,0.159,0.037,0.204,0.326,,,,,,,,
2016,0.314,0.089,0.290,0.383,0.206,0.075,0.236,0.290,0.355,0.115,0.328,0.389,,,,,0.135,0.018,0.169,0.097,0.301,0.232,0.336,0.157,,,,,,,,,0.192,0.006,0.185,0.327,0.228,0.053,0.291,0.325,,,,,,,,
2017,0.309,0.100,0.278,0.383,0.206,0.075,0.236,0.290,0.348,0.148,0.308,0.388,0.296,0.063,0.200,0.356,0.135,0.018,0.169,0.097,0.301,0.232,0.336,0.157,0.306,,0.110,0.376,0.392,0.080,0.406,0.437,0.192,0.006,0.185,0.327,0.228,0.053,0.291,0.325,0.338,0.086,0.297,0.386,0.538,0.281,0.597,0.535
2018,0.306,0.089,0.275,0.383,0.188,0.073,0.212,0.269,0.354,0.120,0.324,0.390,0.289,0.000,0.192,0.353,0.128,0.021,0.154,0.097,0.240,0.221,0.250,0.155,0.318,,0.136,0.382,0.387,0.102,0.435,0.401,0.178,0.012,0.176,0.293,0.225,0.046,0.287,0.418,0.375,0.037,0.354,0.413,0.520,0.247,0.578,0.526
2019,0.297,0.089,0.273,0.364,0.208,0.084,0.229,0.326,0.333,0.100,0.308,0.366,0.265,0.000,0.195,0.315,0.136,0.014,0.165,0.117,0.289,0.243,0.277,0.560,0.300,,0.119,0.365,0.383,0.100,0.419,0.406,0.190,0.006,0.193,0.300,0.239,0.072,0.299,0.304,0.348,0.036,0.323,0.389,0.493,0.195,0.560,0.489
2020,0.291,0.095,0.266,0.357,0.178,0.074,0.194,0.282,0.338,0.134,0.324,0.362,0.273,0.019,0.217,0.316,0.122,0.016,0.146,0.119,0.245,0.208,0.230,0.543,0.304,,0.125,0.368,0.365,0.151,0.399,0.376,0.158,0.012,0.164,0.236,0.197,0.061,0.244,0.329,0.352,0.031,0.339,0.384,0.508,0.248,0.587,0.457
2021,0.266,0.085,0.232,0.338,0.120,0.066,0.125,0.203,0.327,0.120,0.320,0.347,0.262,0.000,0.234,0.291,0.064,0.016,0.074,0.096,0.170,0.196,0.137,0.506,0.300,,0.124,0.363,0.352,0.082,0.413,0.354,0.095,0.006,0.098,0.147,0.161,0.048,0.203,0.150,0.328,0.031,0.295,0.373,0.506,0.276,0.591,0.430
2022,0.268,0.073,0.241,0.338,0.123,0.057,0.133,0.190,0.330,0.103,0.330,0.347,0.269,0.013,0.233,0.302,0.071,0.014,0.082,0.129,0.179,0.193,0.148,0.514,0.303,,0.114,0.370,0.354,0.051,0.452,0.331,0.099,0.006,0.112,0.124,0.153,0.026,0.200,0.114,0.322,0.031,0.317,0.347,0.520,0.244,0.597,0.477
2023,0.258,0.076,0.234,0.320,0.126,0.059,0.135,0.199,0.313,0.106,0.316,0.327,0.247,0.000,0.218,0.276,0.073,0.011,0.085,0.130,0.194,0.200,0.167,0.518,0.291,,0.124,0.350,0.326,0.049,0.389,0.328,0.104,0.003,0.117,0.136,0.141,0.037,0.181,0.114,0.313,0.047,0.328,0.322,0.509,0.255,0.577,0.484
