"year","DVRPC- All NHS","DVRPC- Interstate","DVRPC- Non-Interstate NHS","DVRPC- Non-NHS","New Jersey- All NHS","New Jersey- Interstate","New Jersey- Non-Interstate NHS","New Jersey- Non-NHS","Pennsylvania- All NHS","Pennsylvania- Interstate","Pennsylvania- Non-Interstate NHS","Pennsylvania- Non-NHS","Bucks- All NHS","Bucks- Interstate","Bucks- Non-Interstate NHS","Bucks- Non-NHS","Burlington- All NHS","Burlington- Interstate","Burlington- Non-Interstate NHS","Burlington- Non-NHS","Camden- All NHS","Camden- Interstate","Camden- Non-Interstate NHS","Camden- Non-NHS","Chester- All NHS","Chester- Interstate","Chester- Non-Interstate NHS","Chester- Non-NHS","Delaware- All NHS","Delaware- Interstate","Delaware- Non-Interstate NHS","Delaware- Non-NHS","Gloucester- All NHS","Gloucester- Interstate","Gloucester- Non-Interstate NHS","Gloucester- Non-NHS","Mercer- All NHS","Mercer- Interstate","Mercer- Non-Interstate NHS","Mercer- Non-NHS","Montgomery- All NHS","Montgomery- Interstate","Montgomery- Non-Interstate NHS","Montgomery- Non-NHS","Philadelphia- All NHS","Philadelphia- Interstate","Philadelphia- Non-Interstate NHS","Philadelphia- Non-NHS"
2010,0.142,0.090,0.219,0.106,0.323,0.130,0.361,0.409,0.072,0.000,0.075,0.075,,,,,0.319,0.234,0.364,0.160,0.403,0.184,0.470,0.384,,,,,,,,,0.295,0.075,0.171,0.489,0.288,0.049,0.386,0.372,,,,,,,,
2011,0.123,0.043,0.192,0.096,0.258,0.063,0.309,0.308,0.071,0.000,0.072,0.074,,,,,0.211,0.007,0.264,0.214,0.367,0.148,0.424,0.414,,,,,,,,,0.212,0.081,0.162,0.306,0.270,0.046,0.365,0.327,,,,,,,,
2012,0.122,0.030,0.169,0.100,0.193,0.041,0.193,0.357,0.093,0.007,0.151,0.067,,,,,0.136,,0.148,0.297,0.275,0.075,0.306,0.439,,,,,,,,,0.244,0.081,0.144,0.395,0.138,0.029,0.179,0.195,,,,,,,,
2013,0.184,0.031,0.269,0.125,0.262,0.039,0.321,0.312,0.154,0.013,0.231,0.115,,,,,0.310,0.039,0.372,0.353,0.336,0.093,0.411,0.010,,,,,,,,,0.168,,0.139,0.346,0.240,0.031,0.328,0.174,,,,,,,,
2014,0.253,0.070,0.337,0.197,0.374,0.097,0.437,0.530,0.203,0.009,0.261,0.178,,,,,0.430,0.007,0.543,0.113,0.416,0.199,0.484,0.406,,,,,,,,,0.332,,0.297,0.633,0.315,0.155,0.383,0.151,,,,,,,,
2015,0.212,0.043,0.257,0.196,0.328,0.052,0.382,0.550,0.165,0.024,0.163,0.175,,,,,0.384,0.046,0.464,0.360,0.271,0.051,0.338,0.021,,,,,,,,,0.338,0.003,0.311,0.617,0.299,0.086,0.375,0.674,,,,,,,,
2016,0.189,0.055,0.210,0.193,0.206,0.055,0.254,0.171,0.182,0.055,0.174,0.194,,,,,0.240,0.002,0.304,0.021,0.293,0.114,0.359,0.010,,,,,,,,,0.151,,0.171,0.196,0.152,0.090,0.171,0.313,,,,,,,,
2017,0.156,0.044,0.179,0.154,0.206,0.055,0.254,0.171,0.136,0.018,0.119,0.153,0.210,0.046,0.117,0.265,0.240,0.002,0.304,0.021,0.293,0.114,0.359,0.010,0.079,,0.029,0.097,0.146,0.008,0.155,0.162,0.151,,0.171,0.196,0.152,0.090,0.171,0.313,0.096,0.012,0.084,0.111,0.162,0.014,0.236,0.051
2018,0.184,0.075,0.245,0.141,0.320,0.099,0.386,0.299,0.128,0.012,0.131,0.133,0.205,0.000,0.169,0.227,0.355,0.046,0.439,0.048,0.216,0.120,0.251,0.039,0.070,,0.035,0.083,0.120,0.017,0.148,0.117,0.324,0.006,0.403,0.330,0.367,0.185,0.425,0.696,0.109,0.006,0.121,0.108,0.135,0.015,0.182,0.073
2019,0.221,0.105,0.247,0.215,0.243,0.116,0.281,0.234,0.211,0.078,0.220,0.214,0.288,0.000,0.282,0.303,0.257,0.005,0.325,0.048,0.225,0.090,0.258,0.312,0.144,,0.077,0.168,0.244,0.144,0.320,0.204,0.186,0.003,0.223,0.212,0.303,0.297,0.298,0.608,0.194,0.009,0.207,0.197,0.185,0.111,0.229,0.110
