"year","DVRPC- Fair","DVRPC- Good","DVRPC- Poor","New Jersey- Fair","New Jersey- Good","New Jersey- Poor","Pennsylvania- Fair","Pennsylvania- Good","Pennsylvania- Poor","Bucks- Fair","Bucks- Good","Bucks- Poor","Burlington- Fair","Burlington- Good","Burlington- Poor","Camden- Fair","Camden- Good","Camden- Poor","Chester- Fair","Chester- Good","Chester- Poor","Delaware- Fair","Delaware- Good","Delaware- Poor","Gloucester- Fair","Gloucester- Good","Gloucester- Poor","Mercer- Fair","Mercer- Good","Mercer- Poor","Montgomery- Fair","Montgomery- Good","Montgomery- Poor","Philadelphia- Fair","Philadelphia- Good","Philadelphia- Poor"
2010,2188.8,2179.5,1431.1,675.1,559.2,359.5,1513.7,1620.3,1071.6,,,,208.6,164.2,97.4,171.6,59.6,98.9,,,,,,,138.9,184.8,87.3,156.0,150.6,75.9,,,,,,
2011,2047.2,2201.0,1500.3,619.4,672.5,302.5,1427.8,1528.5,1197.8,,,,181.5,232.7,56.4,163.5,61.7,104.8,,,,,,,128.1,200.5,82.4,146.3,177.6,58.9,,,,,,
2012,1925.2,1971.7,1651.9,611.2,715.0,268.2,1314.0,1256.7,1383.7,,,,185.5,239.9,45.2,144.7,85.5,99.8,,,,,,,135.7,205.5,69.8,145.3,184.1,53.4,,,,,,
2013,1999.6,2077.6,1668.1,565.5,738.4,290.5,1434.1,1339.2,1377.6,,,,184.5,240.9,45.2,131.5,90.2,108.3,,,,,,,120.0,216.9,74.1,129.5,190.4,62.9,,,,,,
2014,1973.5,1916.2,1776.4,589.1,747.9,305.9,1384.4,1168.3,1470.5,,,,182.5,234.4,55.7,138.6,101.1,103.3,,,,,,,133.0,224.2,70.2,135.0,188.2,76.7,,,,,,
2015,1960.0,1880.6,1792.3,569.5,720.5,305.4,1390.5,1160.1,1486.9,,,,187.6,218.2,65.6,127.8,99.8,102.4,,,,,,,126.3,208.2,76.5,127.8,194.3,60.9,,,,,,
2016,1929.3,1961.7,1783.2,506.2,726.2,319.4,1423.1,1235.5,1463.8,,,,156.3,211.9,57.6,101.2,96.7,85.3,,,,,,,122.7,229.2,83.5,126.0,188.4,93.0,,,,,,
2017,1939.1,1980.3,1755.3,506.2,726.2,319.4,1432.9,1254.1,1435.9,365.9,403.6,322.9,156.3,211.9,57.6,101.2,96.7,85.3,380.5,395.7,342.0,205.4,131.4,216.9,122.7,229.2,83.5,126.0,188.4,93.0,337.2,249.2,299.8,143.9,74.2,254.3
2018,1922.7,2090.6,1771.5,511.0,843.5,314.5,1411.7,1247.1,1457.0,374.3,407.2,317.3,159.3,255.0,60.6,128.0,138.1,84.2,378.6,389.4,357.3,208.7,131.3,214.4,110.4,247.2,77.7,113.3,203.2,92.0,313.3,235.1,328.8,136.8,84.1,239.2
2019,1905.9,2169.1,1720.8,504.1,833.4,351.7,1401.8,1335.7,1369.1,359.3,445.1,290.2,149.1,261.4,64.6,134.6,125.2,105.6,368.4,419.2,338.2,210.9,130.1,211.6,105.5,247.3,82.5,114.9,199.5,99.0,326.2,251.4,308.3,137.0,89.9,220.8
2020,1926.6,2269.3,1718.1,500.0,938.5,311.9,1426.6,1330.8,1406.2,366.6,435.4,301.0,130.0,287.5,57.8,146.8,170.8,102.8,369.6,414.4,342.1,220.0,133.7,202.9,108.5,261.3,69.2,114.7,218.9,82.1,316.0,264.4,314.9,154.4,82.9,245.3
2021,1912.5,2428.5,1571.4,477.6,1062.1,210.6,1434.9,1366.4,1360.8,363.2,453.9,290.6,119.0,325.9,30.3,138.6,210.3,71.6,368.7,418.0,337.7,220.2,141.0,196.5,103.0,294.2,41.8,117.0,231.7,66.9,328.2,269.8,291.6,154.6,83.7,244.4
2022,1870.2,2438.1,1580.1,443.0,1092.5,215.5,1427.2,1345.6,1364.6,361.3,446.9,297.1,106.9,335.3,33.6,131.4,214.0,75.1,369.0,412.6,340.5,213.0,142.9,194.9,93.5,302.1,43.4,111.2,241.1,63.4,332.4,265.6,284.2,151.5,77.6,247.9
2023,1903.7,2459.1,1513.3,455.8,1073.8,220.9,1447.9,1385.3,1292.4,343.6,484.2,271.0,104.8,336.3,34.8,136.7,202.1,81.7,377.4,417.8,326.5,232.0,139.4,179.7,97.7,295.7,45.7,116.6,239.7,58.7,342.2,268.3,278.2,152.7,75.6,237.0
