"year","DVRPC- Core City","DVRPC- Developed Community","DVRPC- Growing Suburb","DVRPC- Rural Area","Bucks County- Core City","Bucks County- Developed Community","Bucks County- Growing Suburb","Bucks County- Rural Area","Burlington County- Core City","Burlington County- Developed Community","Burlington County- Growing Suburb","Burlington County- Rural Area","Camden County- Core City","Camden County- Developed Community","Camden County- Growing Suburb","Camden County- Rural Area","Chester County- Core City","Chester County- Developed Community","Chester County- Growing Suburb","Chester County- Rural Area","Delaware County- Core City","Delaware County- Developed Community","Delaware County- Growing Suburb","Delaware County- Rural Area","Gloucester County- Core City","Gloucester County- Developed Community","Gloucester County- Growing Suburb","Gloucester County- Rural Area","Mercer County- Core City","Mercer County- Developed Community","Mercer County- Growing Suburb","Mercer County- Rural Area","Montgomery County- Core City","Montgomery County- Developed Community","Montgomery County- Growing Suburb","Montgomery County- Rural Area","Philadelphia County- Core City","Philadelphia County- Developed Community","Philadelphia County- Growing Suburb","Philadelphia County- Rural Area"
1980,2469,5983,3480,956,0,1351,194,286,0,459,335,126,0,1242,127,27,0,198,1457,231,0,921,131,0,0,623,239,145,2,420,54,28,0,769,943,113,2467,0,0,0
1981,1932,3853,2790,732,0,850,207,212,0,273,331,141,0,767,157,48,0,97,1120,129,0,512,151,0,0,250,130,115,26,327,58,14,0,777,636,73,1906,0,0,0
1982,1882,3896,3190,793,0,853,307,210,0,251,868,167,0,913,268,55,0,64,984,172,307,292,37,0,0,302,110,94,0,411,74,26,0,810,542,69,1575,0,0,0
1983,1013,8585,5857,1356,0,1917,313,305,0,823,952,271,0,1906,186,162,0,110,2501,237,3,569,257,0,0,582,218,171,0,1028,178,44,0,1650,1252,166,1010,0,0,0
1984,1006,10143,7211,1711,0,1987,511,472,0,836,1494,460,0,1954,380,59,0,174,2571,276,0,738,318,0,0,858,244,132,1,1456,227,43,0,2140,1466,269,1005,0,0,0
1985,1558,11686,8770,1697,0,2486,825,446,0,1013,1353,429,1,1729,526,73,0,150,2851,330,2,706,362,0,0,1078,337,106,0,2131,651,70,0,2393,1865,243,1555,0,0,0
1986,2058,13224,11817,2339,0,2627,1957,778,0,1140,2060,428,1,1743,621,75,0,302,4146,480,0,945,400,0,0,1275,523,120,1,3078,473,88,0,2114,1637,370,2056,0,0,0
1987,1281,11428,10353,2817,0,2438,1674,600,0,1194,1961,653,0,1698,526,224,0,278,3289,622,0,983,687,0,0,1254,771,166,1,1420,207,98,0,2163,1238,454,1280,0,0,0
1988,1770,11370,9176,2379,0,2695,1154,438,0,1313,1463,463,0,1140,681,62,0,483,2767,523,0,1201,382,0,0,1394,1269,149,6,1278,106,66,0,1866,1354,678,1764,0,0,0
1989,637,8315,7690,1623,0,2156,565,293,0,952,940,309,0,989,454,31,0,329,2383,459,2,632,467,0,0,874,1112,142,35,837,122,36,0,1546,1647,353,600,0,0,0
1990,759,5287,5768,1097,0,1277,735,213,0,612,818,170,1,694,417,13,0,158,1314,347,1,421,219,0,0,394,670,119,10,729,235,30,0,1002,1360,205,747,0,0,0
1991,390,4599,5346,1157,0,1501,861,211,0,512,557,159,0,748,191,17,0,93,1552,322,0,429,156,0,0,378,657,69,24,338,45,24,0,600,1327,355,366,0,0,0
1992,286,5385,6715,1201,0,1366,1097,252,0,721,809,156,0,830,213,1,0,132,1738,401,4,497,165,0,0,441,661,75,32,440,134,42,0,958,1898,274,250,0,0,0
1993,432,6612,7888,1676,0,1412,1317,367,0,905,1006,260,0,1227,253,13,0,128,1801,416,0,500,247,0,0,401,835,70,6,947,140,277,0,1092,2289,273,426,0,0,0
1994,462,5538,7907,1812,0,1266,1497,371,0,720,1109,420,0,788,251,15,0,105,1733,385,1,576,229,0,0,333,805,101,26,748,256,274,0,1002,2027,246,435,0,0,0
1995,598,4379,7447,1443,0,922,1417,331,0,614,844,230,0,612,208,45,0,122,2166,369,94,545,298,0,0,218,565,95,17,411,246,184,0,935,1703,189,487,0,0,0
1996,687,4814,8130,1638,0,995,1067,415,0,703,1338,252,0,880,246,96,0,120,1746,424,0,532,551,0,0,317,641,99,13,313,310,166,0,954,2231,186,674,0,0,0
1997,1074,5051,9438,2050,0,839,1326,518,0,777,1156,367,16,1041,195,76,0,111,2830,479,195,525,644,0,0,344,713,118,0,388,397,278,0,1026,2177,214,863,0,0,0
1998,477,6145,9379,2113,0,941,1250,551,0,1191,1213,311,14,741,87,32,0,255,2670,564,0,608,670,0,0,639,599,128,6,700,410,277,0,1070,2480,250,457,0,0,0
1999,399,5565,9789,1917,0,841,1585,478,0,801,1532,422,13,787,51,16,0,233,2538,537,0,532,576,0,0,727,692,108,19,696,324,120,0,948,2491,236,367,0,0,0
2000,1494,5387,8805,1857,0,1034,1292,442,0,480,1807,488,5,698,72,21,0,191,2398,462,122,546,474,0,0,707,514,116,34,902,255,92,0,829,1993,236,1333,0,0,0
2001,871,4784,8427,2133,0,675,1001,495,0,464,1147,573,40,628,58,31,0,255,2084,561,54,441,1072,0,0,733,787,115,5,832,475,43,0,756,1803,315,772,0,0,0
