"year","DVRPC- Core City","DVRPC- Developed Community","DVRPC- Growing Suburb","DVRPC- Rural Area","Bucks County- Core City","Bucks County- Developed Community","Bucks County- Growing Suburb","Bucks County- Rural Area","Burlington County- Core City","Burlington County- Developed Community","Burlington County- Growing Suburb","Burlington County- Rural Area","Camden County- Core City","Camden County- Developed Community","Camden County- Growing Suburb","Camden County- Rural Area","Chester County- Core City","Chester County- Developed Community","Chester County- Growing Suburb","Chester County- Rural Area","Delaware County- Core City","Delaware County- Developed Community","Delaware County- Growing Suburb","Delaware County- Rural Area","Gloucester County- Core City","Gloucester County- Developed Community","Gloucester County- Growing Suburb","Gloucester County- Rural Area","Mercer County- Core City","Mercer County- Developed Community","Mercer County- Growing Suburb","Mercer County- Rural Area","Montgomery County- Core City","Montgomery County- Developed Community","Montgomery County- Growing Suburb","Montgomery County- Rural Area","Philadelphia County- Core City","Philadelphia County- Developed Community","Philadelphia County- Growing Suburb","Philadelphia County- Rural Area"
1980,2469,5983,3480,956,0,1351,194,286,0,459,335,126,0,1242,127,27,0,198,1457,231,0,921,131,0,0,623,239,145,2,420,54,28,0,769,943,113,2467,0,0,0
1981,4401,9836,6270,1688,0,2201,401,498,0,732,666,267,0,2009,284,75,0,295,2577,360,0,1433,282,0,0,873,369,260,28,747,112,42,0,1546,1579,186,4373,0,0,0
1982,6283,13732,9460,2481,0,3054,708,708,0,983,1534,434,0,2922,552,130,0,359,3561,532,307,1725,319,0,0,1175,479,354,28,1158,186,68,0,2356,2121,255,5948,0,0,0
1983,7296,22317,15317,3837,0,4971,1021,1013,0,1806,2486,705,0,4828,738,292,0,469,6062,769,310,2294,576,0,0,1757,697,525,28,2186,364,112,0,4006,3373,421,6958,0,0,0
1984,8302,32460,22528,5548,0,6958,1532,1485,0,2642,3980,1165,0,6782,1118,351,0,643,8633,1045,310,3032,894,0,0,2615,941,657,29,3642,591,155,0,6146,4839,690,7963,0,0,0
1985,9860,44146,31298,7245,0,9444,2357,1931,0,3655,5333,1594,1,8511,1644,424,0,793,11484,1375,312,3738,1256,0,0,3693,1278,763,29,5773,1242,225,0,8539,6704,933,9518,0,0,0
1986,11918,57370,43115,9584,0,12071,4314,2709,0,4795,7393,2022,2,10254,2265,499,0,1095,15630,1855,312,4683,1656,0,0,4968,1801,883,30,8851,1715,313,0,10653,8341,1303,11574,0,0,0
1987,13199,68798,53468,12401,0,14509,5988,3309,0,5989,9354,2675,2,11952,2791,723,0,1373,18919,2477,312,5666,2343,0,0,6222,2572,1049,31,10271,1922,411,0,12816,9579,1757,12854,0,0,0
1988,14969,80168,62644,14780,0,17204,7142,3747,0,7302,10817,3138,2,13092,3472,785,0,1856,21686,3000,312,6867,2725,0,0,7616,3841,1198,37,11549,2028,477,0,14682,10933,2435,14618,0,0,0
1989,15606,88483,70334,16403,0,19360,7707,4040,0,8254,11757,3447,2,14081,3926,816,0,2185,24069,3459,314,7499,3192,0,0,8490,4953,1340,72,12386,2150,513,0,16228,12580,2788,15218,0,0,0
1990,16365,93770,76102,17500,0,20637,8442,4253,0,8866,12575,3617,3,14775,4343,829,0,2343,25383,3806,315,7920,3411,0,0,8884,5623,1459,82,13115,2385,543,0,17230,13940,2993,15965,0,0,0
1991,16755,98369,81448,18657,0,22138,9303,4464,0,9378,13132,3776,3,15523,4534,846,0,2436,26935,4128,315,8349,3567,0,0,9262,6280,1528,106,13453,2430,567,0,17830,15267,3348,16331,0,0,0
1992,17041,103754,88163,19858,0,23504,10400,4716,0,10099,13941,3932,3,16353,4747,847,0,2568,28673,4529,319,8846,3732,0,0,9703,6941,1603,138,13893,2564,609,0,18788,17165,3622,16581,0,0,0
1993,17473,110366,96051,21534,0,24916,11717,5083,0,11004,14947,4192,3,17580,5000,860,0,2696,30474,4945,319,9346,3979,0,0,10104,7776,1673,144,14840,2704,886,0,19880,19454,3895,17007,0,0,0
1994,17935,115904,103958,23346,0,26182,13214,5454,0,11724,16056,4612,3,18368,5251,875,0,2801,32207,5330,320,9922,4208,0,0,10437,8581,1774,170,15588,2960,1160,0,20882,21481,4141,17442,0,0,0
1995,18533,120283,111405,24789,0,27104,14631,5785,0,12338,16900,4842,3,18980,5459,920,0,2923,34373,5699,414,10467,4506,0,0,10655,9146,1869,187,15999,3206,1344,0,21817,23184,4330,17929,0,0,0
1996,19220,125097,119535,26427,0,28099,15698,6200,0,13041,18238,5094,3,19860,5705,1016,0,3043,36119,6123,414,10999,5057,0,0,10972,9787,1968,200,16312,3516,1510,0,22771,25415,4516,18603,0,0,0
1997,20294,130148,128973,28477,0,28938,17024,6718,0,13818,19394,5461,19,20901,5900,1092,0,3154,38949,6602,609,11524,5701,0,0,11316,10500,2086,200,16700,3913,1788,0,23797,27592,4730,19466,0,0,0
1998,20771,136293,138352,30590,0,29879,18274,7269,0,15009,20607,5772,33,21642,5987,1124,0,3409,41619,7166,609,12132,6371,0,0,11955,11099,2214,206,17400,4323,2065,0,24867,30072,4980,19923,0,0,0
1999,21170,141858,148141,32507,0,30720,19859,7747,0,15810,22139,6194,46,22429,6038,1140,0,3642,44157,7703,609,12664,6947,0,0,12682,11791,2322,225,18096,4647,2185,0,25815,32563,5216,20290,0,0,0
2000,22664,147245,156946,34364,0,31754,21151,8189,0,16290,23946,6682,51,23127,6110,1161,0,3833,46555,8165,731,13210,7421,0,0,13389,12305,2438,259,18998,4902,2277,0,26644,34556,5452,21623,0,0,0
2001,23535,152029,165373,36497,0,32429,22152,8684,0,16754,25093,7255,91,23755,6168,1192,0,4088,48639,8726,785,13651,8493,0,0,14122,13092,2553,264,19830,5377,2320,0,27400,36359,5767,22395,0,0,0
2002,24332,157698,173626,38788,0,33525,23372,9183,0,17288,26517,7656,333,24570,6258,1205,0,4343,50943,9471,786,14014,9064,0,0,14871,14032,2666,264,20944,5606,2405,0,28143,37834,6202,22949,0,0,0
2003,26198,164016,181499,41194,0,35224,24402,9669,0,17888,27413,7965,445,25984,6640,1231,0,4599,53019,10100,786,14345,9882,0,0,15594,14950,2884,264,21670,5775,2698,0,28712,39418,6647,24703,0,0,0
2004,29234,170050,189900,43026,0,36402,25491,9962,0,18504,28070,8208,586,26653,7220,1254,0,5009,55636,10734,812,14729,10383,0,0,16304,16094,3080,269,22974,5987,2818,0,29475,41019,6970,27567,0,0,0
2005,31764,176822,197144,45227,0,37180,26339,10440,0,19120,28501,8636,603,27773,7758,1285,0,5425,57608,11427,812,15070,10878,0,0,17079,17225,3249,276,23894,6227,2947,0,31281,42608,7243,30073,0,0,0
2006,34108,183074,202421,46982,0,37649,26962,10900,0,21301,28695,9045,776,28388,8135,1303,0,5686,59353,11948,814,15374,11390,0,0,17321,17981,3392,281,24570,6377,2963,0,32785,43528,7431,32237,0,0,0
2007,36607,186961,206488,48676,0,38131,27541,11198,0,21776,28926,9379,1062,29121,8283,1327,0,5915,60587,12577,818,15613,11697,0,0,17506,18612,3496,518,24920,6484,2969,0,33979,44358,7730,34209,0,0,0
2008,38650,190224,209755,49682,0,38733,27857,11390,0,22291,29178,9588,1204,29742,8398,1344,0,6105,61755,12877,926,15854,11840,0,0,17634,19211,3557,610,25258,6673,2975,0,34607,44843,7951,35910,0,0,0
2009,39863,192411,211797,50422,0,38873,28033,11533,0,22666,29460,9737,1401,30076,8439,1357,0,6291,62327,13076,995,16177,11942,0,0,17911,19763,3593,610,25464,6730,2981,0,34953,45103,8145,36857,0,0,0
2010,41014,194707,214135,51171,0,39052,28197,11664,0,22996,29680,9869,1529,30383,8475,1373,0,6388,63141,13277,1009,16434,12034,0,0,18033,20314,3636,635,25999,6821,2985,0,35422,45473,8367,37841,0,0,0
2011,42620,196601,216290,51814,0,39212,28403,11752,0,23388,29843,9979,1581,30891,8495,1395,0,6502,63737,13501,1011,16558,12098,0,0,18133,20781,3661,635,26266,6953,2986,0,35651,45980,8540,39393,0,0,0
2012,44843,199033,218540,52639,0,39464,28713,11848,0,23733,30094,10096,1618,31710,8499,1433,0,6775,64368,13716,1013,16667,12162,0,0,18246,21173,3690,644,26523,7063,3054,0,35915,46468,8802,41568,0,0,0
2013,48209,202133,221701,53490,0,39741,29259,11979,0,24119,30321,10213,2150,32510,8499,1469,0,6976,65204,13969,1013,16774,12285,0,0,18338,21983,3727,663,27390,7127,3092,0,36285,47023,9041,44383,0,0,0
2014,52879,205609,224590,54217,0,40072,29590,12095,0,24723,30575,10355,2837,33295,8499,1503,0,7379,66105,14124,1013,17002,12492,0,0,18453,22319,3767,673,27636,7208,3123,0,37049,47802,9250,48356,0,0,0
2015,56834,209043,227739,55027,0,40574,29995,12254,0,25207,30835,10503,3086,34059,8499,1530,0,7633,66964,14310,1013,17148,12695,0,0,18577,22892,3808,713,28279,7397,3147,0,37566,48462,9475,52022,0,0,0
2016,60271,212776,230809,55885,0,41098,30447,12369,0,25546,31203,10621,3180,34450,8543,1554,0,7784,67690,14591,1013,17342,12953,0,0,18663,23470,3871,881,28696,7509,3161,0,39197,48994,9718,55197,0,0,0
2017,63883,216876,234524,56599,0,41537,30871,12491,0,25982,31820,10701,3373,35157,9022,1575,0,7866,68596,14848,1013,17653,13223,0,0,18972,23851,3917,911,29199,7576,3166,0,40510,49565,9901,58586,0,0,0
2018,67209,221224,238231,57293,0,41922,31287,12597,0,26595,32379,10797,3445,35820,9034,1593,0,8001,70175,15073,1013,17789,13373,0,0,19146,24290,3944,926,29617,7634,3176,0,42334,50059,10113,61825,0,0,0
2019,71991,226590,242015,58087,,42283,31698,12663,,28467,33127,10993,3586,37077,9063,1596,,8413,71357,15322,1021,17990,13576,,,19296,24819,3981,993,29887,7829,3182,,43177,50546,10350,66391,,,
2020,77733,231446,246091,59057,,42642,32116,12762,,29368,33964,11261,3599,37875,9147,1596,,8857,72903,15631,1028,18302,13692,,,19466,25317,4035,1050,30630,7855,3188,,44306,51097,10584,72056,,,
2021,103087,236304,250295,60074,,43329,32546,12910,,30521,34862,11580,3613,38675,9237,1600,,9187,74370,15954,1038,18880,13849,,,19665,25738,4115,1123,30957,7990,3197,,45090,51703,10718,97313,,,
2022,106460,241560,254957,60809,,43978,32910,13017,,31302,35983,11772,3683,39639,9333,1604,,9901,75697,16208,1048,19240,13966,,,19884,26319,4173,1193,31463,8024,3230,,46153,52725,10805,100536,,,
2023,110335,245903,258278,62003,,44656,33065,13106,,32100,36781,11938,3683,40472,9443,1604,,10171,76522,16570,1054,19459,14150,,,20057,26940,4336,1199,32098,8057,3525,,46890,53320,10924,104399,,,
