year,DVRPC- large multi-family,DVRPC- single family,DVRPC- small multi-family,New Jersey Suburbs- large multi-family,New Jersey Suburbs- single family,New Jersey Suburbs- small multi-family,Pennsylvania Suburbs- large multi-family,Pennsylvania Suburbs- single family,Pennsylvania Suburbs- small multi-family,Bucks County- large multi-family,Bucks County- single family,Bucks County- small multi-family,Burlington County- large multi-family,Burlington County- single family,Burlington County- small multi-family,Camden County- large multi-family,Camden County- single family,Camden County- small multi-family,Chester County- large multi-family,Chester County- single family,Chester County- small multi-family,Delaware County- large multi-family,Delaware County- single family,Delaware County- small multi-family,Gloucester County- large multi-family,Gloucester County- single family,Gloucester County- small multi-family,Mercer County- large multi-family,Mercer County- single family,Mercer County- small multi-family,Montgomery County- large multi-family,Montgomery County- single family,Montgomery County- small multi-family,Philadelphia County- large multi-family,Philadelphia County- single family,Philadelphia County- small multi-family,Core City- large multi-family,Core City- single family,Core City- small multi-family,Developed Community- large multi-family,Developed Community- single family,Developed Community- small multi-family,Growing Suburb- large multi-family,Growing Suburb- single family,Growing Suburb- small multi-family,Rural Area- large multi-family,Rural Area- single family,Rural Area- small multi-family
1980,2012.0,9164.0,1712.0,205.0,3392.0,230.0,699.0,4949.0,946.0,123.0,1467.0,241.0,46.0,868.0,6.0,40.0,1224.0,132.0,154.0,1602.0,130.0,292.0,488.0,272.0,102.0,813.0,92.0,17.0,487.0,0.0,130.0,1392.0,303.0,1108.0,823.0,536.0,1108.0,825.0,536.0,836.0,4370.0,777.0,68.0,3022.0,390.0,0.0,947.0,9.0
1981,2032.0,6336.0,939.0,299.0,2197.0,141.0,449.0,3829.0,486.0,108.0,1009.0,152.0,144.0,591.0,10.0,130.0,727.0,115.0,45.0,1218.0,83.0,141.0,372.0,150.0,0.0,479.0,16.0,25.0,400.0,0.0,155.0,1230.0,101.0,1284.0,310.0,312.0,1309.0,311.0,312.0,643.0,2817.0,393.0,40.0,2549.0,201.0,40.0,659.0,33.0
1982,2264.0,6289.0,1208.0,607.0,2630.0,302.0,769.0,3173.0,705.0,142.0,1030.0,198.0,322.0,922.0,42.0,157.0,832.0,247.0,225.0,934.0,61.0,125.0,233.0,278.0,32.0,472.0,2.0,96.0,404.0,11.0,277.0,976.0,168.0,888.0,486.0,201.0,1013.0,489.0,380.0,483.0,2864.0,549.0,724.0,2236.0,230.0,44.0,700.0,49.0
1983,2905.0,12469.0,1437.0,1386.0,4774.0,361.0,1192.0,7413.0,675.0,135.0,2148.0,252.0,392.0,1612.0,42.0,696.0,1263.0,295.0,423.0,2387.0,38.0,109.0,651.0,69.0,130.0,823.0,18.0,168.0,1076.0,6.0,525.0,2227.0,316.0,327.0,282.0,401.0,327.0,285.0,401.0,1855.0,5951.0,779.0,702.0,4913.0,242.0,21.0,1320.0,15.0
1984,2872.0,15929.0,1270.0,1075.0,6900.0,169.0,1486.0,8731.0,705.0,414.0,2240.0,316.0,384.0,2404.0,2.0,316.0,1935.0,142.0,297.0,2692.0,32.0,190.0,836.0,30.0,227.0,995.0,12.0,148.0,1566.0,13.0,585.0,2963.0,327.0,311.0,298.0,396.0,311.0,299.0,396.0,1572.0,7992.0,579.0,836.0,6124.0,251.0,153.0,1514.0,44.0
1985,2838.0,19749.0,1124.0,974.0,8442.0,81.0,1410.0,10630.0,619.0,437.0,3043.0,277.0,212.0,2565.0,18.0,50.0,2228.0,51.0,134.0,3143.0,54.0,41.0,954.0,75.0,160.0,1349.0,12.0,552.0,2300.0,0.0,798.0,3490.0,213.0,454.0,677.0,424.0,454.0,680.0,424.0,1632.0,9707.0,347.0,693.0,7754.0,323.0,59.0,1608.0,30.0
1986,4846.0,23862.0,730.0,2195.0,9274.0,157.0,1683.0,13754.0,319.0,461.0,4794.0,107.0,817.0,2793.0,18.0,444.0,1872.0,124.0,517.0,4375.0,36.0,107.0,1188.0,50.0,129.0,1777.0,12.0,805.0,2832.0,3.0,598.0,3397.0,126.0,968.0,834.0,254.0,968.0,836.0,254.0,2285.0,10647.0,292.0,1585.0,10075.0,157.0,8.0,2304.0,27.0
1987,4115.0,20997.0,767.0,1631.0,8412.0,130.0,2055.0,11948.0,423.0,691.0,3793.0,228.0,690.0,3081.0,37.0,322.0,2060.0,66.0,302.0,3826.0,61.0,420.0,1171.0,79.0,213.0,1954.0,24.0,406.0,1317.0,3.0,642.0,3158.0,55.0,429.0,637.0,214.0,429.0,638.0,214.0,1738.0,9330.0,360.0,1943.0,8223.0,187.0,5.0,2806.0,6.0
1988,3780.0,20349.0,566.0,1546.0,7731.0,113.0,1371.0,11886.0,284.0,368.0,3772.0,147.0,583.0,2575.0,81.0,197.0,1671.0,15.0,168.0,3582.0,23.0,446.0,1080.0,57.0,410.0,2388.0,14.0,356.0,1097.0,3.0,389.0,3452.0,57.0,863.0,732.0,169.0,863.0,738.0,169.0,2166.0,8975.0,229.0,751.0,8283.0,142.0,0.0,2353.0,26.0
1989,2644.0,15243.0,378.0,657.0,6150.0,26.0,1851.0,8689.0,292.0,527.0,2384.0,103.0,200.0,1999.0,2.0,159.0,1309.0,6.0,544.0,2567.0,60.0,215.0,794.0,92.0,108.0,2008.0,12.0,190.0,834.0,6.0,565.0,2944.0,37.0,136.0,404.0,60.0,142.0,435.0,60.0,1547.0,6581.0,187.0,905.0,6656.0,129.0,50.0,1571.0,2.0
