"year","DVRPC- large multi-family","DVRPC- single family","DVRPC- small multi-family","New Jersey Suburbs- large multi-family","New Jersey Suburbs- single family","New Jersey Suburbs- small multi-family","Pennsylvania Suburbs- large multi-family","Pennsylvania Suburbs- single family","Pennsylvania Suburbs- small multi-family","Bucks County- large multi-family","Bucks County- single family","Bucks County- small multi-family","Burlington County- large multi-family","Burlington County- single family","Burlington County- small multi-family","Camden County- large multi-family","Camden County- single family","Camden County- small multi-family","Chester County- large multi-family","Chester County- single family","Chester County- small multi-family","Delaware County- large multi-family","Delaware County- single family","Delaware County- small multi-family","Gloucester County- large multi-family","Gloucester County- single family","Gloucester County- small multi-family","Mercer County- large multi-family","Mercer County- single family","Mercer County- small multi-family","Montgomery County- large multi-family","Montgomery County- single family","Montgomery County- small multi-family","Philadelphia County- large multi-family","Philadelphia County- single family","Philadelphia County- small multi-family","Core City- large multi-family","Core City- single family","Core City- small multi-family","Developed Community- large multi-family","Developed Community- single family","Developed Community- small multi-family","Growing Suburb- large multi-family","Growing Suburb- single family","Growing Suburb- small multi-family","Rural Area- large multi-family","Rural Area- single family","Rural Area- small multi-family"
1980,2012,9164,1712,205,3392,230,699,4949,946,123,1467,241,46,868,6,40,1224,132,154,1602,130,292,488,272,102,813,92,17,487,0,130,1392,303,1108,823,536,1108,825,536,836,4370,777,68,3022,390,0,947,9
1981,4044,15500,2651,504,5589,371,1148,8778,1432,231,2476,393,190,1459,16,170,1951,247,199,2820,213,433,860,422,102,1292,108,42,887,0,285,2622,404,2392,1133,848,2417,1136,848,1479,7187,1170,108,5571,591,40,1606,42
1982,6308,21789,3859,1111,8219,673,1917,11951,2137,373,3506,591,512,2381,58,327,2783,494,424,3754,274,558,1093,700,134,1764,110,138,1291,11,562,3598,572,3280,1619,1049,3430,1625,1228,1962,10051,1719,832,7807,821,84,2306,91
1983,9213,34258,5296,2497,12993,1034,3109,19364,2812,508,5654,843,904,3993,100,1023,4046,789,847,6141,312,667,1744,769,264,2587,128,306,2367,17,1087,5825,888,3607,1901,1450,3757,1910,1629,3817,16002,2498,1534,12720,1063,105,3626,106
1984,12085,50187,6566,3572,19893,1203,4595,28095,3517,922,7894,1159,1288,6397,102,1339,5981,931,1144,8833,344,857,2580,799,491,3582,140,454,3933,30,1672,8788,1215,3918,2199,1846,4068,2209,2025,5389,23994,3077,2370,18844,1314,258,5140,150
1985,14923,69936,7690,4546,28335,1284,6005,38725,4136,1359,10937,1436,1500,8962,120,1389,8209,982,1278,11976,398,898,3534,874,651,4931,152,1006,6233,30,2470,12278,1428,4372,2876,2270,4522,2889,2449,7021,33701,3424,3063,26598,1637,317,6748,180
1986,19769,93798,8420,6741,37609,1441,7688,52479,4455,1820,15731,1543,2317,11755,138,1833,10081,1106,1795,16351,434,1005,4722,924,780,6708,164,1811,9065,33,3068,15675,1554,5340,3710,2524,5490,3725,2703,9306,44348,3716,4648,36673,1794,325,9052,207
1987,23884,114795,9187,8372,46021,1571,9743,64427,4878,2511,19524,1771,3007,14836,175,2155,12141,1172,2097,20177,495,1425,5893,1003,993,8662,188,2217,10382,36,3710,18833,1609,5769,4347,2738,5919,4363,2917,11044,53678,4076,6591,44896,1981,330,11858,213
1988,27664,135144,9753,9918,53752,1684,11114,76313,5162,2879,23296,1918,3590,17411,256,2352,13812,1187,2265,23759,518,1871,6973,1060,1403,11050,202,2573,11479,39,4099,22285,1666,6632,5079,2907,6782,5101,3086,13210,62653,4305,7342,53179,2123,330,14211,239
1989,30308,150387,10131,10575,59902,1710,12965,85002,5454,3406,25680,2021,3790,19410,258,2511,15121,1193,2809,26326,578,2086,7767,1152,1511,13058,214,2763,12313,45,4664,25229,1703,6768,5483,2967,6924,5536,3146,14757,69234,4492,8247,59835,2252,380,15782,241
1990,32436,160869,10432,11476,63889,1734,13660,91318,5695,3598,27577,2157,3906,20890,262,2802,15947,1201,2926,28000,606,2174,8290,1182,1525,14219,222,3243,12833,49,4962,27451,1750,7300,5662,3003,7456,5727,3182,15745,73400,4625,8849,64879,2374,386,16863,251
1991,33457,171079,10693,11590,67474,1754,14507,97795,5778,3822,29915,2168,3930,22094,262,2802,16903,1201,3305,29573,621,2244,8788,1199,1604,15232,234,3254,13245,57,5136,29519,1790,7360,5810,3161,7516,5899,3340,16056,77627,4686,9459,69573,2416,426,17980,251
1992,34074,183858,10884,11810,71788,1775,14857,106071,5934,3874,32556,2190,4034,23671,267,2832,17909,1209,3415,31706,649,2244,9440,1213,1648,16365,234,3296,13843,65,5324,32369,1882,7407,5999,3175,7563,6124,3354,16264,82721,4769,9809,75846,2508,438,19167,253
1993,35661,198563,11200,12845,77076,1792,15185,115305,6214,3939,35545,2232,4239,25635,269,3147,19087,1209,3503,33915,697,2244,10183,1217,1677,17630,246,3782,14724,68,5499,35662,2068,7631,6182,3194,7787,6310,3376,17281,88207,4878,10145,83213,2693,448,20833,253
1994,36593,213127,11423,13293,82458,1808,15484,124254,6404,3988,38620,2242,4393,27722,277,3152,20134,1211,3613,36004,721,2349,10880,1221,1718,18822,252,4030,15780,68,5534,38750,2220,7816,6415,3211,7972,6570,3393,17746,93203,4955,10417,90719,2822,458,22635,253
1995,37711,225634,11665,13395,86632,1821,16287,132325,6621,4090,41188,2242,4429,29369,282,3173,20974,1215,4078,38156,761,2361,11791,1235,1718,19700,252,4075,16589,72,5758,41190,2383,8029,6677,3223,8185,6933,3415,18035,97218,5030,11028,97412,2965,463,24071,255
1996,39623,238791,11865,13791,91592,1839,17356,140308,6790,4402,43349,2246,4750,31337,286,3203,22160,1221,4188,40286,811,2555,12668,1247,1753,20718,256,4085,17377,76,6211,44005,2486,8476,6891,3236,8632,7160,3428,18589,101435,5073,11913,104515,3107,489,25681,257
1997,42705,253051,12136,14330,96887,1871,19123,149223,6992,4486,45939,2255,5022,33349,302,3433,23252,1227,5072,42706,927,2821,13746,1267,1769,21869,264,4106,18417,78,6744,46832,2543,9252,6941,3273,9576,7253,3465,19127,105885,5136,13405,112290,3278,597,27623,257
1998,45123,268497,12386,15093,102450,1893,20389,159066,7192,4553,48606,2263,5443,35633,312,3466,24093,1227,5569,45611,1014,2979,14838,1295,1885,23107,276,4299,19617,78,7288,50011,2620,9641,6981,3301,9965,7313,3493,20106,110981,5206,14419,120505,3428,633,29698,259
1999,47436,283607,12633,15964,107864,1916,21636,168665,7341,4721,51314,2291,5874,37939,330,3634,24792,1227,5753,48701,1048,3184,15717,1319,2099,24417,279,4357,20716,80,7978,52933,2683,9836,7078,3376,10160,7442,3568,20989,115599,5270,15623,128990,3528,664,31576,267
2000,49957,298120,13142,16617,113336,1982,22298,177611,7752,4889,53682,2523,6310,40221,387,3742,25478,1229,5851,51613,1089,3416,16603,1343,2139,25711,282,4426,21926,84,8142,55713,2797,11042,7173,3408,11366,7698,3600,21544,120172,5529,16359,136848,3739,688,33402,274
2001,52403,311617,13414,17165,118654,2047,23582,185686,7905,5109,55560,2596,6369,42339,394,3809,26168,1229,5921,54433,1099,4220,17336,1373,2436,27049,282,4551,23098,142,8332,58357,2837,11656,7277,3462,11980,7901,3654,22161,124197,5671,17561,144001,3811,701,35518,278
2002,54703,325916,13825,18184,124287,2144,24541,194205,8134,5483,57871,2726,6666,44365,430,4171,26960,1235,6031,57601,1125,4418,18024,1422,2546,28738,285,4801,24224,194,8609,60709,2861,11978,7424,3547,12318,8275,3739,23443,128403,5852,18241,151441,3944,701,37797,290
2003,59549,339117,14241,19722,129509,2170,26357,202056,8390,6512,60013,2770,6814,46004,448,4852,28205,1243,6149,60419,1150,4754,18783,1476,2845,30298,285,5211,25002,194,8942,62841,2994,13470,7552,3681,13810,8515,3873,25597,132512,5907,19265,158116,4118,877,39974,343
2004,64925,352565,14720,21142,134609,2270,27758,210270,8594,6949,62091,2815,7014,47306,462,4986,29427,1300,6679,63521,1179,4835,19563,1526,3246,31936,296,5896,25940,212,9295,65095,3074,16025,7686,3856,16431,8704,4099,27142,136910,5998,20465,165234,4201,887,41717,422
2005,69349,366354,15254,21984,140162,2427,29438,218123,8750,7124,63983,2852,7175,48596,486,5483,30587,1349,6879,66386,1195,4862,20359,1539,3362,33818,373,5964,27161,219,10573,67395,3164,17927,8069,4077,18349,9095,4320,29181,141421,6220,20896,171974,4274,923,43864,440
2006,74092,376640,15853,24130,143629,2769,30451,224494,8875,7202,65453,2856,8759,49592,690,5720,31459,1423,7160,68615,1212,4913,21120,1545,3482,34839,373,6169,27739,283,11176,69306,3262,19511,8517,4209,20017,9568,4523,31629,144948,6497,21487,176557,4377,959,45567,456
