"year","core","devcom","grosub","rural","burlington","camden","gloucester","mercer","bucks","chester","delaware","montgomery","philadelphia","njcnt","pasub","dvrpc","corecount","devcomcount","grosubcount","ruralcount","burlingtoncount","camdencount","gloucestercount","mercercount","buckscount","chestercount","delawarecount","montgomerycount","philadelphiacount","njcntcount","pasubcount","dvrpccount","coreperc","devcomperc","grosubperc","ruralperc","burlingtonperc","camdenperc","gloucesterperc","mercerperc","bucksperc","chesterperc","delawareperc","montgomeryperc","philadelphiaperc","njcntperc","pasubperc","dvrpcperc"
1790,,,,,18.1,0.0,13.4,0.0,25.4,27.9,9.5,22.9,54.4,31.5,85.8,171.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,21.5,0.0,16.1,0.0,27.5,32.1,12.8,24.2,81.0,37.6,96.5,215.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,,,,,25.0,0.0,19.7,0.0,32.4,39.6,14.7,29.7,111.2,44.7,116.4,272.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,,,,,28.8,0.0,23.1,0.0,37.8,44.5,14.8,35.8,137.1,51.9,132.9,321.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,,,,,31.1,0.0,28.4,0.0,45.7,50.9,17.3,39.4,188.8,59.5,153.4,401.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,,,,,32.8,0.0,25.4,21.5,48.1,57.5,19.8,47.2,258.0,79.8,172.7,510.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,,,,,43.2,25.4,14.7,28.0,56.1,66.4,24.7,58.3,408.8,111.3,205.5,725.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,,,,,49.7,34.5,18.4,37.4,63.6,74.6,30.6,70.5,565.5,140.1,239.3,944.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,,,53.6,46.2,21.6,46.4,64.3,77.8,39.4,81.6,674.0,167.8,263.2,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,,,,,55.4,62.9,25.9,58.1,68.7,83.5,56.1,96.5,847.2,202.3,304.7,1354.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,,,,,58.5,87.7,28.6,80.0,70.6,89.4,74.7,123.3,1047.0,254.8,358.0,1659.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,58.2,107.6,31.9,95.4,71.2,95.7,94.8,139.0,1293.7,293.2,400.6,1987.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,,,,,66.6,142.0,37.4,125.7,76.5,109.2,117.9,169.6,1549.0,371.6,473.2,2393.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920,,,,,81.8,190.5,48.2,159.9,82.5,115.1,173.1,199.3,1823.8,480.4,570.0,2874.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,,,,,93.5,252.3,70.8,187.1,96.7,126.6,280.3,265.8,1951.0,603.8,769.4,3324.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940,,,,,97.0,255.7,72.2,197.3,107.7,135.6,310.8,289.2,1931.3,622.3,843.3,3397.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,135.9,300.7,91.7,229.8,144.6,159.1,414.2,353.1,2071.6,758.2,1071.1,3900.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,,,,,224.5,392.0,134.8,266.4,308.6,210.6,553.2,516.7,2002.5,1017.8,1589.0,4609.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
