Year,Burlington_<20,Burlington_20-34,Burlington_35-49,Burlington_50-64,Burlington_65+,Camden_<20,Camden_20-34,Camden_35-49,Camden_50-64,Camden_65+,Gloucester_<20,Gloucester_20-34,Gloucester_35-49,Gloucester_50-64,Gloucester_65+,Mercer_<20,Mercer_20-34,Mercer_35-49,Mercer_50-64,Mercer_65+,Bucks_<20,Bucks_20-34,Bucks_35-49,Bucks_50-64,Bucks_65+,Chester_<20,Chester_20-34,Chester_35-49,Chester_50-64,Chester_65+,Delaware_<20,Delaware_20-34,Delaware_35-49,Delaware_50-64,Delaware_65+,Montgomery_<20,Montgomery_20-34,Montgomery_35-49,Montgomery_50-64,Montgomery_65+,Philadelphia_<20,Philadelphia_20-34,Philadelphia_35-49,Philadelphia_50-64,Philadelphia_65+,NJCnt_<20,NJCnt_20-34,NJCnt_35-49,NJCnt_50-64,NJCnt_65+,PASub_<20,PASub_20-34,PASub_35-49,PASub_50-64,PASub_65+,DVRPC_<20,DVRPC_20-34,DVRPC_35-49,DVRPC_50-64,DVRPC_65+
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,97.0,50.0,187.0,549.0,264.0,-295.0,-189.0,-142.0,360.0,3.0,43.0,41.0,114.0,309.0,132.0,60.0,94.0,161.0,384.0,101.0,160.0,85.0,328.0,836.0,413.0,436.0,252.0,526.0,760.0,354.0,-183.0,-101.0,4.0,485.0,-89.0,227.0,98.0,399.0,1045.0,219.0,-1522.0,-1258.0,-659.0,713.0,-1016.0,-95.0,-4.0,320.0,1602.0,500.0,640.0,334.0,1257.0,3126.0,897.0,-977.0,-928.0,918.0,5441.0,381.0
2002,1329.0,-739.0,1745.0,2791.0,1129.0,-1225.0,-799.0,-158.0,2378.0,-277.0,-203.0,110.0,934.0,2036.0,472.0,1086.0,-368.0,326.0,2094.0,66.0,236.0,-2316.0,1388.0,4619.0,1682.0,2533.0,-802.0,1807.0,3430.0,1294.0,2.0,-625.0,-13.0,2394.0,-1071.0,2718.0,-916.0,1721.0,4574.0,795.0,-6391.0,2400.0,-1451.0,4539.0,-4132.0,987.0,-1796.0,2847.0,9299.0,1390.0,5489.0,-4659.0,4903.0,15017.0,2700.0,85.0,-4055.0,6299.0,28855.0,-42.0
2003,2466.0,244.0,3061.0,5333.0,1814.0,-1538.0,-323.0,-292.0,4490.0,-465.0,394.0,904.0,1823.0,3907.0,789.0,1562.0,-249.0,504.0,3494.0,26.0,-44.0,-3213.0,1913.0,8328.0,2849.0,4235.0,-931.0,2835.0,6675.0,2431.0,-374.0,-520.0,-912.0,4713.0,-2295.0,3901.0,-1201.0,2029.0,8257.0,1245.0,-9700.0,5217.0,-3515.0,8228.0,-7222.0,2884.0,576.0,5096.0,17224.0,2164.0,7718.0,-5865.0,5865.0,27973.0,4230.0,902.0,-72.0,7446.0,53425.0,-828.0
2004,3594.0,1104.0,3835.0,7821.0,2827.0,-2591.0,460.0,-1210.0,6714.0,-700.0,1081.0,2125.0,2419.0,5674.0,1257.0,2205.0,105.0,646.0,4973.0,-21.0,-1294.0,-3347.0,934.0,12089.0,4117.0,5723.0,207.0,3370.0,9777.0,3299.0,-1024.0,-157.0,-2609.0,7452.0,-3283.0,4524.0,-1295.0,1996.0,12509.0,1519.0,-11736.0,7596.0,-4838.0,12032.0,-10528.0,4289.0,3794.0,5690.0,25182.0,3363.0,7929.0,-4592.0,3691.0,41827.0,5652.0,482.0,6798.0,4543.0,79041.0,-1513.0
2005,3655.0,1442.0,3950.0,10081.0,3513.0,-2957.0,1174.0,-1647.0,9064.0,-835.0,1826.0,3049.0,2988.0,7769.0,1687.0,2938.0,512.0,762.0,6467.0,-215.0,-2208.0,-3694.0,-251.0,16661.0,5551.0,7680.0,927.0,4301.0,13102.0,4389.0,-1623.0,-156.0,-3951.0,10140.0,-4705.0,4903.0,-2403.0,1087.0,16560.0,1566.0,-11305.0,10741.0,-5790.0,17551.0,-14081.0,5462.0,6177.0,6053.0,33381.0,4150.0,8752.0,-5326.0,1186.0,56463.0,6801.0,2909.0,11592.0,1449.0,107395.0,-3130.0
2006,2969.0,754.0,3415.0,12135.0,3789.0,-3673.0,1860.0,-2055.0,11743.0,-826.0,1839.0,3781.0,3406.0,9859.0,2094.0,2585.0,356.0,327.0,8161.0,-308.0,-3589.0,-4412.0,-1516.0,21205.0,6727.0,9288.0,1685.0,4964.0,16550.0,5574.0,-1964.0,-71.0,-5568.0,13590.0,-5837.0,4024.0,-2966.0,-299.0,20976.0,1420.0,-13195.0,12274.0,-6220.0,23130.0,-15903.0,3720.0,6751.0,5093.0,41898.0,4749.0,7759.0,-5764.0,-2419.0,72321.0,7884.0,-1716.0,13261.0,-3546.0,137349.0,-3270.0
2007,1836.0,328.0,2731.0,14413.0,4423.0,-4947.0,2666.0,-2751.0,14484.0,-816.0,2411.0,4736.0,4177.0,11850.0,3061.0,2166.0,333.0,15.0,9642.0,-104.0,-4533.0,-4867.0,-3105.0,25486.0,8632.0,10972.0,2614.0,5738.0,19895.0,7480.0,-2022.0,929.0,-7116.0,16772.0,-6875.0,3265.0,-3544.0,-2564.0,25217.0,1607.0,-14807.0,14856.0,-6476.0,28869.0,-19733.0,1466.0,8063.0,4172.0,50389.0,6564.0,7682.0,-4868.0,-7047.0,87370.0,10844.0,-5659.0,18051.0,-9351.0,166628.0,-2325.0
2008,323.0,-148.0,887.0,16575.0,5277.0,-6069.0,3116.0,-4696.0,17222.0,75.0,2926.0,5797.0,3953.0,13997.0,3682.0,1917.0,306.0,-938.0,11134.0,222.0,-5910.0,-4738.0,-5888.0,29533.0,10705.0,12150.0,4270.0,5136.0,23735.0,8775.0,-2772.0,1915.0,-9507.0,20253.0,-6846.0,2520.0,-2984.0,-5230.0,30101.0,2237.0,-15292.0,20904.0,-7896.0,35314.0,-20541.0,-903.0,9071.0,-794.0,58928.0,9256.0,5988.0,-1537.0,-15489.0,103622.0,14871.0,-10207.0,28438.0,-24179.0,197864.0,3586.0
2009,-1131.0,-64.0,-1654.0,18349.0,6592.0,-7572.0,3677.0,-7025.0,19308.0,1440.0,2675.0,6455.0,3114.0,15584.0,4639.0,1622.0,601.0,-2080.0,12671.0,996.0,-7300.0,-4153.0,-9449.0,33127.0,13705.0,13040.0,5416.0,3870.0,26764.0,10690.0,-3663.0,3578.0,-12427.0,23011.0,-6224.0,1543.0,-1045.0,-9211.0,33890.0,4288.0,-16763.0,28040.0,-9809.0,41093.0,-19752.0,-4406.0,10669.0,-7645.0,65912.0,13667.0,3620.0,3796.0,-27217.0,116792.0,22459.0,-17549.0,42505.0,-44671.0,223797.0,16374.0
