"year","burlington_<20","burlington_2034","burlington_3549","burlington_5064","burlington_65","camden_<20","camden_2034","camden_3549","camden_5064","camden_65","gloucester_<20","gloucester_2034","gloucester_3549","gloucester_5064","gloucester_65","mercer_<20","mercer_2034","mercer_3549","mercer_5064","mercer_65","bucks_<20","bucks_2034","bucks_3549","bucks_5064","bucks_65","chester_<20","chester_2034","chester_3549","chester_5064","chester_65","delaware_<20","delaware_2034","delaware_3549","delaware_5064","delaware_65","montgomery_<20","montgomery_2034","montgomery_3549","montgomery_5064","montgomery_65","philadelphia_<20","philadelphia_2034","philadelphia_3549","philadelphia_5064","philadelphia_65","njcnt_<20","njcnt_2034","njcnt_3549","njcnt_5064","njcnt_65","pasub_<20","pasub_2034","pasub_3549","pasub_5064","pasub_65","dvrpc_<20","dvrpc_2034","dvrpc_3549","dvrpc_5064","dvrpc_65"
2000,80.1,115.6,107.2,67.3,53.2,98.9,148.3,121.6,75.5,63.7,48.5,74.6,64.4,38.5,29.7,73.9,95.7,84.2,52.9,44.1,103.7,166.9,156.0,96.9,74.1,78.1,124.6,111.6,68.5,50.7,102.1,154.0,129.7,80.5,85.7,137.2,196.8,184.9,118.2,111.8,342.5,433.7,316.9,210.7,213.7,301.3,434.2,377.3,234.1,190.8,421.2,642.3,582.1,364.2,322.2,1065.0,1510.2,1276.4,809.0,726.8
2001,80.2,115.7,107.3,67.8,53.5,98.7,148.0,121.4,75.8,63.7,48.6,74.6,64.5,38.8,29.9,74.0,95.7,84.3,53.3,44.2,103.8,167.0,156.4,97.7,74.5,78.4,125.0,112.1,69.3,51.0,102.0,153.8,129.7,81.0,85.6,137.3,197.0,185.3,119.3,112.0,341.2,432.2,316.3,211.4,212.7,301.3,434.1,377.6,235.7,191.3,421.5,643.0,583.4,367.3,323.1,1064.1,1509.2,1277.3,814.5,727.1
2002,79.4,117.0,108.9,70.1,54.3,98.1,147.1,121.4,77.9,63.4,48.6,74.4,65.4,40.5,30.2,73.5,96.7,84.5,55.0,44.2,101.4,167.1,157.4,101.5,75.8,77.3,127.1,113.4,72.0,52.0,101.5,154.0,129.7,82.9,84.6,136.3,199.5,186.6,122.8,112.6,344.9,427.3,315.5,215.3,209.6,299.6,435.2,380.2,243.4,192.2,416.6,647.8,587.1,379.2,324.9,1061.0,1510.3,1282.7,837.9,726.7
2003,80.4,118.1,110.2,72.6,55.0,98.5,146.8,121.3,80.0,63.2,49.4,75.0,66.3,42.4,30.5,73.6,97.2,84.7,56.4,44.2,100.5,166.8,157.9,105.2,76.9,77.2,128.8,114.4,75.2,53.1,101.6,153.7,128.8,85.2,83.4,136.0,200.7,186.9,126.5,113.0,347.7,424.0,313.4,219.0,206.5,301.9,437.1,382.4,251.3,193.0,415.3,650.0,588.0,392.2,326.5,1065.0,1511.1,1283.8,862.5,725.9
2004,81.2,119.2,111.0,75.1,56.0,99.3,145.7,120.4,82.2,63.0,50.6,75.6,66.8,44.1,31.0,74.0,97.9,84.8,57.9,44.1,100.4,165.6,157.0,109.0,78.2,78.3,130.3,114.9,78.3,54.0,101.9,153.0,127.1,88.0,82.4,135.9,201.3,186.9,130.8,113.3,350.1,422.0,312.1,222.8,203.2,305.1,438.5,383.0,259.3,194.2,416.6,650.2,585.8,406.0,327.9,1071.8,1510.7,1280.9,888.1,725.3
2005,81.6,119.3,111.1,77.4,56.7,100.0,145.4,119.9,84.5,62.9,51.6,76.4,67.4,46.2,31.4,74.4,98.6,84.9,59.4,43.9,100.0,164.7,155.8,113.6,79.6,79.1,132.3,115.9,81.6,55.1,101.9,152.4,125.7,90.7,81.0,134.8,201.7,186.0,134.8,113.4,353.2,422.4,311.1,228.3,199.6,307.5,439.6,383.4,267.5,195.0,415.9,651.1,583.3,420.7,329.0,1076.6,1513.1,1277.8,916.4,723.6
2006,80.9,118.6,110.6,79.4,57.0,100.7,144.6,119.5,87.2,62.9,52.3,76.4,67.8,48.3,31.8,74.2,98.2,84.5,61.1,43.8,99.3,163.3,154.5,118.1,80.8,79.8,133.9,116.5,85.1,56.3,102.0,152.1,124.1,94.1,79.8,134.3,200.8,184.6,139.2,113.2,354.7,420.5,310.7,233.9,197.8,308.1,437.9,382.4,276.0,195.6,415.4,650.1,579.7,436.5,330.1,1078.3,1508.5,1272.9,946.4,723.5
2007,80.4,117.5,109.9,81.7,57.6,101.5,143.4,118.8,90.0,62.9,53.2,77.0,68.6,50.3,32.8,74.2,97.8,84.2,62.6,44.0,98.9,162.3,152.9,122.4,82.7,80.7,135.6,117.3,88.4,58.2,103.0,152.0,122.5,97.3,78.8,133.7,200.1,182.3,143.5,113.4,357.3,418.9,310.4,239.6,194.0,309.4,435.7,381.5,284.5,197.4,416.3,650.0,575.1,451.6,333.1,1083.1,1504.5,1267.0,975.7,724.4
2008,80.0,116.0,108.0,83.8,58.5,102.0,142.3,116.9,92.7,63.8,54.3,77.5,68.4,52.4,33.4,74.2,97.6,83.2,64.0,44.4,99.0,161.0,150.1,126.4,84.8,82.4,136.7,116.7,92.3,59.5,104.0,151.3,120.2,100.8,78.8,134.3,199.3,179.7,148.3,114.0,363.4,418.4,309.0,246.0,193.2,310.4,433.3,376.5,293.0,200.1,419.7,648.3,566.7,467.8,337.1,1093.5,1500.0,1252.2,1006.9,730.4
2009,80.1,114.5,105.5,85.6,59.8,102.5,140.7,114.5,94.8,65.1,55.0,77.2,67.5,54.0,34.4,74.5,97.3,82.1,65.6,45.1,99.6,159.6,146.6,130.0,87.8,83.5,137.6,115.4,95.3,61.4,105.7,150.4,117.2,103.5,79.4,136.2,198.4,175.7,152.1,116.1,370.5,416.9,307.1,251.8,194.0,312.0,429.8,369.7,300.0,204.5,425.0,645.9,554.9,481.0,344.7,1107.5,1492.6,1231.7,1032.8,743.1
2010,78.4,114.8,100.6,93.0,62.4,100.1,137.8,108.4,101.1,65.9,52.4,78.2,64.6,58.0,35.9,74.8,95.6,80.3,70.5,46.5,99.5,157.5,137.5,139.3,91.7,85.1,138.3,109.8,102.4,64.3,106.1,149.6,111.8,111.7,79.8,140.5,202.0,172.5,164.9,121.0,394.9,399.6,286.2,262.0,185.5,305.7,426.5,353.9,322.5,210.7,431.2,647.4,531.6,518.3,356.8,1131.8,1473.5,1171.7,1102.8,752.9
2011,80.1,114.2,98.1,95.7,63.9,101.8,136.3,105.9,103.6,67.1,53.3,77.7,63.2,59.9,36.7,75.1,95.6,79.3,72.6,47.2,100.6,156.6,133.2,144.0,94.0,85.8,138.9,107.6,105.9,66.2,107.3,148.8,109.3,115.0,80.2,142.5,203.1,169.1,170.3,123.1,407.3,396.4,285.0,268.2,186.6,310.3,423.9,346.6,331.9,214.9,436.2,647.5,519.3,535.2,363.5,1153.8,1467.7,1150.8,1135.3,765.0
2012,81.9,112.9,95.7,96.7,66.8,102.7,134.3,104.0,104.4,70.0,54.0,77.2,61.6,60.7,38.5,76.3,95.6,78.6,73.6,48.9,101.7,154.6,129.2,145.6,98.6,87.1,138.4,105.3,107.3,69.7,108.9,148.2,107.2,116.2,82.5,144.7,202.6,166.3,172.4,128.0,415.8,394.4,285.2,270.7,191.1,314.9,420.1,339.8,335.4,224.2,442.3,643.8,508.1,541.5,378.8,1173.1,1458.2,1133.1,1147.6,794.0
