"Label","Burlington","Camden","Gloucester","Mercer","Bucks","Chester","Delaware","Montgomery","Philadelphia"
"2020 Base",0,0,0,0,0,0,0,0,0
Births 2020,4473,6061,2813,3905,5486,5279,6165,8320,19406
Deaths 2020,-4494,-5747,-3235,-3364,-6820,-4431,-6024,-8470,-17179
Natural Increase 2020-2021,-21,314,-422,541,-1334,848,141,-150,2227
Births 2021,4749,6222,3092,4164,5828,5673,6549,8726,19337
Deaths 2021,-4629,-5538,-3217,-3455,-7108,-4514,-5787,-8397,-16034
Natural Increase 2020-2022,99,998,-547,1250,-2614,2007,903,179,5530
Births 2022,4785,6073,3018,4184,5509,5669,6330,8400,18771
Deaths 2022,-4383,-4957,-2833,-3131,-6652,-4425,-5625,-8160,-14889
Natural Increase 2020-2023,501,2114,-362,2303,-3757,3251,1608,419,9412
Births 2023,4676,5887,2974,4166,5778,5517,6075,8329,18433
Deaths 2023,-4310,-4959,-2889,-3118,-6569,-4333,-5436,-7849,-14193
Natural Increase 2020-2024,867,3042,-277,3351,-4548,4435,2247,899,13652
Births 2024,4708,5934,2984,4178,5811,5527,6084,8325,18315
Deaths 2024,-4286,-4932,-2872,-3096,-6589,-4354,-5466,-7883,-14323
Natural Increase 2020-2025,1289,4044,-165,4433,-5326,5608,2865,1341,17644
