"label","burlington","camden","gloucester","mercer","bucks","chester","delaware","montgomery","philadelphia"
"2020 Base",0,0,0,0,0,0,0,0,0
International 2020,249,439,87,817,373,411,646,676,2690
Domestic 2020,2237,-135,2267,-5423,1896,4753,-672,6482,-16186
Net Migration 2020-2021,2486,304,2354,-4606,2269,5164,-26,7158,-13496
International 2021,2315,2002,460,4527,1429,1622,1969,2244,11845
Domestic 2021,1279,-858,1870,-151,-1319,3463,-3057,-882,-33573
Net Migration 2020-2022,6080,1448,4684,-230,2379,10249,-1114,8520,-35224
International 2022,2584,3051,575,6188,2788,2663,3627,3808,18436
Domestic 2022,1582,89,1290,-2938,-84,402,-1849,815,-29087
Net Migration 2020-2023,10246,4588,6549,3020,5083,13314,664,13143,-45875
International 2023,2787,3368,658,7693,2105,2480,3972,3539,17625
Domestic 2023,2151,-642,1854,-2811,-557,-379,-2257,1137,-14945
Net Migration 2020-2024,15184,7314,9061,7902,6631,15415,2379,17819,-43195
International 2024,934,1288,289,3089,921,1232,1622,2068,7216
Domestic 2024,2568,-146,957,-2240,-729,158,-2741,-75,-9726
Net Migration 2020-2025,18686,8456,10307,8751,6823,16805,1260,19812,-45705
