Year,Burlington_NH,Burlington_H,Camden_NH,Camden_H,Gloucester_NH,Gloucester_H,Mercer_NH,Mercer_H,Bucks_NH,Bucks_H,Chester_NH,Chester_H,Delaware_NH,Delaware_H,Montgomery_NH,Montgomery_H,Philadelphia_NH,Philadelphia_H,NJCnt_NH,NJCnt_H,PASub_NH,PASub_H,DVRPC_NH,DVRPC_H
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,968.0,179.0,-658.0,395.0,570.0,69.0,452.0,348.0,1681.0,141.0,2146.0,182.0,72.0,44.0,1807.0,181.0,-4330.0,588.0,1332.0,991.0,5706.0,548.0,2708.0,2127.0
2002,5159.0,1096.0,-1875.0,1794.0,2935.0,414.0,1143.0,2061.0,4720.0,889.0,7350.0,912.0,241.0,446.0,7484.0,1408.0,-10390.0,5355.0,7362.0,5365.0,19795.0,3655.0,16767.0,14375.0
2003,10619.0,2299.0,-1816.0,3688.0,6906.0,911.0,1655.0,3682.0,8020.0,1813.0,13404.0,1841.0,-241.0,853.0,11887.0,2344.0,-16770.0,9778.0,17364.0,10580.0,33070.0,6851.0,33664.0,27209.0
2004,15857.0,3324.0,-2908.0,5581.0,11255.0,1301.0,2273.0,5635.0,9863.0,2636.0,19429.0,2947.0,-1002.0,1381.0,15470.0,3783.0,-22488.0,15014.0,26477.0,15841.0,43760.0,10747.0,47749.0,41602.0
2005,18444.0,4197.0,-3007.0,7806.0,15448.0,1871.0,3009.0,7455.0,12278.0,3781.0,26435.0,3964.0,-2251.0,1956.0,16445.0,5268.0,-24347.0,21463.0,33894.0,21329.0,52907.0,14969.0,62454.0,57761.0
2006,18015.0,5047.0,-2562.0,9611.0,18535.0,2444.0,2019.0,9102.0,13738.0,4677.0,32699.0,5362.0,-2523.0,2673.0,16546.0,6609.0,-27218.0,27304.0,36007.0,26204.0,60460.0,19321.0,69249.0,72829.0
2007,17856.0,5875.0,-2943.0,11579.0,22932.0,3303.0,1106.0,10946.0,15621.0,5992.0,40006.0,6693.0,-1760.0,3448.0,15874.0,8107.0,-30926.0,33635.0,38951.0,31703.0,69741.0,24240.0,77766.0,89578.0
2008,16212.0,6702.0,-3884.0,13532.0,26435.0,3920.0,16.0,12625.0,16584.0,7118.0,45899.0,8167.0,-1006.0,4049.0,17055.0,9589.0,-27823.0,40312.0,38779.0,36779.0,78532.0,28923.0,89488.0,106014.0
2009,14720.0,7372.0,-5308.0,15136.0,28035.0,4432.0,-856.0,14666.0,17532.0,8398.0,50137.0,9643.0,-466.0,4741.0,18309.0,11156.0,-23574.0,46383.0,36591.0,41606.0,85512.0,33938.0,98529.0,121927.0
