Year,Burlington_NH,Burlington_H,Camden_NH,Camden_H,Gloucester_NH,Gloucester_H,Mercer_NH,Mercer_H,Bucks_NH,Bucks_H,Chester_NH,Chester_H,Delaware_NH,Delaware_H,Montgomery_NH,Montgomery_H,Philadelphia_NH,Philadelphia_H,NJCnt_NH,NJCnt_H,PASub_NH,PASub_H,DVRPC_NH,DVRPC_H
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0.002,0.010,-0.001,0.008,0.002,0.010,0.001,0.010,0.003,0.010,0.005,0.011,0.000,0.005,0.002,0.012,-0.003,0.005,0.001,0.009,0.003,0.010,0.001,0.007
2002,0.010,0.051,-0.003,0.028,0.009,0.051,0.002,0.050,0.005,0.053,0.012,0.045,0.000,0.047,0.008,0.080,-0.004,0.037,0.004,0.040,0.006,0.057,0.003,0.042
2003,0.013,0.064,0.000,0.037,0.016,0.070,0.002,0.045,0.006,0.062,0.014,0.055,-0.001,0.046,0.006,0.056,-0.005,0.033,0.007,0.046,0.006,0.056,0.003,0.042
2004,0.013,0.051,-0.002,0.036,0.017,0.052,0.002,0.052,0.003,0.052,0.014,0.062,-0.001,0.057,0.005,0.082,-0.004,0.038,0.006,0.045,0.005,0.064,0.003,0.045
2005,0.006,0.042,0.000,0.041,0.016,0.072,0.002,0.046,0.004,0.069,0.016,0.053,-0.002,0.059,0.001,0.078,-0.001,0.045,0.005,0.045,0.004,0.065,0.003,0.049
2006,-0.001,0.039,0.001,0.032,0.012,0.067,-0.003,0.040,0.002,0.050,0.014,0.070,-0.001,0.069,0.000,0.065,-0.002,0.039,0.001,0.038,0.003,0.063,0.001,0.043
2007,0.000,0.037,-0.001,0.034,0.016,0.094,-0.003,0.043,0.003,0.070,0.016,0.062,0.001,0.070,-0.001,0.069,-0.003,0.041,0.002,0.041,0.004,0.067,0.002,0.046
2008,-0.004,0.035,-0.002,0.032,0.013,0.062,-0.003,0.037,0.002,0.056,0.013,0.065,0.001,0.051,0.002,0.063,0.002,0.041,0.000,0.037,0.004,0.060,0.002,0.043
2009,-0.004,0.028,-0.003,0.026,0.006,0.048,-0.003,0.044,0.002,0.061,0.009,0.061,0.001,0.055,0.002,0.063,0.003,0.036,-0.001,0.034,0.003,0.061,0.002,0.040
2010,-0.001,0.164,-0.030,0.145,-0.006,0.250,-0.013,0.147,-0.005,0.206,-0.001,0.271,-0.001,0.265,0.019,0.304,-0.019,0.079,-0.014,0.156,0.004,0.263,-0.007,0.146
2011,-0.001,0.047,-0.006,0.024,0.000,0.034,-0.005,0.024,0.000,0.028,0.006,0.026,-0.001,0.036,0.005,0.022,0.004,0.037,-0.003,0.028,0.002,0.027,0.001,0.031
2012,-0.002,0.040,-0.006,0.020,-0.001,0.036,0.001,0.017,-0.002,0.019,0.004,0.021,0.001,0.047,0.003,0.028,0.003,0.036,-0.003,0.024,0.002,0.027,0.001,0.029
2013,-0.006,0.022,-0.006,0.014,-0.002,0.038,-0.001,0.020,-0.002,0.031,0.005,0.022,0.000,0.034,0.003,0.034,0.001,0.028,-0.004,0.019,0.002,0.030,0.000,0.025
2014,-0.004,0.027,-0.007,0.017,0.001,0.040,-0.005,0.019,-0.001,0.024,0.006,0.024,0.001,0.039,0.003,0.029,0.000,0.031,-0.004,0.021,0.002,0.028,0.000,0.027
2015,-0.005,0.019,-0.005,0.020,-0.001,0.037,-0.006,0.019,-0.002,0.032,0.003,0.027,0.000,0.029,0.001,0.026,0.000,0.026,-0.005,0.021,0.000,0.028,-0.001,0.025
2016,-0.004,0.024,-0.006,0.025,-0.003,0.045,-0.005,0.020,-0.001,0.044,0.001,0.028,0.000,0.031,0.002,0.036,0.000,0.025,-0.005,0.025,0.000,0.035,-0.001,0.027
2017,-0.004,0.033,-0.007,0.025,-0.002,0.039,-0.004,0.028,0.000,0.039,0.003,0.015,-0.001,0.032,0.004,0.034,-0.001,0.025,-0.004,0.028,0.002,0.029,-0.001,0.027
2018,-0.005,0.028,-0.005,0.028,-0.001,0.046,-0.006,0.029,0.000,0.034,0.005,0.020,0.001,0.046,0.001,0.037,-0.003,0.028,-0.004,0.030,0.002,0.033,-0.001,0.030
2019,-0.001,0.032,-0.004,0.020,-0.002,0.035,-0.008,0.024,-0.001,0.031,0.004,0.020,0.001,0.047,0.003,0.030,-0.002,0.012,-0.004,0.025,0.002,0.030,-0.001,0.021
2020,0.033,0.072,0.024,0.073,0.030,0.145,0.009,0.242,0.023,0.123,0.013,0.088,0.011,0.153,0.021,0.212,0.014,-0.011,0.025,0.133,0.018,0.146,0.019,0.078
2021,0.002,0.046,-0.003,0.025,0.002,0.064,-0.018,0.012,0.000,0.026,0.011,0.017,-0.001,0.031,0.007,0.024,-0.009,0.007,-0.004,0.028,0.005,0.024,-0.001,0.019
2022,-0.001,0.047,-0.005,0.027,0.002,0.069,-0.010,0.020,-0.005,0.025,0.010,0.015,-0.004,0.035,-0.001,0.023,-0.018,0.005,-0.003,0.032,0.000,0.024,-0.006,0.020
2023,0.002,0.050,0.000,0.024,0.001,0.056,-0.004,0.023,-0.001,0.026,0.005,0.018,0.000,0.032,0.003,0.022,-0.014,0.012,0.000,0.031,0.002,0.024,-0.003,0.022
