Year,Burlington_NH,Burlington_H,Camden_NH,Camden_H,Gloucester_NH,Gloucester_H,Mercer_NH,Mercer_H,Bucks_NH,Bucks_H,Chester_NH,Chester_H,Delaware_NH,Delaware_H,Montgomery_NH,Montgomery_H,Philadelphia_NH,Philadelphia_H,NJCnt_NH,NJCnt_H,PASub_NH,PASub_H,DVRPC_NH,DVRPC_H
2000,405.8,17.6,458.8,49.1,249.1,6.6,316.9,33.9,583.6,14.0,417.4,16.1,543.6,8.4,733.7,15.2,1388.6,128.9,1430.5,107.3,2278.3,53.8,5097.4,290.0
2001,406.7,17.8,458.1,49.5,249.6,6.7,317.3,34.2,585.3,14.1,419.5,16.3,543.6,8.5,735.5,15.4,1384.3,129.5,1431.8,108.3,2284.0,54.3,5100.1,292.1
2002,410.9,18.7,456.9,50.9,252.0,7.1,318.0,36.0,588.3,14.9,424.7,17.0,543.8,8.9,741.2,16.7,1378.2,134.3,1437.9,112.6,2298.1,57.5,5114.2,304.4
2003,416.4,19.9,457.0,52.8,256.0,7.6,318.5,37.6,591.6,15.8,430.8,18.0,543.3,9.3,745.6,17.6,1371.9,138.7,1447.9,117.9,2311.4,60.7,5131.1,317.2
2004,421.6,21.0,455.9,54.7,260.3,7.9,319.1,39.5,593.5,16.6,436.8,19.1,542.6,9.8,749.2,19.0,1366.1,143.9,1457.0,123.1,2322.1,64.5,5145.2,331.6
2005,424.2,21.8,455.8,56.9,264.5,8.5,319.9,41.4,595.9,17.8,443.8,20.1,541.3,10.4,750.2,20.5,1364.3,150.4,1464.4,128.6,2331.2,68.8,5159.9,347.8
2006,423.8,22.7,456.2,58.7,267.6,9.1,318.9,43.0,597.4,18.7,450.1,21.5,541.0,11.1,750.3,21.9,1361.4,156.2,1466.5,133.5,2338.8,73.1,5166.7,362.8
2007,423.6,23.5,455.9,60.7,272.0,9.9,318.0,44.8,599.2,20.0,457.4,22.8,541.8,11.9,749.6,23.4,1357.7,162.6,1469.4,139.0,2348.0,78.0,5175.2,379.6
2008,422.0,24.3,454.9,62.6,275.5,10.6,316.9,46.5,600.2,21.1,463.3,24.3,542.5,12.5,750.8,24.8,1360.8,169.2,1469.3,144.1,2356.8,82.7,5186.9,396.0
2009,420.5,25.0,453.5,64.2,277.1,11.1,316.0,48.6,601.2,22.4,467.5,25.8,543.1,13.2,752.1,26.4,1365.0,175.3,1467.1,148.9,2363.8,87.7,5195.9,411.9
2010,420.0,29.1,439.7,73.5,275.3,13.8,312.0,55.7,598.4,27.0,467.2,32.7,542.3,16.7,766.5,34.4,1339.1,189.1,1447.1,172.2,2374.3,110.8,5160.6,472.2
2011,419.7,30.5,437.3,75.3,275.4,14.3,310.4,57.0,598.2,27.8,469.9,33.6,542.0,17.3,770.1,35.2,1344.4,196.1,1442.8,177.1,2380.2,113.8,5167.3,486.9
2012,418.9,31.7,434.8,76.8,275.0,14.8,310.6,58.0,597.0,28.3,471.8,34.3,542.7,18.1,772.5,36.2,1348.8,203.1,1439.2,181.3,2384.0,116.8,5171.9,501.2
2013,416.5,32.4,432.0,77.9,274.5,15.4,310.3,59.2,595.8,29.2,474.0,35.1,542.8,18.7,775.2,37.4,1349.6,208.7,1433.2,184.8,2387.9,120.3,5170.7,513.9
2014,414.9,33.2,429.1,79.2,274.7,16.0,308.6,60.3,595.4,29.9,476.9,35.9,543.3,19.4,777.3,38.5,1350.2,215.3,1427.3,188.7,2392.8,123.7,5170.3,527.7
2015,413.0,33.9,426.8,80.8,274.3,16.6,306.7,61.4,594.4,30.8,478.2,36.9,543.3,20.0,777.7,39.5,1350.2,220.9,1420.8,192.7,2393.5,127.2,5164.5,540.8
2016,411.3,34.7,424.2,82.8,273.4,17.3,305.0,62.7,593.7,32.2,478.9,37.9,543.1,20.6,778.9,40.9,1349.6,226.4,1413.9,197.5,2394.5,131.6,5158.0,555.6
2017,409.8,35.8,421.3,84.9,272.9,18.0,303.8,64.4,593.4,33.4,480.4,38.5,542.6,21.3,782.0,42.3,1348.6,232.0,1407.8,203.2,2398.4,135.5,5154.8,570.7
2018,407.9,36.8,419.1,87.3,272.7,18.8,302.0,66.2,593.2,34.6,482.8,39.3,543.0,22.2,783.1,43.9,1345.1,238.5,1401.6,209.2,2402.1,140.0,5148.8,587.7
2019,407.3,38.0,417.4,89.0,272.1,19.5,299.6,67.8,592.6,35.7,484.9,40.0,543.5,23.3,785.8,45.2,1342.6,241.4,1396.5,214.4,2406.8,144.2,5145.9,600.0
2020,420.9,40.8,427.6,95.5,280.2,22.3,302.2,84.2,606.1,40.0,491.3,43.6,549.5,26.9,802.2,54.8,1361.9,238.8,1431.0,242.8,2449.1,165.2,5242.0,646.9
2021,421.8,42.6,426.2,97.9,280.8,23.7,296.9,85.3,606.3,41.1,496.6,44.3,549.2,27.7,808.2,56.1,1349.1,240.5,1425.8,249.6,2460.3,169.1,5235.2,659.2
2022,421.5,44.6,424.2,100.5,281.4,25.4,293.8,87.0,603.5,42.1,501.6,45.0,547.2,28.7,807.7,57.4,1325.2,241.7,1420.8,257.5,2460.0,173.1,5205.9,672.3
2023,422.3,46.9,424.3,102.9,281.6,26.8,292.6,89.0,602.8,43.2,504.0,45.8,547.1,29.6,810.1,58.6,1306.0,244.6,1420.8,265.6,2464.0,177.2,5190.8,687.4
