Year,Burlington_WA,Burlington_BA,Burlington_IA,Burlington_AA,Burlington_NA,Burlington_TOM,Camden_WA,Camden_BA,Camden_IA,Camden_AA,Camden_NA,Camden_TOM,Gloucester_WA,Gloucester_BA,Gloucester_IA,Gloucester_AA,Gloucester_NA,Gloucester_TOM,Mercer_WA,Mercer_BA,Mercer_IA,Mercer_AA,Mercer_NA,Mercer_TOM,Bucks_WA,Bucks_BA,Bucks_IA,Bucks_AA,Bucks_NA,Bucks_TOM,Chester_WA,Chester_BA,Chester_IA,Chester_AA,Chester_NA,Chester_TOM,Delaware_WA,Delaware_BA,Delaware_IA,Delaware_AA,Delaware_NA,Delaware_TOM,Montgomery_WA,Montgomery_BA,Montgomery_IA,Montgomery_AA,Montgomery_NA,Montgomery_TOM,Philadelphia_WA,Philadelphia_BA,Philadelphia_IA,Philadelphia_AA,Philadelphia_NA,Philadelphia_TOM,NJCnt_WA,NJCnt_BA,NJCnt_IA,NJCnt_AA,NJCnt_NA,NJCnt_TOM,PASub_WA,PASub_BA,PASub_IA,PASub_AA,PASub_NA,PASub_TOM,DVRPC_WA,DVRPC_BA,DVRPC_IA,DVRPC_AA,DVRPC_NA,DVRPC_TOM
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,594.0,344.0,2.0,149.0,0.0,58.0,-609.0,164.0,0.0,150.0,1.0,31.0,427.0,152.0,0.0,41.0,0.0,19.0,338.0,263.0,0.0,182.0,-1.0,18.0,1447.0,139.0,2.0,179.0,-4.0,59.0,1923.0,244.0,0.0,134.0,-2.0,29.0,-368.0,278.0,0.0,174.0,-1.0,33.0,1109.0,365.0,11.0,385.0,0.0,118.0,-3452.0,-683.0,-4.0,244.0,8.0,145.0,750.0,923.0,2.0,522.0,0.0,126.0,4111.0,1026.0,13.0,872.0,-7.0,239.0,1409.0,1266.0,11.0,1638.0,1.0,510.0
2002,3351.0,1697.0,22.0,835.0,3.0,347.0,-2459.0,1288.0,43.0,674.0,13.0,360.0,2270.0,662.0,11.0,261.0,2.0,143.0,599.0,750.0,14.0,1582.0,13.0,246.0,4056.0,556.0,35.0,741.0,-1.0,222.0,6890.0,319.0,39.0,771.0,1.0,242.0,-3349.0,2778.0,15.0,976.0,1.0,266.0,4641.0,1737.0,83.0,1918.0,2.0,511.0,-6200.0,-1774.0,236.0,2033.0,44.0,626.0,3761.0,4397.0,90.0,3352.0,31.0,1096.0,12238.0,5390.0,172.0,4406.0,3.0,1241.0,9799.0,8013.0,498.0,9791.0,78.0,2963.0
2003,6782.0,3515.0,67.0,1844.0,9.0,701.0,-2668.0,2448.0,86.0,1330.0,19.0,657.0,5477.0,1438.0,22.0,565.0,3.0,312.0,679.0,1076.0,34.0,3111.0,35.0,402.0,6341.0,1175.0,87.0,1829.0,2.0,399.0,12682.0,457.0,62.0,1599.0,3.0,442.0,-7352.0,5519.0,44.0,1918.0,4.0,479.0,6941.0,2601.0,173.0,3651.0,9.0,856.0,-10199.0,-2313.0,413.0,3865.0,94.0,1148.0,10270.0,8477.0,209.0,6850.0,66.0,2072.0,18612.0,9752.0,366.0,8997.0,18.0,2176.0,18683.0,15916.0,988.0,19712.0,178.0,5396.0
2004,9783.0,5319.0,91.0,3004.0,13.0,971.0,-4137.0,3800.0,110.0,1948.0,26.0,926.0,9009.0,2155.0,31.0,864.0,6.0,491.0,540.0,1793.0,52.0,4855.0,66.0,602.0,7726.0,1398.0,121.0,2651.0,7.0,596.0,18102.0,947.0,92.0,2581.0,4.0,650.0,-10910.0,7924.0,78.0,2623.0,5.0,659.0,8651.0,3979.0,283.0,5109.0,26.0,1205.0,-13778.0,-2309.0,655.0,6166.0,175.0,1617.0,15195.0,13067.0,284.0,10671.0,111.0,2990.0,23569.0,14248.0,574.0,12964.0,42.0,3110.0,24986.0,25006.0,1513.0,29801.0,328.0,7717.0
2005,10782.0,6733.0,114.0,3762.0,18.0,1232.0,-4241.0,4937.0,142.0,2717.0,35.0,1209.0,12344.0,3055.0,44.0,1220.0,8.0,648.0,200.0,2496.0,65.0,6820.0,105.0,778.0,9620.0,1819.0,168.0,3654.0,14.0,784.0,24311.0,1434.0,118.0,3636.0,13.0,887.0,-15529.0,10748.0,95.0,3430.0,8.0,953.0,8567.0,4921.0,374.0,6251.0,31.0,1569.0,-15864.0,773.0,937.0,8690.0,314.0,2266.0,19085.0,17221.0,365.0,14519.0,166.0,3867.0,26969.0,18922.0,755.0,16971.0,66.0,4193.0,30190.0,36916.0,2057.0,40180.0,546.0,10326.0
2006,9448.0,7506.0,136.0,4484.0,23.0,1465.0,-4765.0,6612.0,161.0,3498.0,44.0,1499.0,14942.0,3546.0,54.0,1631.0,10.0,796.0,-1094.0,2642.0,77.0,8347.0,153.0,996.0,10347.0,2016.0,190.0,4853.0,20.0,989.0,29840.0,2003.0,146.0,4904.0,19.0,1149.0,-18802.0,13348.0,125.0,4296.0,10.0,1173.0,7485.0,5795.0,431.0,7500.0,45.0,1899.0,-17466.0,2051.0,1200.0,10953.0,441.0,2907.0,18531.0,20306.0,428.0,17960.0,230.0,4756.0,28870.0,23162.0,892.0,21553.0,94.0,5210.0,29935.0,45519.0,2520.0,50466.0,765.0,12873.0
2007,7920.0,8523.0,150.0,5327.0,29.0,1782.0,-5673.0,7994.0,197.0,4232.0,53.0,1833.0,18340.0,4582.0,69.0,2180.0,12.0,1052.0,-1468.0,2574.0,90.0,9513.0,198.0,1145.0,11533.0,2496.0,218.0,6165.0,26.0,1175.0,36114.0,2679.0,176.0,6336.0,22.0,1372.0,-21301.0,16231.0,144.0,5150.0,12.0,1452.0,6391.0,6492.0,513.0,8281.0,55.0,2249.0,-18618.0,2732.0,1567.0,13005.0,576.0,3447.0,19119.0,23673.0,506.0,21252.0,292.0,5812.0,32737.0,27898.0,1051.0,25932.0,115.0,6248.0,33238.0,54303.0,3124.0,60189.0,983.0,15507.0
2008,5772.0,8970.0,164.0,5960.0,34.0,2014.0,-6752.0,9282.0,223.0,4672.0,65.0,2158.0,20805.0,5608.0,75.0,2621.0,14.0,1232.0,-2440.0,2438.0,114.0,10930.0,247.0,1352.0,12116.0,2942.0,227.0,7018.0,41.0,1358.0,41467.0,3217.0,207.0,7503.0,28.0,1644.0,-23472.0,18659.0,170.0,5932.0,16.0,1738.0,6202.0,7543.0,585.0,9648.0,67.0,2599.0,-12842.0,3461.0,1980.0,15067.0,672.0,4151.0,17385.0,26298.0,576.0,24183.0,360.0,6756.0,36313.0,32361.0,1189.0,30101.0,152.0,7339.0,40856.0,62120.0,3745.0,69351.0,1184.0,18246.0
2009,3935.0,9330.0,179.0,6331.0,38.0,2279.0,-8260.0,10166.0,262.0,5184.0,81.0,2395.0,21888.0,6189.0,83.0,2894.0,15.0,1398.0,-2778.0,2750.0,134.0,11891.0,276.0,1537.0,12888.0,3246.0,254.0,7922.0,44.0,1576.0,45435.0,3564.0,231.0,8613.0,36.0,1901.0,-24762.0,20547.0,186.0,6309.0,19.0,1976.0,6907.0,7902.0,638.0,10972.0,78.0,2968.0,-6304.0,4658.0,2219.0,16757.0,719.0,4760.0,14785.0,28435.0,658.0,26300.0,410.0,7609.0,40468.0,35259.0,1309.0,33816.0,177.0,8421.0,48949.0,68352.0,4186.0,76873.0,1306.0,20790.0
