Year,Burlington_WA,Burlington_BA,Burlington_IA,Burlington_AA,Burlington_NA,Burlington_TOM,Camden_WA,Camden_BA,Camden_IA,Camden_AA,Camden_NA,Camden_TOM,Gloucester_WA,Gloucester_BA,Gloucester_IA,Gloucester_AA,Gloucester_NA,Gloucester_TOM,Mercer_WA,Mercer_BA,Mercer_IA,Mercer_AA,Mercer_NA,Mercer_TOM,Bucks_WA,Bucks_BA,Bucks_IA,Bucks_AA,Bucks_NA,Bucks_TOM,Chester_WA,Chester_BA,Chester_IA,Chester_AA,Chester_NA,Chester_TOM,Delaware_WA,Delaware_BA,Delaware_IA,Delaware_AA,Delaware_NA,Delaware_TOM,Montgomery_WA,Montgomery_BA,Montgomery_IA,Montgomery_AA,Montgomery_NA,Montgomery_TOM,Philadelphia_WA,Philadelphia_BA,Philadelphia_IA,Philadelphia_AA,Philadelphia_NA,Philadelphia_TOM,NJCnt_WA,NJCnt_BA,NJCnt_IA,NJCnt_AA,NJCnt_NA,NJCnt_TOM,PASub_WA,PASub_BA,PASub_IA,PASub_AA,PASub_NA,PASub_TOM,DVRPC_WA,DVRPC_BA,DVRPC_IA,DVRPC_AA,DVRPC_NA,DVRPC_TOM
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0.002,0.005,0.002,0.013,0.000,0.009,-0.002,0.002,0.000,0.008,0.003,0.005,0.002,0.006,0.000,0.010,0.000,0.008,0.001,0.004,0.000,0.010,-0.002,0.005,0.003,0.007,0.002,0.013,-0.023,0.014,0.005,0.009,0.000,0.016,-0.013,0.009,-0.001,0.003,0.000,0.009,-0.009,0.007,0.002,0.006,0.012,0.013,0.000,0.018,-0.005,-0.001,-0.001,0.003,0.007,0.008,0.001,0.004,0.001,0.010,0.000,0.007,0.002,0.006,0.004,0.012,-0.010,0.013,0.000,0.001,0.001,0.008,0.000,0.009
2002,0.008,0.020,0.020,0.058,0.019,0.044,-0.005,0.012,0.029,0.027,0.032,0.055,0.008,0.021,0.021,0.055,0.022,0.050,0.001,0.007,0.018,0.078,0.029,0.059,0.005,0.021,0.041,0.040,0.017,0.037,0.013,0.003,0.057,0.073,0.020,0.063,-0.007,0.031,0.024,0.043,0.019,0.050,0.005,0.024,0.078,0.050,0.007,0.059,-0.004,-0.002,0.053,0.025,0.030,0.028,0.003,0.013,0.023,0.053,0.028,0.051,0.004,0.023,0.052,0.049,0.014,0.052,0.002,0.006,0.043,0.042,0.026,0.044
2003,0.010,0.027,0.045,0.081,0.036,0.052,-0.001,0.012,0.029,0.032,0.015,0.047,0.014,0.032,0.021,0.072,0.011,0.064,0.000,0.004,0.025,0.079,0.044,0.038,0.004,0.030,0.062,0.074,0.017,0.039,0.014,0.005,0.032,0.088,0.013,0.055,-0.009,0.033,0.045,0.048,0.027,0.043,0.003,0.015,0.091,0.053,0.025,0.049,-0.005,-0.001,0.037,0.025,0.041,0.029,0.005,0.015,0.031,0.062,0.031,0.049,0.003,0.023,0.061,0.060,0.021,0.046,0.002,0.007,0.041,0.049,0.032,0.042
2004,0.009,0.026,0.023,0.086,0.023,0.038,-0.004,0.014,0.016,0.030,0.018,0.041,0.015,0.028,0.017,0.066,0.033,0.064,-0.001,0.010,0.022,0.084,0.059,0.047,0.002,0.011,0.038,0.052,0.028,0.042,0.013,0.017,0.040,0.096,0.006,0.055,-0.008,0.028,0.051,0.034,0.009,0.035,0.003,0.023,0.102,0.043,0.060,0.047,-0.005,0.000,0.049,0.031,0.063,0.026,0.004,0.017,0.019,0.064,0.038,0.044,0.002,0.023,0.061,0.049,0.033,0.044,0.002,0.008,0.043,0.047,0.047,0.039
2005,0.003,0.020,0.022,0.052,0.029,0.035,0.000,0.011,0.020,0.036,0.022,0.041,0.014,0.035,0.024,0.074,0.021,0.053,-0.001,0.010,0.015,0.087,0.070,0.039,0.003,0.020,0.051,0.060,0.038,0.038,0.015,0.017,0.033,0.094,0.057,0.059,-0.011,0.032,0.024,0.038,0.026,0.055,0.000,0.015,0.076,0.032,0.017,0.047,-0.003,0.005,0.054,0.033,0.102,0.035,0.003,0.015,0.020,0.061,0.045,0.040,0.002,0.023,0.050,0.047,0.032,0.049,0.001,0.010,0.042,0.046,0.065,0.042
2006,-0.004,0.011,0.020,0.047,0.028,0.030,-0.001,0.016,0.012,0.035,0.022,0.040,0.011,0.018,0.018,0.079,0.021,0.047,-0.005,0.002,0.014,0.062,0.081,0.047,0.001,0.009,0.023,0.068,0.031,0.040,0.013,0.019,0.035,0.104,0.036,0.062,-0.008,0.028,0.042,0.039,0.017,0.039,-0.002,0.014,0.044,0.034,0.046,0.040,-0.002,0.002,0.048,0.029,0.085,0.033,0.000,0.011,0.015,0.051,0.050,0.039,0.001,0.021,0.036,0.052,0.036,0.044,0.000,0.007,0.035,0.044,0.061,0.039
2007,-0.004,0.014,0.013,0.052,0.032,0.040,-0.002,0.013,0.022,0.032,0.021,0.045,0.014,0.038,0.026,0.098,0.020,0.078,-0.001,-0.001,0.015,0.045,0.070,0.031,0.002,0.022,0.028,0.070,0.030,0.035,0.015,0.023,0.036,0.106,0.017,0.049,-0.006,0.030,0.025,0.037,0.017,0.048,-0.002,0.011,0.061,0.021,0.031,0.041,-0.002,0.001,0.064,0.025,0.083,0.027,0.000,0.012,0.019,0.046,0.046,0.045,0.002,0.023,0.040,0.047,0.026,0.043,0.001,0.008,0.044,0.040,0.058,0.039
2008,-0.006,0.006,0.012,0.037,0.026,0.028,-0.003,0.012,0.016,0.019,0.028,0.042,0.010,0.036,0.010,0.072,0.020,0.051,-0.004,-0.002,0.027,0.052,0.071,0.041,0.001,0.020,0.009,0.042,0.074,0.033,0.012,0.018,0.036,0.078,0.034,0.057,-0.005,0.025,0.034,0.033,0.033,0.047,0.000,0.017,0.051,0.035,0.036,0.040,0.008,0.001,0.067,0.025,0.054,0.034,-0.001,0.009,0.016,0.040,0.048,0.038,0.002,0.021,0.034,0.043,0.045,0.043,0.002,0.007,0.043,0.036,0.050,0.039
2009,-0.005,0.005,0.013,0.021,0.020,0.031,-0.004,0.008,0.023,0.021,0.036,0.029,0.004,0.020,0.013,0.042,0.010,0.045,-0.001,0.004,0.022,0.033,0.039,0.036,0.001,0.013,0.026,0.043,0.014,0.038,0.009,0.011,0.027,0.069,0.044,0.051,-0.003,0.019,0.020,0.015,0.024,0.037,0.001,0.006,0.035,0.033,0.032,0.040,0.009,0.002,0.037,0.020,0.025,0.029,-0.002,0.007,0.019,0.027,0.034,0.033,0.002,0.013,0.028,0.037,0.029,0.041,0.002,0.005,0.029,0.028,0.029,0.035
