Year,Burlington_WA,Burlington_BA,Burlington_IA,Burlington_AA,Burlington_NA,Burlington_TOM,Camden_WA,Camden_BA,Camden_IA,Camden_AA,Camden_NA,Camden_TOM,Gloucester_WA,Gloucester_BA,Gloucester_IA,Gloucester_AA,Gloucester_NA,Gloucester_TOM,Mercer_WA,Mercer_BA,Mercer_IA,Mercer_AA,Mercer_NA,Mercer_TOM,Bucks_WA,Bucks_BA,Bucks_IA,Bucks_AA,Bucks_NA,Bucks_TOM,Chester_WA,Chester_BA,Chester_IA,Chester_AA,Chester_NA,Chester_TOM,Delaware_WA,Delaware_BA,Delaware_IA,Delaware_AA,Delaware_NA,Delaware_TOM,Montgomery_WA,Montgomery_BA,Montgomery_IA,Montgomery_AA,Montgomery_NA,Montgomery_TOM,Philadelphia_WA,Philadelphia_BA,Philadelphia_IA,Philadelphia_AA,Philadelphia_NA,Philadelphia_TOM,NJCnt_WA,NJCnt_BA,NJCnt_IA,NJCnt_AA,NJCnt_NA,NJCnt_TOM,PASub_WA,PASub_BA,PASub_IA,PASub_AA,PASub_NA,PASub_TOM,DVRPC_WA,DVRPC_BA,DVRPC_IA,DVRPC_AA,DVRPC_NA,DVRPC_TOM
2000,338.2,65.9,1.0,11.7,0.2,6.5,383.2,97.4,1.5,19.5,0.4,6.0,224.9,23.8,0.5,4.0,0.1,2.5,255.9,72.0,0.8,17.8,0.5,3.9,558.4,20.0,0.8,13.9,0.2,4.3,392.9,27.8,0.7,8.6,0.2,3.4,446.7,81.3,0.6,18.5,0.1,4.7,653.9,56.8,0.9,30.5,0.3,6.6,752.2,672.4,4.6,70.1,1.2,17.2,1202.2,259.0,3.7,52.9,1.1,18.8,2051.9,185.9,3.0,71.6,0.7,18.9,4006.3,1117.3,11.3,194.6,3.0,54.9
2001,338.8,66.2,1.0,11.8,0.2,6.5,382.6,97.5,1.5,19.7,0.4,6.0,225.3,23.9,0.5,4.0,0.1,2.5,256.2,72.3,0.8,17.9,0.5,3.9,559.9,20.1,0.8,14.1,0.2,4.4,394.8,28.0,0.7,8.7,0.2,3.4,446.4,81.6,0.6,18.7,0.1,4.7,655.0,57.2,0.9,30.9,0.3,6.7,748.7,671.7,4.6,70.3,1.2,17.3,1202.9,260.0,3.7,53.4,1.1,18.9,2056.0,186.9,3.0,72.5,0.7,19.2,4007.7,1118.6,11.3,196.2,3.0,55.4
2002,341.6,67.6,1.0,12.5,0.2,6.8,380.8,98.7,1.5,20.2,0.4,6.3,227.2,24.4,0.5,4.2,0.1,2.6,256.5,72.8,0.8,19.3,0.5,4.1,562.5,20.5,0.8,14.7,0.2,4.6,399.8,28.1,0.7,9.4,0.2,3.6,443.4,84.1,0.6,19.5,0.1,4.9,658.5,58.6,1.0,32.4,0.3,7.1,746.0,670.6,4.8,72.1,1.2,17.8,1206.0,263.4,3.8,56.3,1.1,19.9,2064.2,191.3,3.2,76.0,0.7,20.2,4016.1,1125.3,11.8,204.4,3.1,57.8
2003,345.0,69.4,1.0,13.5,0.2,7.2,380.6,99.8,1.5,20.9,0.4,6.6,230.4,25.2,0.5,4.5,0.1,2.8,256.5,73.1,0.8,20.9,0.5,4.3,564.7,21.2,0.9,15.8,0.2,4.7,405.6,28.2,0.8,10.2,0.2,3.8,439.4,86.8,0.7,20.5,0.1,5.1,660.8,59.4,1.1,34.2,0.3,7.4,742.0,670.1,5.0,73.9,1.3,18.3,1212.5,267.5,4.0,59.8,1.2,20.8,2070.5,195.7,3.4,80.6,0.7,21.1,4024.9,1133.3,12.3,214.3,3.2,60.3
2004,348.0,71.2,1.1,14.7,0.2,7.4,379.1,101.2,1.6,21.5,0.4,6.9,233.9,25.9,0.6,4.8,0.1,3.0,256.4,73.8,0.8,22.6,0.6,4.5,566.1,21.4,0.9,16.6,0.2,4.9,411.0,28.7,0.8,11.2,0.2,4.0,435.8,89.2,0.7,21.2,0.1,5.3,662.5,60.8,1.2,35.6,0.3,7.8,738.4,670.1,5.2,76.2,1.4,18.8,1217.4,272.1,4.0,63.6,1.2,21.7,2075.5,200.2,3.6,84.6,0.8,22.0,4031.2,1142.3,12.9,224.4,3.3,62.6
2005,349.0,72.6,1.1,15.4,0.2,7.7,379.0,102.3,1.6,22.2,0.4,7.2,237.2,26.8,0.6,5.2,0.1,3.1,256.1,74.5,0.9,24.6,0.6,4.6,568.0,21.8,1.0,17.6,0.2,5.1,417.2,29.2,0.8,12.2,0.2,4.3,431.2,92.1,0.7,22.0,0.1,5.6,662.4,61.8,1.3,36.8,0.3,8.1,736.3,673.2,5.5,78.8,1.5,19.5,1221.3,276.3,4.1,67.4,1.3,22.6,2078.9,204.8,3.8,88.6,0.8,23.1,4036.5,1154.3,13.4,234.8,3.6,65.2
2006,347.7,73.4,1.1,16.2,0.2,7.9,378.5,104.0,1.6,23.0,0.4,7.5,239.8,27.3,0.6,5.6,0.1,3.3,254.8,74.7,0.9,26.1,0.6,4.9,568.8,22.0,1.0,18.8,0.2,5.3,422.7,29.8,0.8,13.5,0.2,4.5,427.9,94.7,0.8,22.8,0.1,5.8,661.3,62.6,1.3,38.0,0.3,8.5,734.7,674.4,5.8,81.0,1.6,20.1,1220.7,279.4,4.2,70.9,1.3,23.5,2080.8,209.1,3.9,93.1,0.8,24.1,4036.2,1162.9,13.9,245.0,3.8,67.8
2007,346.1,74.4,1.1,17.0,0.2,8.2,377.6,105.4,1.7,23.8,0.4,7.8,243.2,28.4,0.6,6.1,0.1,3.5,254.4,74.6,0.9,27.3,0.7,5.0,569.9,22.5,1.0,20.1,0.2,5.5,429.0,30.5,0.9,14.9,0.2,4.7,425.4,97.5,0.8,23.7,0.1,6.1,660.3,63.3,1.4,38.8,0.3,8.8,733.5,675.1,6.1,83.1,1.8,20.6,1221.3,282.7,4.3,74.2,1.4,24.6,2084.7,213.8,4.1,97.5,0.8,25.2,4039.5,1171.6,14.5,254.8,4.0,70.4
2008,344.0,74.9,1.1,17.6,0.2,8.5,376.5,106.7,1.7,24.2,0.4,8.1,245.7,29.4,0.6,6.6,0.1,3.7,253.4,74.4,0.9,28.7,0.7,5.2,570.5,22.9,1.0,20.9,0.2,5.7,434.4,31.0,0.9,16.1,0.2,5.0,423.3,100.0,0.8,24.5,0.1,6.4,660.1,64.4,1.5,40.2,0.3,9.2,739.3,675.8,6.5,85.1,1.9,21.3,1219.6,285.3,4.3,77.1,1.5,25.5,2088.2,218.3,4.2,101.7,0.9,26.3,4047.1,1179.5,15.1,263.9,4.2,73.1
2009,342.2,75.2,1.2,18.0,0.2,8.7,375.0,107.5,1.7,24.7,0.5,8.4,246.8,30.0,0.6,6.8,0.1,3.9,253.1,74.8,0.9,29.7,0.8,5.4,571.3,23.2,1.1,21.9,0.2,5.9,438.3,31.3,0.9,17.2,0.2,5.3,422.0,101.9,0.8,24.8,0.1,6.6,660.8,64.7,1.5,41.5,0.4,9.5,745.9,677.0,6.8,86.8,1.9,22.0,1217.0,287.5,4.4,79.2,1.5,26.4,2092.4,221.2,4.3,105.4,0.9,27.4,4055.2,1185.7,15.5,271.5,4.3,75.7
