"year","Region","NJ Suburban Counties","PA Suburban Counties","Bucks","Burlington","Camden","Chester","Delaware","Gloucester","Mercer","Montgomery","Philadelphia"
2000,23274,24054,28740,31328,24593,23150,32253,24071,30124,20061,27586,10349
2005,22319,23238,27693,27459,27628,21248,35740,23548,30846,14138,25653,9151
2006,19238,20891,24152,29932,22363,17803,25087,15283,30045,15908,24411,5773
2007,19405,20116,23785,24830,24531,18101,28475,20280,20783,16821,22167,8602
2008,20429,22076,24848,24224,26908,18500,28571,19681,24966,18527,26164,7730
2009,18753,19626,23556,24164,19173,19957,31294,15553,24823,15313,23561,7678
2010,17650,17041,22987,24206,19300,14870,23893,18773,22829,12629,24123,6957
2011,15454,15904,19490,19557,17522,17095,26062,13156,19802,9110,19435,6084
2012,16727,18129,20285,19663,19129,15981,24213,15485,25747,13777,21257,7005
2013,16307,16952,20673,20669,18404,17774,24590,13802,23198,9180,22617,6357
2014,14797,15844,18786,19765,17169,13600,21379,14943,21464,12444,18608,5292
2015,15609,16506,20006,23961,15172,13733,21670,13229,24824,15053,20084,5715
2016,15912,16144,22558,21479,18433,13540,27734,18321,19670,13809,22567,2835
2017,16094,17557,20363,18644,20824,11235,23886,16367,20979,19215,21932,
2018,15487,15476,20288,19927,18322,12572,28937,14678,19701,12714,18467,5959
2019,15867,15316,20758,21348,15467,12271,26098,18383,22729,12760,18098,6612
2021,16045,16009,21246,23460,17870,13745,27315,13759,22448,11242,20411,5742
2022,15792,14226,21871,24142,14538,11966,29576,13510,16128,15188,20329,5417
2023,14368,12197,18769,20750,13318,12323,23976,12105,15805,7781,17768,8422
