"year","Region_Male","NJ_Suburban_Counties_Male","PA_Suburban_Counties_Male","Bucks_Male","Burlington_Male","Camden_Male","Chester_Male","Delaware_Male","Gloucester_Male","Mercer_Male","Montgomery_Male","Philadelphia_Male","Region_Female","NJ_Suburban_Counties_Female","PA_Suburban_Counties_Female","Bucks_Female","Burlington_Female","Camden_Female","Chester_Female","Delaware_Female","Gloucester_Female","Mercer_Female","Montgomery_Female","Philadelphia_Female","Region_All","NJ_Suburban_Counties_All","PA_Suburban_Counties_All","Bucks_All","Burlington_All","Camden_All","Chester_All","Delaware_All","Gloucester_All","Mercer_All","Montgomery_All","Philadelphia_All"
2000,67305,69177,74991,76039,72868,64977,79455,67162,71776,68501,76678,49289,43347,44416,45407,43790,47552,41147,46254,42383,40768,47851,48281,38636,53610,55484,58361,58790,58905,51613,60475,53035,55302,56821,60413,42512
2005,65993,67797,73107,71103,74499,60193,81122,65830,73031,65872,74610,48485,43019,43876,44600,42838,46059,38321,44332,41591,41279,51319,48204,39065,53452,55041,57722,56984,59351,49023,60524,52199,56157,57226,60341,42961
2006,63238,65961,70145,73825,70736,60518,72351,58716,71243,63252,73104,44738,43435,44456,45283,43014,47716,42191,46528,42984,40314,46876,47975,38796,51962,54081,56118,57125,57830,50240,57724,49436,54181,54705,58775,40974
2007,62761,65801,69113,69083,72767,59535,77198,60858,68789,63298,69364,45465,42785,45094,44630,43523,47515,40903,47886,39982,47395,45982,46547,36611,51672,54507,55736,55193,59422,49202,61880,48883,57835,52978,56829,40087
2008,64347,66748,71011,69564,73558,61490,76055,62237,67910,64612,74789,46569,43318,44024,45433,44629,45859,42447,46644,41978,42211,45541,47857,38612,53278,54794,57791,57351,59432,51680,61002,51215,53852,54249,60708,42337
2009,61667,64184,67898,67094,67572,62077,74619,58147,68720,59212,70820,46312,42363,43981,43650,42220,47836,41534,42405,42136,43167,43449,46566,38408,51627,53803,55240,54480,57581,51285,56476,49718,56176,50738,58823,42511
2010,60636,62699,68201,65963,70895,56281,72991,59035,67465,57862,73067,42893,42467,45158,44538,41047,51028,40974,48395,39710,43965,44862,48236,35732,50395,53108,54913,52937,60184,46733,59069,46591,57120,50135,59518,38643
2011,58773,61629,65269,64168,65957,59088,71048,56866,65685,56453,67966,42410,42864,45258,45206,44037,47919,41490,44221,43324,45301,47075,47961,36146,50135,52501,54913,54618,55602,48418,56941,49269,56558,50955,57618,38551
2012,58811,62040,65206,64456,67147,55970,68796,56719,71371,56773,68934,42259,41593,43378,44325,44215,47457,39519,43871,40779,44868,42590,47053,35048,49659,52374,54435,55403,56600,48070,56112,48427,57374,49191,56563,37820
2013,57906,59537,64722,63571,67126,55313,68665,56547,65766,51040,68409,42760,41119,42088,43441,42294,48181,37018,43352,42339,41886,41590,45128,36216,49350,49792,53964,54754,55948,44432,55282,49144,52317,47470,55738,40567
2014,57060,59149,63912,64374,65358,54505,68248,55658,62982,54561,65978,41586,41829,42839,44574,44027,47685,40505,46242,40276,40888,41751,46823,36139,49171,50634,53518,54411,55072,47172,56180,47361,53084,47919,55142,39760
2015,57820,59307,65359,67403,61465,55627,69483,54544,67628,54784,68143,42049,41752,42315,44765,42738,45848,41491,47176,40927,42074,39289,47469,36166,49620,50794,54302,55070,53826,48561,57668,47262,54155,47384,56287,40086
2016,59274,61508,67401,65152,66534,55234,71972,59365,67160,59129,71255,41531,42894,44891,44180,43042,47560,41296,43424,40505,46912,44914,48025,38612,50665,52638,55332,53379,55878,48147,58250,48715,55482,52443,59345,40217
2017,60296,61411,67452,66184,68100,53368,70910,60477,66166,60262,70709,,43729,43339,46491,46992,46665,41803,46322,43629,44570,40483,48133,,51652,52367,57016,56508,56659,48142,58058,51990,53641,51989,60056,
2018,59878,60134,67776,66409,66046,56543,75837,58421,64553,54385,69515,44969,43936,44204,46893,45897,47186,43601,46051,43312,44274,41298,50505,38836,51634,52367,57420,56591,56809,49384,62137,50975,53154,50359,59252,40787
2019,61021,61864,69588,70182,66315,56524,75840,61059,68351,58006,70524,44467,44687,46097,48220,48207,50394,43893,48975,42136,44954,44870,51895,37661,52450,53973,58924,59595,59179,50262,62446,50425,56167,50693,61816,39820
2021,63618,63828,71883,71814,67556,58921,79503,59629,72238,58863,74806,48078,47102,47348,50013,47665,49161,44773,51386,45466,49130,47290,53796,42167,54779,55215,60017,59520,59171,50946,62838,52466,60233,52067,63478,45263
2022,61979,61229,70871,73285,64611,56792,78233,57582,64748,60164,72652,46281,45723,46584,48358,48433,49646,44474,47788,43674,48146,44529,51725,40704,53805,54143,59507,60007,56843,50650,64162,51056,56723,53541,61619,43660
2023,60914,58577,68063,68764,63801,55556,77425,56760,62031,53499,68396,50674,46123,46021,48742,47404,50092,42871,52744,44299,45762,45489,50106,42005,52822,52190,58047,58141,55715,49204,63052,51622,53124,51167,58849,44592
2024,60998,60473,69254,68182,61972,61432,77060,57405,62140,56069,72083,46783,46404,47434,48683,46913,51620,44563,52307,42197,47900,45924,51972,41796,53274,53684,58659,57249,56947,51829,63359,50410,55098,51098,61862,43815
