"Year","All - All - Total","All - Bus - Total","All - Trolleybus - Total","All - Heavy Rail - Total","All - Light Rail - Total","SEPTA - All - Total","SEPTA - Bus - Total","SEPTA - Trolleybus - Total","SEPTA - Heavy Rail - Total","SEPTA - Light Rail - Total","NJ Transit - All - Total","NJ Transit - Bus - Total","NJ Transit - Light Rail - Total","PATCO - Heavy Rail - Total","All - All - 5-Year Average","All - Bus - 5-Year Average","All - Trolleybus - 5-Year Average","All - Heavy Rail - 5-Year Average","All - Light Rail - 5-Year Average","SEPTA - All - 5-Year Average","SEPTA - Bus - 5-Year Average","SEPTA - Trolleybus - 5-Year Average","SEPTA - Heavy Rail - 5-Year Average","SEPTA - Light Rail - 5-Year Average","NJ Transit - All - 5-Year Average","NJ Transit - Bus - 5-Year Average","NJ Transit - Light Rail - 5-Year Average","PATCO - Heavy Rail - 5-Year Average"
2006,2919,2676,,79,164,2530,2324,,42,164,352,352,0,37,,,,,,,,,,,,,,
2007,1831,1456,,117,222,1449,1085,,108,220,373,371,2,9,,,,,,,,,,,,,,
2008,1352,1024,0,38,247,1145,829,0,30,243,199,195,4,8,,,,,,,,,,,,,,
2009,1504,985,113,44,181,1314,809,113,33,178,179,176,3,11,,,,,,,,,,,,,,
2010,1331,1080,24,29,198,1224,986,24,21,193,99,94,5,8,1787.4,1444.2,45.7,61.4,202.4,1532.4,974.2,45.7,46.8,199.6,240.4,202.4,2.8,14.6
2011,661,451,12,75,123,526,341,12,62,111,122,110,12,13,1335.8,999.2,37.3,60.6,194.2,1131.6,810.0,37.3,50.8,189.0,194.4,189.2,5.2,9.8
2012,496,398,5,39,54,415,328,5,33,49,75,70,5,6,1068.8,787.6,30.8,45.0,262.0,924.8,658.6,30.8,35.8,154.8,134.8,129.0,5.8,9.2
2013,1065,889,10,74,92,875,709,10,73,83,189,180,9,1,1011.4,760.6,32.8,52.2,145.4,870.8,634.6,32.8,44.4,122.8,132.8,126.0,6.8,7.8
2014,1270,1121,1,61,87,1002,866,1,55,80,262,255,7,6,964.6,787.8,10.4,55.6,90.8,808.4,646.0,10.4,48.8,103.2,149.4,141.8,7.6,6.8
2015,1509,1354,14,47,94,1168,1025,14,42,87,336,329,7,5,1000.2,842.6,8.4,59.2,75.2,797.2,653.8,8.4,53.0,82.0,196.8,188.8,8.0,6.2
2016,1507,1335,21,70,81,1053,900,21,58,74,442,435,7,12,1169.4,1019.4,10.2,58.2,74.0,902.6,765.6,10.2,52.2,74.6,260.8,253.8,7.0,6.0
2017,1264,1040,15,101,108,935,728,15,91,101,319,312,7,10,1323.0,1147.8,12.2,70.6,110.4,1006.6,845.6,12.2,63.8,85.0,309.6,302.2,7.4,6.8
2018,1134,971,13,79,71,802,669,13,58,62,311,302,9,21,1336.8,1164.2,12.8,71.6,90.2,992.0,837.6,12.8,60.8,80.8,334.0,326.6,7.4,10.8
2019,1059,901,3,78,77,762,622,3,66,71,285,279,6,12,1294.6,1120.2,13.2,75.0,81.0,944.0,788.8,13.2,63.0,79.0,338.6,331.4,7.2,12.0
2020,686,588,8,59,31,493,407,8,48,30,182,181,1,11,1130.0,967.0,12.0,77.4,69.6,809.0,665.2,12.0,64.2,67.6,307.8,301.8,6.0,13.2
2021,747,647,9,57,34,532,436,9,55,32,213,211,2,2,978.0,829.4,9.6,74.8,42.2,704.8,572.4,9.6,63.6,59.2,262.0,257.0,5.0,11.2
2022,830,722,12,59,37,529,437,12,44,36,286,285,1,15,891.2,765.8,9.0,66.4,34.6,623.6,514.2,9.0,54.2,46.2,255.4,251.6,3.8,12.2
2023,447,388,4,38,17,278,223,4,36,15,167,165,2,2,753.8,649.2,7.2,58.2,25.8,518.8,425.0,7.2,49.8,36.8,226.6,224.2,2.4,8.4
