"Year","All - All","All - Bus","All - Trolleybus","All - Heavy Rail","All - Light Rail","SEPTA - All","SEPTA - Bus","SEPTA - Trolleybus","SEPTA - Heavy Rail","SEPTA - Light Rail","NJ Transit - All","NJ Transit - Bus","NJ Transit - Light Rail","PATCO - Heavy Rail"
2006,11.8,6.2,,1.2,4.4,10.5,5.8,,0.3,4.4,0.4,0.4,0.0,0.9
2007,10.1,3.1,,0.9,6.1,9.2,2.7,,0.7,5.8,0.7,0.4,0.3,0.2
2008,9.7,2.3,0.0,0.4,7.0,8.7,2.1,0.0,0.2,6.4,0.8,0.2,0.6,0.2
2009,20.5,2.2,12.4,0.4,5.5,19.6,2.0,12.4,0.2,5.0,0.7,0.2,0.5,0.2
2010,11.9,2.5,2.6,0.3,6.5,10.7,2.4,2.6,0.1,5.6,1.0,0.1,0.9,0.2
2011,8.6,1.1,1.3,0.7,5.5,5.8,0.9,1.3,0.4,3.2,2.5,0.2,2.3,0.3
2012,4.2,0.9,0.5,0.3,2.5,3.0,0.8,0.5,0.2,1.5,1.1,0.1,1.0,0.1
2013,7.7,2.1,1.1,0.4,4.1,5.7,1.8,1.1,0.4,2.4,2.0,0.3,1.7,0.0
2014,6.8,2.6,0.1,0.4,3.7,4.9,2.2,0.1,0.3,2.3,1.8,0.4,1.4,0.1
2015,9.0,3.1,1.6,0.3,4.0,7.1,2.6,1.6,0.2,2.7,1.8,0.5,1.3,0.1
2016,9.6,2.9,2.5,0.6,3.6,7.3,2.3,2.5,0.3,2.2,2.0,0.6,1.4,0.3
2017,9.2,2.2,1.7,0.7,4.6,7.2,1.8,1.7,0.5,3.2,1.8,0.4,1.4,0.2
2018,8.8,2.0,2.3,0.8,3.7,6.1,1.6,2.3,0.3,1.9,2.2,0.4,1.8,0.5
2019,6.4,1.9,0.4,0.6,3.5,4.6,1.5,0.4,0.4,2.3,1.6,0.4,1.2,0.2
2020,4.5,1.4,1.2,0.5,1.4,3.8,1.1,1.2,0.3,1.2,0.5,0.3,0.2,0.2
2021,4.8,1.4,1.3,0.3,1.8,4.1,1.1,1.3,0.3,1.4,0.7,0.3,0.4,0.0
2022,5.4,1.5,1.5,0.6,1.8,4.5,1.1,1.5,0.3,1.6,0.6,0.4,0.2,0.3
2023,5.2,1.6,1.0,0.6,2.0,3.9,1.2,1.0,0.5,1.2,1.2,0.4,0.8,0.1
