"Year","All - All","All - Bus","All - Trolleybus","All - Heavy Rail","All - Light Rail","SEPTA - All","SEPTA - Bus","SEPTA - Trolleybus","SEPTA - Heavy Rail","SEPTA - Light Rail","NJ Transit - All","NJ Transit - Bus","NJ Transit - Light Rail","PATCO - Heavy Rail"
2006,28.6,15.2,,11.5,1.9,16.0,13.6,,0.5,1.9,1.6,1.6,0.0,11.0
2007,22.5,15.5,,4.1,2.5,16.3,12.2,,1.2,2.5,3.3,3.3,0.0,2.9
2008,17.4,11.0,0.0,3.2,2.7,12.8,9.3,0.0,0.3,2.7,1.7,1.7,0.0,2.9
2009,19.6,10.3,1.2,4.2,1.9,14.3,8.8,1.2,0.4,1.9,1.5,1.5,0.0,3.8
2010,16.9,11.5,0.3,3.0,2.1,13.3,10.7,0.3,0.2,2.1,0.8,0.8,0.0,2.8
2011,11.6,4.8,0.1,5.4,1.3,5.8,3.8,0.1,0.7,1.2,1.1,1.0,0.1,4.7
2012,7.6,4.4,0.1,2.6,0.5,4.7,3.7,0.1,0.4,0.5,0.7,0.7,0.0,2.2
2013,12.1,9.8,0.1,1.2,1.0,9.9,8.1,0.1,0.8,0.9,1.8,1.7,0.1,0.4
2014,15.9,12.2,0.0,2.7,1.0,11.4,9.9,0.0,0.6,0.9,2.4,2.3,0.1,2.1
2015,18.3,14.8,0.2,2.2,1.1,13.2,11.5,0.2,0.5,1.0,3.4,3.3,0.1,1.7
2016,18.9,13.6,0.2,4.2,0.9,10.8,9.2,0.2,0.6,0.8,4.5,4.4,0.1,3.6
2017,16.1,10.8,0.2,3.9,1.2,10.0,7.7,0.2,1.0,1.1,3.2,3.1,0.1,2.9
2018,17.5,9.8,0.1,6.9,0.7,8.3,7.0,0.1,0.6,0.6,2.9,2.8,0.1,6.3
2019,13.9,8.9,0.0,4.2,0.8,7.7,6.3,0.0,0.7,0.7,2.7,2.6,0.1,3.5
2020,9.9,5.9,0.1,3.6,0.3,5.2,4.3,0.1,0.5,0.3,1.6,1.6,0.0,3.1
2021,8.5,6.8,0.1,1.2,0.4,6.0,4.9,0.1,0.6,0.4,1.9,1.9,0.0,0.6
2022,13.4,7.6,0.1,5.3,0.4,6.0,5.0,0.1,0.5,0.4,2.6,2.6,0.0,4.8
2023,,,,,,,,,,,,,,
