"Year","All - All","All - Bus","All - Trolleybus","All - Heavy Rail","All - Light Rail","SEPTA - All","SEPTA - Bus","SEPTA - Trolleybus","SEPTA - Heavy Rail","SEPTA - Light Rail","NJ Transit - All","NJ Transit - Bus","NJ Transit - Light Rail","PATCO - Heavy Rail"
2006,1.4,0.2,,1.2,0.0,0.0,0.0,,0.0,0.0,0.2,0.2,0.0,1.2
2007,0.4,0.4,,0.0,0.0,0.1,0.1,,0.0,0.0,0.3,0.3,0.0,0.0
2008,4.0,2.8,0.0,0.8,0.4,3.2,2.7,0.0,0.1,0.4,0.1,0.1,0.0,0.7
2009,5.1,2.6,0.0,2.2,0.3,3.0,2.6,0.0,0.1,0.3,0.0,0.0,0.0,2.1
2010,2.3,2.0,0.0,0.1,0.2,2.3,2.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0
2011,0.8,0.2,0.0,0.4,0.2,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.4
2012,0.7,0.5,0.0,0.1,0.1,0.6,0.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0
2013,2.1,1.7,0.0,0.2,0.2,1.8,1.5,0.0,0.2,0.1,0.3,0.2,0.1,0.0
2014,2.7,1.7,0.0,0.9,0.1,1.8,1.5,0.0,0.2,0.1,0.2,0.2,0.0,0.7
2015,2.8,2.5,0.0,0.1,0.2,2.2,2.0,0.0,0.1,0.1,0.6,0.5,0.1,0.0
2016,3.7,2.1,0.0,1.4,0.2,2.0,1.7,0.0,0.2,0.1,0.5,0.4,0.1,1.2
2017,2.8,1.5,0.0,1.2,0.1,1.2,1.0,0.0,0.1,0.1,0.5,0.5,0.0,1.1
2018,6.7,1.5,0.0,4.9,0.3,1.4,1.1,0.0,0.1,0.2,0.5,0.4,0.1,4.8
2019,4.6,1.7,0.0,2.7,0.2,1.5,1.3,0.0,0.1,0.1,0.5,0.4,0.1,2.6
2020,2.4,1.3,0.0,1.0,0.1,1.2,1.0,0.0,0.1,0.1,0.3,0.3,0.0,0.9
2021,2.5,1.7,0.0,0.7,0.1,1.6,1.4,0.0,0.1,0.1,0.3,0.3,0.0,0.6
2022,4.3,1.9,0.0,2.3,0.1,1.7,1.5,0.0,0.1,0.1,0.4,0.4,0.0,2.2
2023,,,,,,,,,,,,,,
