year,All Agencies- All Vehicles,All Agencies- Buses,All Agencies- Rail Vehicles,NJ Transit- All Vehicles,NJ Transit- Buses,NJ Transit- Rail Vehicles,PART- Buses,PATCO- Rail Vehicles,SEPTA- All Vehicles,SEPTA- Buses,SEPTA- Rail Vehicles
2000,13,10.1,18.6,12.8,10.2,19.2,NA,27.4,12.5,9.8,16.8
2001,13.1,9.5,19.6,12.7,9.4,20.2,NA,28.4,12.7,9.5,17.8
2002,11.7,6.9,20.5,10.6,6.1,20.9,NA,29.4,12.2,8.2,18.7
2003,11.7,6.6,20.9,10.2,5.5,20.8,NA,30.4,12.6,8.2,19.7
2004,11.3,6.2,19.3,9.8,5.9,16.9,NA,31.4,12.1,6.6,20.7
2005,11.8,7.1,18.4,10.7,6.9,17.7,NA,32.4,12.3,7.4,17.6
2006,12.1,7.2,18.9,11,7.5,17.2,12.4,33.4,12.8,6.5,19.2
2007,12.6,7.8,20.8,11.2,8.4,17,9,33.7,13.8,6.8,24.4
2008,13,8.3,20.7,11.5,8.9,16.4,10,34.6,14.5,7.3,25.4
2009,12.6,8.4,19.8,10.8,9,14.3,9.6,35.5,14.5,7.2,26.5
2010,12.8,8.2,20.4,10.9,8.6,14.8,10.6,36.5,14.9,7.5,27.4
2011,12.7,7.6,20.8,10.7,8,15.3,8.2,37.5,15,7,27.5
2012,12.1,7.4,20.5,10.9,8,16.1,9.2,38.5,12.8,6.6,25.2
2013,11.8,6.9,21,9.9,6.7,16.3,10.2,39.5,13.3,7.2,25.5
2014,13,8.2,20.8,10.4,7.3,15.7,11.2,40.5,16.3,9.6,26.5
2015,13.3,8,21.9,10.8,7.6,16.5,12.2,42.4,16,8.6,27.4
2016,14,8.5,22.9,11.5,8.3,17.4,13.2,43.3,16.4,8.8,28.4
2017,14.8,9.4,23.8,12.5,9.3,18.2,14.2,45.5,17.2,9.4,29.4
