year,All Agencies- age_0_5,All Agencies- age_6_11,All Agencies- age_12_15,All Agencies- age_16_20,All Agencies- age_21_25,All Agencies- age_25over,NJ Transit- age_0_5,NJ Transit- age_6_11,NJ Transit- age_12_15,NJ Transit- age_16_20,NJ Transit- age_21_25,NJ Transit- age_25over,PATCO- age_0_5,PATCO- age_6_11,PATCO- age_12_15,PATCO- age_16_20,PATCO- age_21_25,PATCO- age_25over,SEPTA- age_0_5,SEPTA- age_6_11,SEPTA- age_12_15,SEPTA- age_16_20,SEPTA- age_21_25,SEPTA- age_25over
2000,341,124,110,446,418,403,117,98,68,134,234,208,0,0,0,46,0,75,224,26,42,266,184,120
2001,343,125,113,443,415,404,118,99,71,131,231,209,0,0,0,46,0,75,225,26,42,266,184,120
2002,349,95,158,263,409,592,119,68,116,109,251,213,0,0,0,0,46,75,230,27,42,154,112,304
2003,351,95,156,296,409,563,121,68,114,142,251,184,0,0,0,0,46,75,230,27,42,154,112,304
2004,345,341,75,67,493,772,289,140,75,25,181,393,0,0,0,0,46,75,56,201,0,42,266,304
2005,542,345,110,62,490,782,314,126,84,20,178,403,0,0,0,0,46,75,228,219,26,42,266,304
2006,646,372,79,103,332,1012,428,143,53,61,178,457,0,0,0,0,0,121,218,229,26,42,154,434
2007,403,385,56,98,313,898,403,156,30,56,159,360,0,0,0,0,0,104,0,229,26,42,154,434
2008,283,610,63,79,0,1205,283,382,36,79,0,514,0,0,0,0,0,103,0,228,27,0,0,588
2009,421,478,158,111,48,1107,421,282,125,85,6,419,0,0,0,0,0,96,0,196,33,26,42,592
2010,389,418,287,118,51,1105,389,362,114,92,9,418,0,0,0,0,0,96,0,56,173,26,42,591
2011,391,404,354,61,61,1095,365,394,135,35,19,419,0,0,0,0,0,92,26,10,219,26,42,584
2012,463,395,353,56,56,1034,371,395,125,29,14,419,0,0,0,0,0,92,92,0,228,27,42,523
2013,231,597,241,170,8,1013,111,597,45,111,8,356,0,0,0,0,0,92,120,0,196,59,0,565
2014,287,470,335,279,46,1004,167,470,279,106,20,347,0,0,0,0,0,92,120,0,56,173,26,565
2015,287,464,257,340,52,1006,167,464,247,121,26,335,0,0,0,0,0,114,120,0,10,219,26,557
2016,229,436,323,348,44,997,136,409,323,119,18,328,0,0,0,0,0,112,93,27,0,229,26,557
2017,152,464,360,346,43,987,111,385,360,126,16,326,0,0,0,0,0,104,41,79,0,220,27,557
