"year","bus","commuter_rail","light_rail","nonscheduled_services","subway","trolleybus","all","busper_capita","commuter_railper_capita","light_railper_capita","nonscheduled_servicesper_capita","subwayper_capita","trolleybusper_capita","allper_capita","busper_vrh","commuter_railper_vrh","light_railper_vrh","nonscheduled_servicesper_vrh","subwayper_vrh","trolleybusper_vrh","allper_vrh","busper_vrm","commuter_railper_vrm","light_railper_vrm","nonscheduled_servicesper_vrm","subwayper_vrm","trolleybusper_vrm","allper_vrm"
1997,178214.6,27626.7,25002.7,1903.2,96904.2,8846.0,338497.4,,,,,,,,53.05,50.18,98.02,1.96,111.41,87.28,55.43,4.12,1.79,8.10,0.23,4.93,7.85,3.72
1998,155291.4,30656.8,20221.7,1466.9,91971.5,7523.0,307131.3,,,,,,,,40.82,53.36,87.01,2.31,106.57,89.29,49.60,3.69,1.90,7.32,0.18,5.00,8.22,3.47
1999,184635.2,32032.3,22522.3,1170.3,93775.9,8646.0,342782.1,,,,,,,,45.21,55.47,80.07,2.17,94.40,76.21,52.03,4.13,1.98,7.90,0.19,4.75,9.46,3.79
2000,182966.8,32490.6,24994.3,1027.3,100132.9,10730.6,352342.5,33.94,6.03,4.64,0.19,18.57,1.99,65.36,42.79,55.51,81.99,1.74,97.95,78.02,50.95,3.90,1.97,8.10,0.16,4.92,9.68,3.73
2001,186534.2,33571.1,24837.9,1086.3,97382.5,9719.4,353131.4,34.43,6.20,4.59,0.20,17.98,1.79,65.19,43.90,55.90,78.05,1.94,96.09,77.05,51.43,3.98,1.99,8.10,0.16,4.86,9.51,3.72
2002,188836.9,33558.8,22749.9,1692.1,93996.2,7119.9,347953.7,34.67,6.16,4.18,0.31,17.26,1.31,63.88,42.93,53.81,73.32,1.75,94.39,76.85,47.10,3.86,1.92,7.51,0.16,4.74,9.52,3.46
2003,197647.2,32770.0,24850.2,1815.1,94387.7,2343.2,353813.5,36.08,5.98,4.54,0.33,17.23,0.43,64.60,43.63,50.97,75.15,1.79,95.85,80.72,46.98,3.95,1.86,7.95,0.17,4.58,12.46,3.46
2004,209190.4,33209.1,25158.1,1932.8,97233.2,,366723.7,37.99,6.03,4.57,0.35,17.66,,66.60,46.19,50.44,71.63,1.80,99.46,,48.32,4.17,1.84,7.58,0.17,4.76,,3.55
2005,210795.4,34766.9,25206.4,1961.3,97408.5,,370138.4,38.14,6.29,4.56,0.35,17.62,,66.96,46.62,52.53,71.73,1.87,102.01,,49.09,4.22,1.92,7.59,0.17,4.87,,3.61
2006,200838.7,37356.1,25445.5,2091.6,93993.3,,359725.2,36.17,6.73,4.58,0.38,16.93,,64.79,43.85,55.46,67.27,1.94,100.47,,47.07,4.04,2.04,7.16,0.18,4.80,,3.50
2007,194742.6,36909.9,27635.7,2083.7,97867.9,,359239.8,34.90,6.62,4.95,0.37,17.54,,64.39,42.31,53.95,67.88,1.93,102.40,,46.48,3.84,1.98,7.40,0.18,4.90,,3.43
2008,207962.9,37623.8,29497.1,2157.5,102403.1,353.0,379997.3,37.10,6.71,5.26,0.38,18.27,0.06,67.79,44.82,54.05,72.89,1.94,104.84,49.70,48.49,4.08,1.99,7.73,0.18,5.02,5.92,3.58
2009,205610.7,39206.4,29588.0,2769.4,105132.2,5510.8,387817.5,36.51,6.96,5.25,0.49,18.67,0.98,68.87,43.62,54.63,76.01,2.16,104.13,50.49,47.16,3.97,2.02,8.04,0.19,4.93,6.02,3.47
