"year","vehiclesDVRPC","vehiclesPerCapDVRPC","vehiclesNJSuburbs","vehiclesPerCapNJSuburbs","vehiclesAllPACounties","vehiclesPerCapAllPACounties","vehiclesPASuburbs","vehiclesPerCapPASuburbs","vehiclesBucksCo","vehiclesPerCapBucksCo","vehiclesBurlingtonCo","vehiclesPerCapBurlingtonCo","vehiclesCamdenCo","vehiclesPerCapCamdenCo","vehiclesChesterCo","vehiclesPerCapChesterCo","vehiclesDelawareCo","vehiclesPerCapDelawareCo","vehiclesGloucesterCo","vehiclesPerCapGloucesterCo","vehiclesMercerCo","vehiclesPerCapMercerCo","vehiclesMontgomeryCo","vehiclesPerCapMontgomeryCo","vehiclesPhillyCo","vehiclesPerCapPhillyCo"
2000,3.02,0.56,0.94,0.61,2.08,0.54,1.53,0.66,0.41,0.69,0.28,0.66,0.29,0.57,0.30,0.68,0.32,0.59,0.16,0.64,0.20,0.58,0.50,0.67,0.55,0.36
2005,3.20,0.58,1.03,0.64,2.17,0.55,1.64,0.68,0.44,0.71,0.31,0.70,0.31,0.61,0.33,0.70,0.33,0.61,0.19,0.68,0.22,0.60,0.53,0.69,0.53,0.35
2006,3.23,0.58,1.04,0.65,2.19,0.56,1.67,0.69,0.44,0.72,0.31,0.69,0.32,0.61,0.34,0.71,0.33,0.60,0.20,0.70,0.22,0.61,0.55,0.71,0.52,0.35
2007,3.28,0.59,1.05,0.65,2.23,0.56,1.67,0.68,0.44,0.71,0.32,0.71,0.32,0.62,0.34,0.70,0.34,0.61,0.19,0.67,0.22,0.61,0.55,0.71,0.56,0.37
2008,3.26,0.58,1.03,0.64,2.23,0.56,1.68,0.69,0.44,0.70,0.31,0.69,0.32,0.61,0.35,0.70,0.34,0.61,0.19,0.67,0.21,0.58,0.55,0.71,0.55,0.36
2009,3.27,0.58,1.04,0.64,2.23,0.56,1.68,0.68,0.45,0.71,0.31,0.71,0.32,0.63,0.34,0.69,0.33,0.60,0.19,0.67,0.21,0.57,0.55,0.70,0.55,0.36
2010,3.26,0.58,1.03,0.64,2.22,0.55,1.68,0.68,0.43,0.69,0.31,0.69,0.31,0.59,0.36,0.72,0.33,0.60,0.20,0.68,0.22,0.60,0.56,0.70,0.54,0.35
2011,3.25,0.57,1.03,0.63,2.22,0.55,1.69,0.68,0.45,0.72,0.31,0.69,0.30,0.58,0.35,0.70,0.33,0.59,0.20,0.68,0.22,0.60,0.55,0.69,0.54,0.35
2012,3.29,0.58,1.03,0.63,2.26,0.56,1.69,0.68,0.45,0.71,0.31,0.68,0.30,0.60,0.36,0.71,0.32,0.58,0.20,0.70,0.22,0.58,0.56,0.69,0.57,0.37
2013,3.30,0.58,1.03,0.63,2.28,0.56,1.70,0.68,0.45,0.71,0.31,0.69,0.30,0.58,0.37,0.73,0.33,0.58,0.20,0.69,0.22,0.60,0.56,0.69,0.57,0.37
2014,3.34,0.59,1.05,0.65,2.29,0.56,1.71,0.68,0.45,0.72,0.32,0.71,0.31,0.61,0.36,0.71,0.33,0.59,0.20,0.68,0.22,0.60,0.57,0.70,0.58,0.37
2015,3.38,0.59,1.04,0.64,2.34,0.57,1.74,0.69,0.46,0.74,0.31,0.69,0.31,0.62,0.37,0.73,0.34,0.60,0.20,0.68,0.22,0.60,0.57,0.69,0.60,0.38
2016,3.40,0.60,1.05,0.65,2.35,0.57,1.74,0.69,0.46,0.73,0.32,0.73,0.31,0.62,0.37,0.71,0.34,0.60,0.20,0.70,0.21,0.58,0.57,0.70,0.61,0.39
2017,3.44,0.60,1.07,0.66,2.37,0.58,1.77,0.70,0.46,0.74,0.33,0.73,0.32,0.63,0.38,0.72,0.34,0.61,0.21,0.71,0.22,0.60,0.58,0.71,,
2018,3.48,0.61,1.07,0.67,2.41,0.58,1.79,0.70,0.48,0.76,0.33,0.73,0.32,0.63,0.39,0.74,0.34,0.60,0.20,0.68,0.23,0.62,0.58,0.71,0.62,0.39
2019,3.54,0.62,1.09,0.67,2.45,0.59,1.81,0.71,0.48,0.76,0.33,0.73,0.32,0.64,0.38,0.72,0.35,0.61,0.21,0.72,0.23,0.61,0.60,0.72,0.65,0.41
2020,3.66,0.62,1.12,0.67,2.54,0.60,1.85,0.71,0.49,0.76,0.34,0.73,0.33,0.64,0.39,0.74,0.36,0.62,0.22,0.72,0.23,0.60,0.61,0.71,0.69,0.43
2021,3.73,0.63,1.15,0.68,2.59,0.61,1.87,0.71,0.48,0.74,0.34,0.73,0.34,0.65,0.40,0.75,0.36,0.63,0.23,0.74,0.24,0.63,0.62,0.72,0.72,0.45
2022,3.75,0.64,1.13,0.67,2.62,0.63,1.88,0.71,0.49,0.76,0.33,0.71,0.34,0.65,0.41,0.75,0.36,0.62,0.22,0.72,0.24,0.62,0.62,0.72,0.75,0.48
